generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
5000000,Cryptobranchus_alleganiensis,Pseudobranchus_axanthus,0,0.0722804,-0.00301829,0.0576851,0
5000000,Gyrinophilus_porphyriticus,NA,177.927,0.144109,0.000853904,0.00426714,0
5000000,Salamandrina_perspicillata,Mertensiella_caucasica,102.546,0.0751678,0.00195441,0.0499032,0
5000000,Ambystoma_gracile,Ambystoma_opacum,180.125,0.204941,-0.00223903,0.105914,0
5500000,Cryptobranchus_alleganiensis,Pseudobranchus_axanthus,0,0.0224289,0.0112109,0.0290292,0
5500000,Gyrinophilus_porphyriticus,NA,186.892,0.235772,-0.00991203,0.147821,0
5500000,Neurergus_crocatus,Neurergus_microspilotus,202.8,0.0569539,-0.00594507,0.0728629,0
5500000,Mertensiella_caucasica,NA,186.656,0.096467,0.00110548,0.0799143,0
5500000,Salamandrina_perspicillata,Mertensiella_caucasica,64.5206,0.0863727,-0.00192836,0.0132158,0
5500000,Ambystoma_talpoideum,Ambystoma_gracile,141.066,0.136336,-0.00293914,0.0648336,0
6000000,Cryptobranchus_alleganiensis,Pseudobranchus_axanthus,0,0.133423,-0.0042092,0.0780339,0
6000000,Mertensiella_caucasica,Pleurodeles_waltl,135.308,0.05969,0.00276284,0.0074299,0
6000000,Ambystoma_talpoideum,Ambystoma_gracile,159.512,0.0966106,0.00178462,0.0394416,0
6500000,Cryptobranchus_alleganiensis,Pseudobranchus_axanthus,0,0.0165248,0.00815703,0.0114143,0
6500000,Mertensiella_caucasica,Pleurodeles_waltl,139.364,0.0809745,-0.00105118,0.0073087,0
6500000,Dicamptodon_tenebrosus,Ambystoma_talpoideum,93.5633,0.116361,-0.00142416,0.0882082,0
7000000,Cryptobranchus_alleganiensis,Pseudobranchus_axanthus,0,0.0226523,0.00207668,0.00569802,0
7000000,Euproctus_platycephalus,Euproctus_montanus,182.499,0.129723,-0.000746263,0.0971988,0
7000000,Pleurodeles_waltl,Notophthalmus_meridionalis,151.587,0.0855279,0.00271871,0.00632784,0
7000000,Ambystoma_gracile,Ambystoma_opacum,178.506,0.0969175,-0.00124371,0.0112247,0
7500000,Cryptobranchus_alleganiensis,Pseudobranchus_axanthus,0,0.0394607,0.00284775,0.0406168,0
7500000,Chioglossa_lusitanica,NA,190.671,0.0567914,-0.00111862,0.0525649,0
7500000,Salamandrina_perspicillata,Mertensiella_caucasica,61.04,0.0864132,-0.00241411,0.00726402,0
7500000,Ambystoma_gracile,Ambystoma_opacum,175.965,0.0682471,-0.00614164,0.0400922,0
7500000,Dicamptodon_tenebrosus,Dicamptodon_ensatus,201.072,0.29311,0.00297141,0.157653,0
7500000,Pseudobranchus_striatus,NA,206.637,0.0551229,0.00977477,0.811879,0
8000000,Cryptobranchus_alleganiensis,Pseudobranchus_axanthus,0,0.142382,-0.00350768,0.0916513,0
8000000,Salamandrina_perspicillata,Mertensiella_caucasica,121.025,0.0678735,0.00487187,0.0363988,0
8000000,Ambystoma_opacum,Ambystoma_cingulatum,186.375,0.131013,-0.0106601,0.0560461,0
8500000,Cryptobranchus_alleganiensis,Pseudobranchus_axanthus,0,0.027716,0.00114891,0.0129893,0
8500000,Lissotriton_boscai,NA,194.418,0.105183,0.000868305,0.169791,0
8500000,Pleurodeles_waltl,Notophthalmus_meridionalis,149.641,0.115782,-0.00715367,0.0134416,0
8500000,Ambystoma_talpoideum,Ambystoma_gracile,158.378,0.133068,-0.00115497,0.0535024,0
9000000,Cryptobranchus_alleganiensis,Pseudobranchus_axanthus,0,0.0965552,-0.0031334,0.0612603,0
9000000,Salamandrina_perspicillata,Mertensiella_caucasica,115.714,0.0581162,0.00188719,0.0132254,0
9500000,Cryptobranchus_alleganiensis,Pseudobranchus_axanthus,0,0.144238,-0.00272876,0.10543,0
9500000,Mertensiella_caucasica,Pleurodeles_waltl,136.184,0.076105,0.00115257,0.0255444,0
9500000,Ambystoma_opacum,Ambystoma_cingulatum,186.836,0.0741655,0.00340123,0.013088,0
10000000,Cryptobranchus_alleganiensis,Pseudobranchus_axanthus,0,0.0263602,0.000671924,0.00754144,0
10000000,Gyrinophilus_porphyriticus,NA,125.769,0.0865398,-0.00121541,0.0219379,0
10000000,Amphiuma_tridactylum,Amphiuma_pholeter,192.288,0.159611,-0.00598324,0.117781,0
10000000,Salamandrina_perspicillata,Mertensiella_caucasica,120.177,0.11764,-0.00857892,0.0033053,0
10000000,Ambystoma_talpoideum,Ambystoma_gracile,166.969,0.114735,-0.00158676,0.0531768,0
10000000,Cryptobranchus_alleganiensis,Andrias_davidianus,127.496,0.114743,-0.00706662,0.0826629,0
10500000,Cryptobranchus_alleganiensis,Pseudobranchus_axanthus,0,0.0252044,0.00547106,0.0138169,0
10500000,Lissotriton_vulgaris,Lissotriton_montandoni,201.924,0.26244,-0.00544434,0.0480107,0
10500000,Lissotriton_boscai,NA,205.038,0.0140235,0.00452038,0.0640962,0
10500000,Pleurodeles_waltl,Notophthalmus_meridionalis,159.339,0.112882,-0.00564519,0.00270209,0
10500000,Dicamptodon_tenebrosus,Dicamptodon_ensatus,196.103,0.22098,0.00631011,0.189215,0
10500000,Amphiuma_tridactylum,Amphiuma_pholeter,167.188,0.0701397,-0.00503565,0.101556,0
