collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,pubyr,country,state,latdec,lngdec,paleolatdec,paleolngdec,subepoch,stage,10_my_bin,FR2_bin,ma_max,ma_mid,formation,member
132999,PaleoDB,"P. Mannion",,Seminobatrachus,,boltyschkensis,,,,,42822,2012,Ukraine,"Cherkasy Oblast",48.875833,32.178611,44.63,27.20,,,,,58.700,53.65,,
133000,PaleoDB,"P. Mannion",,Seminobatrachus,,boltyschkensis,,,,,42822,2012,Ukraine,"Cherkasy Oblast",48.875833,32.178611,44.63,27.20,,,,,58.700,53.65,,
133001,PaleoDB,"P. Mannion",,Seminobatrachus,,boltyschkensis,,,,,42822,2012,Ukraine,"Cherkasy Oblast",48.875833,32.178611,44.63,27.20,,,,,58.700,53.65,,
134954,PaleoDB,"J. Mueller",,Salamandra,,sansaniensis,,,,,43315,2011,Germany,Bavaria,48.443611,11.044444,48.71,9.65,"Middle Miocene",Langhian,"Cenozoic 5","Middle Miocene",14.88,14.88,"Upper Freshwater Molasse","Fluviatile Untere Serie"
134954,PaleoDB,"J. Mueller",,Chelotriton,,sp.,,,,,43315,2011,Germany,Bavaria,48.443611,11.044444,48.71,9.65,"Middle Miocene",Langhian,"Cenozoic 5","Middle Miocene",14.88,14.88,"Upper Freshwater Molasse","Fluviatile Untere Serie"
134954,PaleoDB,"J. Mueller",,Mioproteus,,caucasicus,,,,,43315,2011,Germany,Bavaria,48.443611,11.044444,48.71,9.65,"Middle Miocene",Langhian,"Cenozoic 5","Middle Miocene",14.88,14.88,"Upper Freshwater Molasse","Fluviatile Untere Serie"
135812,PaleoDB,"J. Mueller",,Triturus,cf.,marmoratus,,,,,43465,2008,Romania,Arad,46.281944,21.923611,45.78,21.55,"Middle Miocene",Serravallian,"Cenozoic 5","Middle Miocene",12.700,12.154,,
135812,PaleoDB,"J. Mueller",,Lissotriton,,sp.,,,,,43465,2008,Romania,Arad,46.281944,21.923611,45.78,21.55,"Middle Miocene",Serravallian,"Cenozoic 5","Middle Miocene",12.700,12.154,,
135812,PaleoDB,"J. Mueller",,Carpathotriton,,sp.,,,,,43465,2008,Romania,Arad,46.281944,21.923611,45.78,21.55,"Middle Miocene",Serravallian,"Cenozoic 5","Middle Miocene",12.700,12.154,,
135812,PaleoDB,"J. Mueller",,Chelotriton,,paradoxus,,,,,43465,2008,Romania,Arad,46.281944,21.923611,45.78,21.55,"Middle Miocene",Serravallian,"Cenozoic 5","Middle Miocene",12.700,12.154,,
136919,PaleoDB,"J. Mueller",,Triturus,,sp.,,,,,43777,2005,France,Midi-Pyrenees,43.935278,0.223611,44.07,-1.20,"Early/Lower Miocene",Burdigalian,"Cenozoic 5","Lower Miocene",16.900,16.435,,
136919,PaleoDB,"J. Mueller",,Triturus,cf.,marmoratus,,,,,43777,2005,France,Midi-Pyrenees,43.935278,0.223611,44.07,-1.20,"Early/Lower Miocene",Burdigalian,"Cenozoic 5","Lower Miocene",16.900,16.435,,
136919,PaleoDB,"J. Mueller",,Triturus,aff.,helveticus,,,,,43777,2005,France,Midi-Pyrenees,43.935278,0.223611,44.07,-1.20,"Early/Lower Miocene",Burdigalian,"Cenozoic 5","Lower Miocene",16.900,16.435,,
136919,PaleoDB,"J. Mueller",cf.,Chelotriton,,sp.,,,,,43777,2005,France,Midi-Pyrenees,43.935278,0.223611,44.07,-1.20,"Early/Lower Miocene",Burdigalian,"Cenozoic 5","Lower Miocene",16.900,16.435,,
138825,PaleoDB,"J. Mueller",,Salamandrina,,sp.,,,,,44504,2006,Italy,Sardinia,40.719444,9.101389,42.59,4.15,,,"Cenozoic 5",,23.030,18.34,,
167304,,"P. Mannion",cf.,Kiyatriton,,sp.,,,,,54584,2015,"Russian Federation",Kemerovo,55.973056,88.093056,54.70,80.33,,,,,125.450,112.575,Ilek,
167497,,"J. Mueller",,Triturus,,sp.,,,,,54667,1999,Hungary,Nograd,47.965278,19.686111,47.49,19.37,,,,,13.650,12.375,Sajovolgyi,
167509,,"J. Mueller",,Triturus,,sp.,,,,,54667,1999,Hungary,Nograd,47.965278,19.686111,47.49,19.37,,,,,13.650,12.375,Sajovolgyi,
167512,,"J. Mueller",,Triturus,,sp.,,,,,54667,1999,Hungary,Nograd,47.965278,19.686111,47.49,19.37,,,,,13.650,12.375,Sajovolgyi,
167534,,"J. Mueller",,Megalotriton,,sp.,,,,,54669,2015,France,Midi-Pyrenées,44.350556,1.672222,43.63,-1.60,"Early/Lower Oligocene",Rupelian,"Cenozoic 4",Rupelian,33.900,31.15,,
167537,,"J. Mueller",,Salamandra,,sp.,,,,,54669,2015,France,Midi-Pyrenées,44.350556,1.672222,43.63,-1.60,"Early/Lower Oligocene",Rupelian,"Cenozoic 4",Rupelian,33.900,31.15,,
168177,,"J. Mueller",,Lissotriton,cf.,rohrsi,,,,,55074,2013,Hungary,Heves,47.970833,20.413889,47.60,20.17,"Late/Upper Miocene",Tortonian,"Cenozoic 6","Upper Miocene",11.100,10.4,,
168177,,"J. Mueller",,Salamandrina,,sp.,,,,,55074,2013,Hungary,Heves,47.970833,20.413889,47.60,20.17,"Late/Upper Miocene",Tortonian,"Cenozoic 6","Upper Miocene",11.100,10.4,,
168187,,"J. Mueller",,Lissotriton,cf.,rohrsi,,,,,55074,2013,Hungary,Heves,47.970833,20.413889,47.60,20.17,"Late/Upper Miocene",Tortonian,"Cenozoic 6","Upper Miocene",11.100,10.4,,
168189,,"J. Mueller",,Lissotriton,cf.,rohrsi,,,,,55074,2013,Hungary,Heves,47.970833,20.413889,47.60,20.17,"Late/Upper Miocene",Tortonian,"Cenozoic 6","Upper Miocene",11.100,10.4,,
168191,,"J. Mueller",,Parahynobius,,sp.,,,,,55074,2013,Hungary,Heves,47.970833,20.413889,47.60,20.17,"Late/Upper Miocene",Tortonian,"Cenozoic 6","Upper Miocene",11.100,10.4,,
