collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,pubyr,country,state,latdec,lngdec,paleolatdec,paleolngdec,epoch,stage,10_my_bin,FR2_bin,ma_max,ma_mid,formation,member
14455,Fossilworks,"J. Alroy",,Parrisia,,neocesariensis,,Prodesmodon,,sp.,1691,1992,"United States","New Jersey",40.3,-74.3,39.42,-44.01,"Late/Upper Cretaceous",Campanian,"Cretaceous 7",Campanian,84.900,77.75,Marshalltown,
14455,Fossilworks,"J. Alroy","n. gen.",Parrisia,"n. sp.",neocesariensis,,Opisthotriton,,sp.,1691,1992,"United States","New Jersey",40.3,-74.3,39.42,-44.01,"Late/Upper Cretaceous",Campanian,"Cretaceous 7",Campanian,84.900,77.75,Marshalltown,
14458,Fossilworks,"J. Alroy",,Lisserpeton,,bairdi,,,,,2237,1986,"United States",Wyoming,42.8544,-107.2781,49.66,-75.82,"Late/Upper Cretaceous",Campanian,"Cretaceous 7",Campanian,75.5,75.4,Mesaverde,
14458,Fossilworks,"J. Alroy",,Prodesmodon,,copei,,,,,2237,1986,"United States",Wyoming,42.8544,-107.2781,49.66,-75.82,"Late/Upper Cretaceous",Campanian,"Cretaceous 7",Campanian,75.5,75.4,Mesaverde,
14458,Fossilworks,"J. Alroy",,Habrosaurus,,dilatus,,,,,2237,1986,"United States",Wyoming,42.8544,-107.2781,49.66,-75.82,"Late/Upper Cretaceous",Campanian,"Cretaceous 7",Campanian,75.5,75.4,Mesaverde,
14458,Fossilworks,"J. Alroy",,Scapherpeton,,tectum,,,,,2237,1986,"United States",Wyoming,42.8544,-107.2781,49.66,-75.82,"Late/Upper Cretaceous",Campanian,"Cretaceous 7",Campanian,75.5,75.4,Mesaverde,
14463,Fossilworks,"J. Alroy",,Habrosaurus,"n. sp.",prodilatus,,,,,1517,1979,Canada,Alberta,49.9567,-110.2662,57.05,-75.20,"Late/Upper Cretaceous",Campanian,"Cretaceous 7",Campanian,74.7,74.6,"Dinosaur Park",
14490,Fossilworks,"J. Alroy",,Scapherpeton,,sp.,,,,,1487,1989,"United States",Montana,46.1,-109.1,53.15,-76.17,"Late/Upper Cretaceous",Campanian,"Cretaceous 7",Campanian,80.9,78.55,"Judith River",
14490,Fossilworks,"J. Alroy",,Opisthotriton,,sp.,,,,,1487,1989,"United States",Montana,46.1,-109.1,53.15,-76.17,"Late/Upper Cretaceous",Campanian,"Cretaceous 7",Campanian,80.9,78.55,"Judith River",
14494,Fossilworks,"J. Alroy",,Scapherpeton,,sp.,,,,,3313,1993,Canada,Saskatchewan,49.1,-109.5,56.07,-74.89,"Late/Upper Cretaceous",Campanian,"Cretaceous 7",Campanian,80.5,80.4,"Judith River","Coal Ridge"
14494,Fossilworks,"J. Alroy",,Opisthotriton,,sp.,,,,,3313,1993,Canada,Saskatchewan,49.1,-109.5,56.07,-74.89,"Late/Upper Cretaceous",Campanian,"Cretaceous 7",Campanian,80.5,80.4,"Judith River","Coal Ridge"
14502,Fossilworks,"J. Alroy",,Opisthotriton,,sp.,,,,,13943,1975,Canada,Alberta,49.913,-112.9853,57.72,-85.66,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,70.600,68.3215,"St. Mary River",
14505,Fossilworks,"J. Alroy",,Opisthotriton,,kayi,,,,,3880,1954,"United States",Wyoming,43.183333,-104.533333,49.65,-79.37,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,67.3,67.2,Lance,
14505,Fossilworks,"J. Alroy",,Lisserpeton,,bairdi,,,,,3880,1954,"United States",Wyoming,43.183333,-104.533333,49.65,-79.37,"Late/Upper Cretaceous",Maastrichtian,"Cretaceous 8",Maastrichtian,67.3,67.2,Lance,
