collection_no,source_database,collection.authorizer,class_name,order_name,family_name,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,pubyr,collection_name,country,state,latdec,lngdec,paleolatdec,paleolngdec,stage,10_my_bin,FR2_bin,formation,member
14566,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Prodesmodon,,copei,,Cuttysarkus,,mcnallyi,14177,1915,"Hatcher No. 2 (UCMP V-5815)","United States",Wyoming,43.128947,-104.494713,49.59,-79.36,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14566,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,14177,1915,"Hatcher No. 2 (UCMP V-5815)","United States",Wyoming,43.128947,-104.494713,49.59,-79.36,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14566,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,14177,1915,"Hatcher No. 2 (UCMP V-5815)","United States",Wyoming,43.128947,-104.494713,49.59,-79.36,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14566,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Prodesmodon,,copei,,,,,14177,1915,"Hatcher No. 2 (UCMP V-5815)","United States",Wyoming,43.128947,-104.494713,49.59,-79.36,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14570,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,1239,1964,"Howard Locality","United States",Wyoming,43.2500,-104.5167,49.71,-79.33,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14574,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,sp.,,,,,960,1982,"Jordan Coulee","United States",Montana,47.5333,-106.9167,54.29,-80.02,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14574,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,960,1982,"Jordan Coulee","United States",Montana,47.5333,-106.9167,54.29,-80.02,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14577,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,1239,1964,"Kent 1","United States",Wyoming,43.2333,-104.5833,49.70,-79.41,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14577,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Prodesmodon,,copei,,,,,1239,1964,"Kent 1","United States",Wyoming,43.2333,-104.5833,49.70,-79.41,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14577,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,1239,1964,"Kent 1","United States",Wyoming,43.2333,-104.5833,49.70,-79.41,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14579,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,1239,1964,"Kent 484","United States",Wyoming,43.0,-104.5,49.46,-79.41,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14580,Fossilworks,"J. Alroy",,,Urodela,,Lisserpeton,,sp.,,,,,2255,1995,"K-Mark Channel","United States",Montana,47.8,-106.1,54.38,-78.99,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14582,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,960,1982,"Lead Slug Hill 1","United States",Montana,47.667,-106.9167,54.42,-79.96,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14582,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,960,1982,"Lead Slug Hill 1","United States",Montana,47.667,-106.9167,54.42,-79.96,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14585,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,1239,1964,"Lull 2 Quarry (UCMP V-5620)","United States",Wyoming,43.116331,-104.636999,49.60,-79.51,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14585,Fossilworks,"J. Alroy",,,Batrachosauroididae,"n. gen.",Prodesmodon,"n. sp.",copei,,,,,1239,1964,"Lull 2 Quarry (UCMP V-5620)","United States",Wyoming,43.116331,-104.636999,49.60,-79.51,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14585,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,1239,1964,"Lull 2 Quarry (UCMP V-5620)","United States",Wyoming,43.116331,-104.636999,49.60,-79.51,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14585,Fossilworks,"J. Alroy",,,Batrachosauroididae,"n. gen.",Prodesmodon,"n. sp.",copei,"n. gen.",Cuttysarkus,"n. sp.",mcnallyi,1239,1964,"Lull 2 Quarry (UCMP V-5620)","United States",Wyoming,43.116331,-104.636999,49.60,-79.51,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14585,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,1239,1964,"Lull 2 Quarry (UCMP V-5620)","United States",Wyoming,43.116331,-104.636999,49.60,-79.51,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14585,Fossilworks,"J. Alroy",,,Urodela,,Lisserpeton,,bairdi,,,,,1239,1964,"Lull 2 Quarry (UCMP V-5620)","United States",Wyoming,43.116331,-104.636999,49.60,-79.51,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14596,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Prodesmodon,,copei,,Cuttysarkus,,mcnallyi,1239,1964,"McNally No. 1","United States",Wyoming,43.1500,-104.5667,49.62,-79.42,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14596,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,1239,1964,"McNally No. 1","United States",Wyoming,43.1500,-104.5667,49.62,-79.42,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14596,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,1239,1964,"McNally No. 1","United States",Wyoming,43.1500,-104.5667,49.62,-79.42,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14596,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Prodesmodon,,copei,,,,,1239,1964,"McNally No. 1","United States",Wyoming,43.1500,-104.5667,49.62,-79.42,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14598,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Prodesmodon,,copei,,,,,1239,1964,Nern-Baker,"United States",Wyoming,43.8000,-104.6167,50.26,-79.21,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14601,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,1239,1964,"Oil Tank Lookout (UCMP V-5624)","United States",Wyoming,43.0,-104.5,49.46,-79.41,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14610,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,1984,1996,"PTRM V92067","United States","North Dakota",46.1,-103.3,52.20,-76.75,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14610,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,1984,1996,"PTRM V92067","United States","North Dakota",46.1,-103.3,52.20,-76.75,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14610,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,1984,1996,"PTRM V92067","United States","North Dakota",46.1,-103.3,52.20,-76.75,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14613,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,960,1982,"Rex Hill Locality","United States",Montana,47.6000,-107.23333,54.41,-80.34,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14614,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,960,1982,"Rick's Place","United States",Montana,47.5167,-107,54.29,-80.13,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14615,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,960,1982,"Ried Coulee 1","United States",Montana,47.5333,-106.8833,54.28,-79.99,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14616,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,sp.,,,,,1987,1998,"Sandstone Basin","United States",Montana,47.633333,-107.383333,54.47,-80.49,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14616,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,sp.,,,,,1987,1998,"Sandstone Basin","United States",Montana,47.633333,-107.383333,54.47,-80.49,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14621,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,1921,1994,"Stumpf Site (Level B)","United States","North Dakota",46.9,-101.5,52.61,-74.43,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14621,Fossilworks,"J. Alroy",,,Urodela,,Lisserpeton,cf.,bairdi,,,,,1921,1994,"Stumpf Site (Level B)","United States","North Dakota",46.9,-101.5,52.61,-74.43,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14639,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,960,1982,"Trumbo's Anthill","United States",Montana,47.5167,-107.5,54.39,-80.68,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14639,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,960,1982,"Trumbo's Anthill","United States",Montana,47.5167,-107.5,54.39,-80.68,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14639,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,960,1982,"Trumbo's Anthill","United States",Montana,47.5167,-107.5,54.39,-80.68,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14640,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,717,1979,"Ken's Site","United States",Colorado,40.386389,-104.491667,46.94,-80.43,Maastrichtian,"Cretaceous 8",Maastrichtian,Laramie,
14640,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,717,1979,"Ken's Site","United States",Colorado,40.386389,-104.491667,46.94,-80.43,Maastrichtian,"Cretaceous 8",Maastrichtian,Laramie,
14640,Fossilworks,"J. Alroy",,,Urodela,,Lisserpeton,,bairdi,,,,,717,1979,"Ken's Site","United States",Colorado,40.386389,-104.491667,46.94,-80.43,Maastrichtian,"Cretaceous 8",Maastrichtian,Laramie,
14653,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,960,1982,"Wild Horse Basin","United States",Montana,47.6,-106.2833,54.23,-79.29,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14654,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,960,1982,"Windy Hill","United States",Montana,47.6,-106.2667,54.23,-79.27,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14654,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,960,1982,"Windy Hill","United States",Montana,47.6,-106.2667,54.23,-79.27,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14655,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Prodesmodon,,copei,,,,,1535,1989,"Wounded Knee (WK)",Canada,Saskatchewan,49.3,-108.4,56.27,-80.77,Maastrichtian,"Cretaceous 8",Maastrichtian,Frenchman,
14655,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,1535,1989,"Wounded Knee (WK)",Canada,Saskatchewan,49.3,-108.4,56.27,-80.77,Maastrichtian,"Cretaceous 8",Maastrichtian,Frenchman,
14655,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,1535,1989,"Wounded Knee (WK)",Canada,Saskatchewan,49.3,-108.4,56.27,-80.77,Maastrichtian,"Cretaceous 8",Maastrichtian,Frenchman,
14655,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,1535,1989,"Wounded Knee (WK)",Canada,Saskatchewan,49.3,-108.4,56.27,-80.77,Maastrichtian,"Cretaceous 8",Maastrichtian,Frenchman,
14658,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,cf.,kayi,,,,,2585,1983,Alexander,"United States",Colorado,39.7,-104.7,45.91,-82.46,Danian,"Cenozoic 1",Danian,Denver,
14766,Fossilworks,"J. Alroy",,,Urodela,,Lisserpeton,,bairdi,,,,,3489,1965,"Purgatory Hill","United States",Montana,47.8,-106.1,54.00,-80.77,Danian,"Cenozoic 1",Danian,Tullock,"Collins Ranch"
14766,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,3489,1965,"Purgatory Hill","United States",Montana,47.8,-106.1,54.00,-80.77,Danian,"Cenozoic 1",Danian,Tullock,"Collins Ranch"
14766,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Prodesmodon,,copei,,,,,3489,1965,"Purgatory Hill","United States",Montana,47.8,-106.1,54.00,-80.77,Danian,"Cenozoic 1",Danian,Tullock,"Collins Ranch"
14766,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,3489,1965,"Purgatory Hill","United States",Montana,47.8,-106.1,54.00,-80.77,Danian,"Cenozoic 1",Danian,Tullock,"Collins Ranch"
14805,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,829,1986,"Cedar Mountain (UW V-82010)","United States",Wyoming,43.85,-108.35,50.59,-84.93,Danian,"Cenozoic 1",Danian,"Polecat Bench",
14805,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,829,1986,"Cedar Mountain (UW V-82010)","United States",Wyoming,43.85,-108.35,50.59,-84.93,Danian,"Cenozoic 1",Danian,"Polecat Bench",
14865,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,3649,1993,"Kutz Canyon (KUVP loc. 14)","United States","New Mexico",36.5746,-107.9747,43.16,-87.97,Danian,"Cenozoic 1",Danian,Nacimiento,
14874,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,23573,1976,"Medicine Rocks Site 1","United States",Montana,46.050000,-104.483333,51.78,-80.95,Danian,"Cenozoic 1",Danian,"Fort Union",Ekalaka
14874,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,23573,1976,"Medicine Rocks Site 1","United States",Montana,46.050000,-104.483333,51.78,-80.95,Danian,"Cenozoic 1",Danian,"Fort Union",Ekalaka
14874,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,23573,1976,"Medicine Rocks Site 1","United States",Montana,46.050000,-104.483333,51.78,-80.95,Danian,"Cenozoic 1",Danian,"Fort Union",Ekalaka
14874,Fossilworks,"J. Alroy",,,Urodela,,Lisserpeton,,bairdi,,,,,23573,1976,"Medicine Rocks Site 1","United States",Montana,46.050000,-104.483333,51.78,-80.95,Danian,"Cenozoic 1",Danian,"Fort Union",Ekalaka
14906,Fossilworks,"J. Alroy",,,Urodela,cf.,Scapherpeton,,tectum,,,,,2953,1981,"Gidley Quarry","United States",Montana,45.8,-109.8,52.46,-86.88,Danian,"Cenozoic 1",Danian,"Fort Union",
14906,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,2953,1981,"Gidley Quarry","United States",Montana,45.8,-109.8,52.46,-86.88,Danian,"Cenozoic 1",Danian,"Fort Union",
14906,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,2953,1981,"Gidley Quarry","United States",Montana,45.8,-109.8,52.46,-86.88,Danian,"Cenozoic 1",Danian,"Fort Union",
14906,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,"n. sp.",gidleyi,,,,,2953,1981,"Gidley Quarry","United States",Montana,45.8,-109.8,52.46,-86.88,Danian,"Cenozoic 1",Danian,"Fort Union",
14912,Fossilworks,"J. Alroy",,,Urodela,,Lisserpeton,,bairdi,,,,,2953,1981,"Rock Bench Quarry","United States",Wyoming,44.3,-109,50.87,-86.57,Danian,"Cenozoic 1",Danian,,
14912,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,2953,1981,"Rock Bench Quarry","United States",Wyoming,44.3,-109,50.87,-86.57,Danian,"Cenozoic 1",Danian,,
14912,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,2953,1981,"Rock Bench Quarry","United States",Wyoming,44.3,-109,50.87,-86.57,Danian,"Cenozoic 1",Danian,,
14912,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,2953,1981,"Rock Bench Quarry","United States",Wyoming,44.3,-109,50.87,-86.57,Danian,"Cenozoic 1",Danian,,
14931,Fossilworks,"J. Alroy",,,Urodela,,Piceoerpeton,,willwoodense,,,,,1929,1978,Brisbane,"United States","North Dakota",46.7,-101.8,51.38,-80.08,,"Cenozoic 1",Thanetian,Slope,
14934,Fossilworks,"J. Alroy",,,Urodela,,Piceoerpeton,,willwoodense,,,,,1534,1988,"Canyon Ski Quarry",Canada,Alberta,52.2,-113.7,58.60,-90.83,,"Cenozoic 1",Thanetian,Paskapoo,
14955,Fossilworks,"J. Alroy",,,Urodela,,Piceoerpeton,,willwoodense,,,,,1731,1994,"Highway Blowout","United States",Montana,45.8,-104.4,50.93,-83.20,,"Cenozoic 1",Thanetian,,
14978,Fossilworks,"J. Alroy",,,Urodela,,Cryptobranchus,"n. sp.",saskatchewanensis,,,,,1536,1990,"Roche Percée",Canada,Saskatchewan,49.64,-102.748,54.39,-79.88,,"Cenozoic 1",Thanetian,Ravenscrag,
14978,Fossilworks,"J. Alroy",,,Urodela,,Necturus,"n. sp.",krausei,,,,,1536,1990,"Roche Percée",Canada,Saskatchewan,49.64,-102.748,54.39,-79.88,,"Cenozoic 1",Thanetian,Ravenscrag,
14978,Fossilworks,"J. Alroy",,,Urodela,,Piceoerpeton,,willwoodense,,,,,1536,1990,"Roche Percée",Canada,Saskatchewan,49.64,-102.748,54.39,-79.88,,"Cenozoic 1",Thanetian,Ravenscrag,
14992,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,sp.,,,,,1526,1984,"Saxonella Locality",Canada,Alberta,52.350000,-113.766667,58.76,-90.84,,"Cenozoic 1",Thanetian,Paskapoo,
14992,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,sp.,,,,,1526,1984,"Saxonella Locality",Canada,Alberta,52.350000,-113.766667,58.76,-90.84,,"Cenozoic 1",Thanetian,Paskapoo,
15000,Fossilworks,"J. Alroy",,,Urodela,,Piceoerpeton,,willwoodense,,,,,1459,1991,"Wannagan Creek Quarry","United States","North Dakota",47.033333,-103.65,52.01,-81.93,Selandian,"Cenozoic 1",Thanetian,"Bullion Creek (Tongue River)",
15000,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,sp.,,,,,1459,1991,"Wannagan Creek Quarry","United States","North Dakota",47.033333,-103.65,52.01,-81.93,Selandian,"Cenozoic 1",Thanetian,"Bullion Creek (Tongue River)",
15017,Fossilworks,"J. Alroy",,,Urodela,,Lisserpeton,,bairdi,,,,,2953,1981,"Cedar Point Quarry","United States",Wyoming,44.72380,-108.37675,50.52,-87.90,,"Cenozoic 1",Thanetian,"Fort Union",
15017,Fossilworks,"J. Alroy",,,Urodela,,Piceoerpeton,,willwoodense,,,,,2953,1981,"Cedar Point Quarry","United States",Wyoming,44.72380,-108.37675,50.52,-87.90,,"Cenozoic 1",Thanetian,"Fort Union",
15028,Fossilworks,"J. Alroy",,,Urodela,,Piceoerpeton,,willwoodense,,,,,2161,1987,"Fossil Hollow","United States",Wyoming,44.3,-109,49.69,-90.34,Thanetian,"Cenozoic 1",Thanetian,,
15049,Fossilworks,"J. Alroy",,,Urodela,,Amphiuma,"n. sp.",jepseni,,,,,2953,1981,"Princeton Quarry","United States",Wyoming,44.9075,-108.9344,50.76,-88.43,,"Cenozoic 1",Thanetian,"Polecat Bench",
15049,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,2953,1981,"Princeton Quarry","United States",Wyoming,44.9075,-108.9344,50.76,-88.43,,"Cenozoic 1",Thanetian,"Polecat Bench",
15049,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,2953,1981,"Princeton Quarry","United States",Wyoming,44.9075,-108.9344,50.76,-88.43,,"Cenozoic 1",Thanetian,"Polecat Bench",
15065,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,2155,1977,"Schaff Quarry","United States",Wyoming,44.9075,-108.914,50.78,-88.42,,"Cenozoic 1",Thanetian,"Polecat Bench",
15079,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,sp.,,,,,2993,1967,"Bear Creek","United States",Montana,45.2,-109,50.57,-90.06,Thanetian,"Cenozoic 1",Thanetian,"Polecat Bench",
15082,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,sp.,,Opisthotriton,,kayi,2161,1987,FG-6,"United States",Wyoming,44.71873,-108.6175,50.23,-89.26,Thanetian,"Cenozoic 1",Thanetian,"Fort Union",
15082,Fossilworks,"J. Alroy",,,Urodela,,Piceoerpeton,,willwoodense,,,,,2161,1987,FG-6,"United States",Wyoming,44.71873,-108.6175,50.23,-89.26,Thanetian,"Cenozoic 1",Thanetian,"Fort Union",
15176,Fossilworks,"J. Alroy",,,Urodela,,Piceoerpeton,,willwoodense,,,,,2953,1981,SC-171,"United States",Wyoming,44.3,-109,49.69,-90.34,Thanetian,"Cenozoic 1",Thanetian,,
15583,Fossilworks,"J. Alroy",,,Urodela,,Piceoerpeton,,willwoodense,,Piceoerpeton,cf.,willwoodense,3612,1977,"Ellesmere Island (Lower)",Canada,"Northwest Territories",78.5,-82,75.78,-30.20,Ypresian,"Cenozoic 2",Ypresian,Margaret,
15853,Fossilworks,"J. Alroy",,,Urodela,"n. gen.",Paleoamphiuma,"n. sp.",tetradactylum,,,,,1693,1994,"Tynsky Quarry","United States",Wyoming,41.7784,-110.734,46.89,-94.44,Ypresian,"Cenozoic 2",Ypresian,"Green River","Fossil Butte"
15895,Fossilworks,"J. Alroy",,,Urodela,"n. gen.",Chrysotriton,"n. sp.",tiheni,,,,,2028,1963,"White Butte/Turtle Valley","United States","North Dakota",46.9,-102.8,50.89,-84.52,Ypresian,"Cenozoic 2",Ypresian,"Golden Valley",
15895,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Batrachosauroides,"n. sp.",gotoi,,,,,2028,1963,"White Butte/Turtle Valley","United States","North Dakota",46.9,-102.8,50.89,-84.52,Ypresian,"Cenozoic 2",Ypresian,"Golden Valley",
16235,Fossilworks,"J. Alroy",,,Urodela,,Siren,"n. sp.",dunni,,,,,7017,1909,"Henry's Fork Hill (Bridger C)","United States",Wyoming,41.7,-109,45.57,-95.13,,"Cenozoic 2",,Bridger,upper
16919,Fossilworks,"J. Alroy",,,Urodela,,Ambystoma,,tiheni,,,,,3318,1996,"Calf Creek",Canada,Saskatchewan,49.566667,-109.883333,51.27,-100.47,Priabonian,"Cenozoic 3",Priabonian,"Cypress Hills",
17318,Fossilworks,"J. Alroy",,,Batrachosauroididae,?,Batrachosauroides,,sp.,,,,,3102,1978,"Cedar Ridge","United States",Wyoming,43.3351,-107.469,44.72,-99.38,Rupelian,"Cenozoic 4",Rupelian,,
17543,Fossilworks,"J. Alroy",,,Urodela,,Taricha,"n. sp.",miocenica,,Taricha,"n. sp.",miocenica,2831,1989,"Middle Cabbage Patch Beds","United States",Montana,46.650000,-113.05,47.80,-107.15,Chattian,"Cenozoic 4",Chattian,Renova,
17923,Fossilworks,"J. Alroy",,,Urodela,,Andrias,,matthewi,,,,,3558,1999,"Havorka Quarry","United States",Nebraska,42.8,-103.1,43.52,-99.20,Burdigalian,"Cenozoic 5","Lower Miocene",Runningwater,
17963,Fossilworks,"J. Alroy",,,Urodela,,Ambystoma,aff.,minshalli,,,,,7577,1976,"Marsland Quarry","United States",Nebraska,42.3740,-103.3177,43.10,-99.43,Burdigalian,"Cenozoic 5","Lower Miocene",Runningwater,
17965,Fossilworks,"J. Alroy",,,Urodela,,Andrias,,matthewi,,,,,3703,1960,"Martin Canyon Quarry A","United States",Colorado,40.900000,-103.283333,41.62,-99.44,Burdigalian,"Cenozoic 5","Lower Miocene","Pawnee Creek",
17969,Fossilworks,"J. Alroy",,,Urodela,,Andrias,,matthewi,,Plicagnathus,"n. sp.",matthewi,3175,1977,"Mesoceras Quarry","United States",Nebraska,42.4,-103.8,43.13,-99.92,Burdigalian,"Cenozoic 5","Lower Miocene","Snake Creek","subcycle 3"
18102,Fossilworks,"J. Alroy",,,Urodela,,Ambystoma,,minshalli,,,,,781,1987,"Corner's Gap","United States",Nebraska,41.5,-103.8,42.10,-100.58,Langhian,"Cenozoic 5","Middle Miocene",,
18141,Fossilworks,"J. Alroy",,,Urodela,,Ambystoma,"n. sp.",priscum,,,,,3503,1990,"Egelhoff Quarry","United States",Nebraska,42.8061,-100.505,43.36,-97.23,,"Cenozoic 5","Middle Miocene",Valentine,"Cornell Dam"
18141,Fossilworks,"J. Alroy",,,Urodela,,Ambystoma,,minshalli,,,,,3503,1990,"Egelhoff Quarry","United States",Nebraska,42.8061,-100.505,43.36,-97.23,,"Cenozoic 5","Middle Miocene",Valentine,"Cornell Dam"
18208,Fossilworks,"J. Alroy",,,Urodela,,Ambystoma,,minshalli,,,,,781,1987,"Immense Journey Quarry","United States",Nebraska,41.5,-103.8,42.10,-100.58,Langhian,"Cenozoic 5","Middle Miocene",,
18284,Fossilworks,"J. Alroy",,,Urodela,,Andrias,"n. sp.",matthewi,,Cryptobranchus,"n. sp.",mccalli,25657,1963,"Norden Bridge Quarry","United States",Nebraska,42.783333,-100.033333,43.33,-96.75,,"Cenozoic 5","Middle Miocene",Valentine,"Cornell Dam"
18284,Fossilworks,"J. Alroy",,,Urodela,,Siren,,sp.,,,,,25657,1963,"Norden Bridge Quarry","United States",Nebraska,42.783333,-100.033333,43.33,-96.75,,"Cenozoic 5","Middle Miocene",Valentine,"Cornell Dam"
18284,Fossilworks,"J. Alroy",,,Urodela,,Ambystoma,"n. sp.",minshalli,,,,,25657,1963,"Norden Bridge Quarry","United States",Nebraska,42.783333,-100.033333,43.33,-96.75,,"Cenozoic 5","Middle Miocene",Valentine,"Cornell Dam"
18303,Fossilworks,"J. Alroy",,,Urodela,,Ambystoma,,minshalli,,,,,1717,1977,"Glenn Olson Quarry","United States","South Dakota",43.533333,-99.133333,44.07,-95.82,,"Cenozoic 5","Middle Miocene","Fort Randall","""rock rose"" zone"
18397,Fossilworks,"J. Alroy",,,Urodela,,Ambystoma,,minshalli,,,,,6331,1985,"South Bijou Hill","United States","South Dakota",43.1,-98.3,43.62,-94.99,,"Cenozoic 5","Middle Miocene","Fort Randall",
18442,Fossilworks,"J. Alroy",,,Urodela,,Ambystoma,,minshalli,,,,,3503,1990,"Valentine Railway Quarries","United States",Nebraska,42.8,-100.8,43.36,-97.52,,"Cenozoic 5","Middle Miocene",Valentine,"Crookston Bridge"
