collection_no,source_database,collection.authorizer,class_name,order_name,family_name,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.reference_no,pubyr,collection_name,country,state,latdec,lngdec,paleolatdec,paleolngdec,stage,10_my_bin,FR2_bin,formation,member
14455,Fossilworks,"J. Alroy",,,Batrachosauroididae,"n. gen.",Parrisia,"n. sp.",neocesariensis,,Opisthotriton,,sp.,1691,1992,"Ellisdale Site","United States","New Jersey",40.3,-74.3,39.42,-44.01,Campanian,"Cretaceous 7",Campanian,Marshalltown,
14455,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Parrisia,,neocesariensis,,Prodesmodon,,sp.,1691,1992,"Ellisdale Site","United States","New Jersey",40.3,-74.3,39.42,-44.01,Campanian,"Cretaceous 7",Campanian,Marshalltown,
14458,Fossilworks,"J. Alroy",,,Urodela,,Lisserpeton,,bairdi,,,,,2237,1986,"Fales Rocks 1","United States",Wyoming,42.8544,-107.2781,49.66,-75.82,Campanian,"Cretaceous 7",Campanian,Mesaverde,
14458,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,2237,1986,"Fales Rocks 1","United States",Wyoming,42.8544,-107.2781,49.66,-75.82,Campanian,"Cretaceous 7",Campanian,Mesaverde,
14458,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,2237,1986,"Fales Rocks 1","United States",Wyoming,42.8544,-107.2781,49.66,-75.82,Campanian,"Cretaceous 7",Campanian,Mesaverde,
14458,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Prodesmodon,,copei,,,,,2237,1986,"Fales Rocks 1","United States",Wyoming,42.8544,-107.2781,49.66,-75.82,Campanian,"Cretaceous 7",Campanian,Mesaverde,
14463,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,"n. sp.",prodilatus,,,,,1517,1979,"Irvine microvertebrate site",Canada,Alberta,49.9567,-110.2662,57.05,-75.20,Campanian,"Cretaceous 7",Campanian,"Dinosaur Park",
14490,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,sp.,,,,,1487,1989,"Top Cat Quarry (TCQ)","United States",Montana,46.1,-109.1,53.15,-76.17,Campanian,"Cretaceous 7",Campanian,"Judith River",
14490,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,sp.,,,,,1487,1989,"Top Cat Quarry (TCQ)","United States",Montana,46.1,-109.1,53.15,-76.17,Campanian,"Cretaceous 7",Campanian,"Judith River",
14494,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,sp.,,,,,3313,1993,"Woodpile Creek",Canada,Saskatchewan,49.1,-109.5,56.07,-74.89,Campanian,"Cretaceous 7",Campanian,"Judith River","Coal Ridge"
14494,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,sp.,,,,,3313,1993,"Woodpile Creek",Canada,Saskatchewan,49.1,-109.5,56.07,-74.89,Campanian,"Cretaceous 7",Campanian,"Judith River","Coal Ridge"
14502,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,sp.,,,,,13943,1975,"Scabby Butte, Site 3",Canada,Alberta,49.913,-112.9853,57.72,-85.66,Maastrichtian,"Cretaceous 8",Maastrichtian,"St. Mary River",
14505,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,3880,1954,"Altman Blowout","United States",Wyoming,43.183333,-104.533333,49.65,-79.37,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14505,Fossilworks,"J. Alroy",,,Urodela,,Lisserpeton,,bairdi,,,,,3880,1954,"Altman Blowout","United States",Wyoming,43.183333,-104.533333,49.65,-79.37,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14505,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,3880,1954,"Altman Blowout","United States",Wyoming,43.183333,-104.533333,49.65,-79.37,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14505,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Prodesmodon,,copei,,,,,3880,1954,"Altman Blowout","United States",Wyoming,43.183333,-104.533333,49.65,-79.37,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14505,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,3880,1954,"Altman Blowout","United States",Wyoming,43.183333,-104.533333,49.65,-79.37,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14508,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,960,1982,"Baldy Butte SW-Blazing Saddle","United States",Montana,47.5500,-107.1333,54.35,-80.26,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14508,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,sp.,,,,,960,1982,"Baldy Butte SW-Blazing Saddle","United States",Montana,47.5500,-107.1333,54.35,-80.26,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14508,Fossilworks,"J. Alroy",,,Urodela,,Lisserpeton,,atlantes,,,,,960,1982,"Baldy Butte SW-Blazing Saddle","United States",Montana,47.5500,-107.1333,54.35,-80.26,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14513,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,960,1982,"Billy Creek 2","United States",Montana,47.6167,-107.3167,54.45,-80.43,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14513,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,sp.,,,,,960,1982,"Billy Creek 2","United States",Montana,47.6167,-107.3167,54.45,-80.43,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14513,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,sp.,,,,,960,1982,"Billy Creek 2","United States",Montana,47.6167,-107.3167,54.45,-80.43,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14514,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,tectum,,,,,1129,1982,"Robber's Roost (UW V-79032)","United States",Wyoming,41.5683,-108.6678,48.87,-84.54,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14514,Fossilworks,"J. Alroy",,,Urodela,,Lisserpeton,,bairdi,,,,,1129,1982,"Robber's Roost (UW V-79032)","United States",Wyoming,41.5683,-108.6678,48.87,-84.54,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14514,Fossilworks,"J. Alroy",,,Urodela,,Habrosaurus,,dilatus,,,,,1129,1982,"Robber's Roost (UW V-79032)","United States",Wyoming,41.5683,-108.6678,48.87,-84.54,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14514,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Prodesmodon,,copei,,,,,1129,1982,"Robber's Roost (UW V-79032)","United States",Wyoming,41.5683,-108.6678,48.87,-84.54,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14514,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,1129,1982,"Robber's Roost (UW V-79032)","United States",Wyoming,41.5683,-108.6678,48.87,-84.54,Maastrichtian,"Cretaceous 8",Maastrichtian,Lance,
14515,Fossilworks,"J. Alroy",,,Batrachosauroididae,,Opisthotriton,,kayi,,,,,3198,1965,"Brownie Butte","United States",Montana,47.6,-107,54.37,-80.08,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
14515,Fossilworks,"J. Alroy",,,Urodela,,Scapherpeton,,sp.,,,,,3198,1965,"Brownie Butte","United States",Montana,47.6,-107,54.37,-80.08,Maastrichtian,"Cretaceous 8",Maastrichtian,"Hell Creek",
