generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
0,0,0.678635,-3240.11,200,0.013422,0
500000,11,68.0421,-3008.63,7.86775,0.00508425,0.4
1000000,10,56.9602,-3017.59,11.9918,0.00582518,0.331
1500000,10,55.0584,-3010.42,8.89653,0.00490915,0.378
2000000,11,64.3161,-3016.73,11.6701,0.00444675,0.354
2500000,10,58.5628,-3001.7,11.9145,0.00414516,0.32
3000000,7,38.21,-3016.59,13.5703,0.00444801,0.3605
3500000,6,41.06,-3032.23,10.2806,0.00463187,0.355
4000000,11,63.0192,-3012.18,11.7767,0.00411376,0.369
4500000,10,59.2419,-3023.45,15.3317,0.0054284,0.388
5000000,13,80.109,-3013.29,22.6627,0.00515495,0.378
5500000,8,42.0846,-3015.9,10.1929,0.00440527,0.349
6000000,12,67.6921,-3010.18,12.0618,0.00430669,0.33
6500000,8,48.2059,-3011.95,6.21034,0.00460282,0.309
7000000,10,60.121,-3021.56,9.83398,0.00503527,0.3445
7500000,9,56.8416,-3016.99,12.5107,0.00479491,0.359
8000000,7,43.1935,-3029.34,8.2723,0.00422199,0.34
8500000,12,74.1855,-3012.65,9.2378,0.00391755,0.383
9000000,10,55.2915,-3009.44,10.8989,0.00576496,0.321
9500000,10,57.3328,-3022.91,6.46782,0.00381282,0.362
10000000,4,26.2202,-3037.71,4.35021,0.00511096,0.344167
10500000,11,62.8916,-3010.75,19.0412,0.00396514,0.31
11000000,14,84.7027,-3004.4,11.6594,0.0048418,0.366
11500000,8,47.902,-3018.57,11.2989,0.00464541,0.365
12000000,9,56.4949,-3028.92,14.2199,0.0035373,0.355667
12500000,11,64.0935,-3005.22,15.1288,0.00437147,0.338
13000000,9,56.2418,-3021.25,11.7933,0.00444986,0.371
13500000,9,50.5567,-3020.99,9.46912,0.0045159,0.3185
14000000,10,61.4927,-3011.68,8.07664,0.00381654,0.368
14500000,7,45.1189,-3035.08,8.14593,0.00460427,0.3546
15000000,12,72.5244,-3027.12,16.545,0.00420452,0.387
15500000,8,45.8522,-3017.52,4.63765,0.00411526,0.348
16000000,13,79.1092,-3031.32,17.6959,0.00317231,0.372
16500000,10,57.3508,-3018.04,8.52389,0.00458656,0.348
17000000,7,38.9419,-3015.82,12.7054,0.00453002,0.344
17500000,8,51.786,-3020.65,10.089,0.00571535,0.344
18000000,17,103.504,-3003.08,16.8425,0.00399274,0.377
18500000,11,72.9586,-3016.66,12.9893,0.00433997,0.39
19000000,8,43.1871,-3017.98,10.8633,0.00355451,0.3385
19500000,11,64.8395,-3012.89,12.1629,0.00497277,0.3525
20000000,10,59.7555,-3020.99,12.5226,0.00500276,0.362
20500000,11,76.1526,-3024.71,9.01341,0.00458434,0.385
21000000,12,72.5055,-3003.8,13.9662,0.00388674,0.375
21500000,11,70.1417,-3019.23,12.3581,0.00488803,0.358
22000000,12,75.0064,-3016.15,13.9421,0.00427009,0.336
22500000,6,39.0571,-3028.77,8.78362,0.00401167,0.352
23000000,10,52.6916,-3020.9,7.71475,0.00497877,0.355333
23500000,6,40.0203,-3026.17,8.14688,0.00503441,0.351
24000000,13,80.236,-3003.43,15.1013,0.00494704,0.349
24500000,8,43.9484,-3012.91,10.0666,0.00481023,0.372
25000000,7,40.1359,-3024.48,5.9257,0.00436065,0.3603
25500000,6,38.024,-3022.09,14.7747,0.00404125,0.3375
26000000,10,64.2791,-3011.24,11.8079,0.00525174,0.337
26500000,8,43.6162,-3021.63,14.112,0.00342569,0.3465
27000000,11,73.1829,-3019.9,10.6891,0.00488565,0.386
27500000,9,51.6489,-3017.14,8.14367,0.0044107,0.381
28000000,10,63.8243,-3017.63,13.7658,0.00438265,0.387
28500000,6,32.2076,-3031.1,4.72772,0.00411467,0.360333
29000000,8,45.4316,-3015.69,14.8619,0.00459798,0.406
29500000,9,53.1697,-3012.86,4.80173,0.00564849,0.325
30000000,8,48.7671,-3006.96,7.46373,0.0045811,0.325
30500000,10,63.3166,-3009.29,7.83646,0.0042866,0.368
31000000,13,75.6505,-3005.48,10.2265,0.00484616,0.345
31500000,12,69.0931,-3014.3,11.4176,0.00427366,0.356
32000000,11,72.9605,-3013.37,9.63887,0.00418488,0.354
32500000,14,91.6851,-3014.37,18.598,0.00450722,0.406
33000000,11,69.7771,-3012.02,9.28518,0.00392853,0.372
33500000,10,67.5286,-3021.75,4.59772,0.00450726,0.337
34000000,11,65.3463,-3022.05,11.0372,0.00446566,0.384
34500000,9,58.7244,-3025.39,11.5462,0.00349544,0.352
35000000,7,43.7911,-3020.34,6.00201,0.00557793,0.3555
