generation,N_shifts,logPrior,logLik,eventRate,acceptRate
113500000,7,43.3745,-1826.03,5.94683,0.3845
114000000,9,44.5211,-1834.11,8.54635,0.399
114500000,6,39.4952,-1830.32,14.2325,0.4135
115000000,6,33.5163,-1825.36,7.58046,0.3987
115500000,7,44.5471,-1824.14,3.41213,0.377
116000000,12,68.9276,-1818.89,13.7701,0.403
116500000,6,33.7183,-1835.67,6.54397,0.3825
117000000,7,41.7279,-1821.95,6.94014,0.396
117500000,6,39.1879,-1834.49,9.79713,0.4225
118000000,11,57.4184,-1813.63,10.2396,0.397
118500000,9,47.2967,-1818.19,7.88461,0.421
119000000,14,81.9444,-1817.54,18.7167,0.422
119500000,8,46.6201,-1811.55,7.31109,0.43
120000000,6,37.9992,-1829.55,10.4752,0.389
120500000,9,54.9352,-1816.57,9.01138,0.391
121000000,9,43.4944,-1810.16,10.2942,0.394667
121500000,14,77.1594,-1819.82,15.8371,0.3825
122000000,6,32.5736,-1827.2,6.8341,0.4185
122500000,6,36.6037,-1828.6,11.6143,0.4
123000000,8,40.667,-1822.65,7.7083,0.412
123500000,8,46.1277,-1821.61,9.46823,0.417
124000000,8,45.0143,-1823.45,10.8363,0.39
124500000,6,31.6237,-1825.46,6.53937,0.3758
125000000,9,57.4798,-1817.06,6.01519,0.399
125500000,10,61.035,-1820.71,9.09444,0.411
126000000,9,47.8172,-1814.38,3.99844,0.413
126500000,10,59.3963,-1823.66,8.58145,0.408
127000000,7,40.7306,-1830.77,9.11929,0.383667
127500000,9,48.9777,-1827.18,14.0039,0.422
128000000,10,62.9583,-1816.25,27.5946,0.407
128500000,7,40.3747,-1824.7,6.7009,0.3815
129000000,8,46.9513,-1816.95,6.30743,0.392
129500000,10,57.549,-1823.53,9.22351,0.423
130000000,11,56.0632,-1824.36,9.11468,0.393667
130500000,13,70.9612,-1815.04,13.9906,0.419
131000000,7,39.3952,-1829.48,6.53502,0.396
131500000,9,46.5535,-1829.06,11.042,0.403
132000000,8,43.4557,-1819.39,7.62089,0.381
132500000,5,31.043,-1833.78,5.42498,0.410667
133000000,9,49.6729,-1818.7,6.35304,0.40625
133500000,7,41.1189,-1819.56,11.5613,0.4305
134000000,7,36.1366,-1813.54,5.62275,0.391
134500000,9,45.821,-1811.66,12.9633,0.41
135000000,11,65.6463,-1811.43,11.4759,0.385
135500000,8,48.6809,-1817.92,8.9592,0.435
136000000,7,43.7672,-1843.49,2.74623,0.405
136500000,8,44.1089,-1816.89,8.43789,0.384
137000000,10,56.6981,-1817.59,3.60687,0.413
137500000,11,59.4972,-1809.24,12.2808,0.431
138000000,8,45.6264,-1827.64,10.7269,0.4025
138500000,12,63.1462,-1831.06,9.23621,0.413
139000000,8,45.8097,-1824.01,7.13349,0.419
139500000,9,53.3564,-1818.64,13.528,0.431
140000000,9,55.687,-1819.31,10.6967,0.401
140500000,10,50.085,-1812.17,13.4473,0.365
141000000,6,36.9162,-1831.79,8.73683,0.396
141500000,9,49.1498,-1813.6,10.1651,0.3795
142000000,9,57.0489,-1824.81,9.24582,0.407
142500000,9,57.3901,-1826.17,13.6431,0.419
143000000,11,57.6573,-1814.46,8.09898,0.395
143500000,9,57.0334,-1811.99,10.2423,0.387
144000000,11,67.4724,-1824.29,14.2394,0.411
144500000,10,60.8972,-1813.51,9.36027,0.387
145000000,12,68.7498,-1811.59,10.9456,0.411
145500000,8,47.2163,-1821.78,6.81591,0.354
146000000,8,47.2822,-1825.82,9.41542,0.39
146500000,9,50.0288,-1819.25,9.20495,0.409
147000000,11,62.8721,-1827.59,15.1621,0.364
147500000,10,55.1624,-1822.42,12.5937,0.413
148000000,9,50.7973,-1828.12,4.55123,0.3815
148500000,3,17.4034,-1848.54,2.84648,0.38
149000000,7,41.2729,-1827.43,7.63969,0.403
149500000,9,48.3267,-1836.78,10.2496,0.423
150000000,10,53.4583,-1825.14,11.3396,0.377
150500000,7,46.0645,-1821.94,10.967,0.411
151000000,7,41.5335,-1832.02,6.73569,0.405
151500000,9,53.1117,-1821.03,6.42511,0.396
152000000,9,47.7289,-1829.27,13.1513,0.412
152500000,10,59.8084,-1821.01,12.9949,0.4
153000000,8,45.2081,-1817.25,11.191,0.403
153500000,10,56.4084,-1821.76,13.5678,0.409
154000000,8,50.8981,-1825.88,14.0709,0.4165
154500000,6,37.3365,-1831.86,4.44667,0.41275
155000000,10,65.3221,-1826.85,9.15915,0.403
155500000,9,42.3738,-1826.5,3.99982,0.402
156000000,12,62.3114,-1820.42,8.96605,0.431
156500000,11,54.3548,-1810.51,8.66453,0.367
157000000,7,37.8208,-1821.51,4.86169,0.379
157500000,9,50.0719,-1818.44,7.32653,0.416
158000000,8,49.8694,-1819.26,9.73763,0.3955
158500000,9,51.5388,-1815.8,14.0132,0.392
159000000,10,55.699,-1812.01,8.54075,0.446
159500000,9,47.8321,-1833.3,13.8473,0.349
160000000,9,50.3648,-1823.53,5.78603,0.3865
160500000,9,56.4372,-1822.25,16.3636,0.409
161000000,10,59.7285,-1817.55,11.8258,0.422
161500000,12,66.9543,-1820.71,11.6405,0.424
162000000,8,48.72,-1832.03,5.14593,0.408
162500000,7,44.4006,-1832.7,5.37816,0.431
163000000,8,43.7649,-1813.46,8.4927,0.423
163500000,10,57.5665,-1817.86,9.70188,0.414
