generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.0793727,0.001,0.0360529,0
500000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.0356561,-0.00217644,0.0374673,0
500000,Ranodon_sibiricus,Hynobius_retardatus,237.465,0.122382,-0.00542384,0.00657291,0
500000,Ambystoma_gracile,Ambystoma_opacum,238.624,0.130959,-0.00327647,0.0239874,0
500000,Pleurodeles_waltl,Notophthalmus_meridionalis,216.558,0.159586,-0.000828015,0.103145,0
500000,Plethodon_petraeus,Plethodon_kentucki,254.102,0.278585,0.00152486,0.151079,0
500000,Eurycea_naufragia,Eurycea_rathbuni,245.802,0.247989,-0.00216447,0.0936249,0
500000,Bolitoglossa_cerroensis,Bolitoglossa_gracilis,238.701,0.0658379,0.00288173,0.00048166,0
500000,Ensatina_eschscholtzii,Hemidactylium_scutatum,169.227,0.0446444,0.003098,0.00193324,0
500000,Cryptobranchus_alleganiensis,Urupia_monstrosa,25.4645,0.141152,-0.00363906,0.0785561,0
1000000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.00692968,0.00779278,0.0128868,0
1000000,Ranodon_sibiricus,Hynobius_retardatus,237.684,0.103339,-0.00267828,0.000790551,0
1000000,Ambystoma_cingulatum,Ambystoma_maculatum,247.137,0.0807649,-0.0021943,0.0146517,0
1000000,Salamandra_infraimmaculata,Lyciasalamandra_atifi,219.069,0.000956665,0.00292855,0.130424,0
1000000,Salamandra_infraimmaculata,Lyciasalamandra_atifi,224.45,0.152435,-0.00262149,0.0917408,0
1000000,Pleurodeles_waltl,Notophthalmus_meridionalis,217.7,0.201876,-0.00831841,0.109814,0
1000000,Hydromantes_shastae,Hydromantes_strinatii,214.645,0.0553136,0.00431604,0.0200952,0
1000000,Plethodon_sherando,Plethodon_websteri,226.869,0.125338,0.000757503,0.0545774,0
1000000,Eurycea_sosorum,Eurycea_nana,265.125,0.450933,0.00776202,0.0687022,0
1000000,Batrachoseps_luciae,Batrachoseps_minor,254.29,0.156236,-0.00594112,0.0180909,0
1000000,Pseudoeurycea_cephalica,Lineatriton_orchileucos,228.185,0.0971778,-0.00331238,0.000612201,0
1000000,Ensatina_eschscholtzii,Hemidactylium_scutatum,164.033,0.0616665,-0.00118589,0.00294013,0
1000000,Cryptobranchus_alleganiensis,Urupia_monstrosa,37.9082,0.0991903,-0.00307859,0.0666726,0
1500000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.0212671,-0.00141595,0.0170722,0
1500000,Salamandrella_keyserlingii,Ranodon_sibiricus,235.974,0.127434,-0.00591417,0.00514492,0
1500000,Ambystoma_gracile,Ambystoma_opacum,238.188,0.0849741,-0.00104312,0.0203116,0
1500000,Mertensiella_caucasica,Phosphotriton_sigei,197.035,0.116205,-0.00176942,0.0690773,0
1500000,Plethodon_metcalfi,Plethodon_chlorobryonis,256.703,0.174486,-0.00334275,0.0437252,0
