generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-7.3741,-792.251,200,0
1000000,38,241.962,29.5509,38.9352,0.24
2000000,27,146.21,3.36727,21.7129,0.248
3000000,42,242.826,12.3225,42.6655,0.251
4000000,70,404.546,28.4585,82.8588,0.224
5000000,40,244.21,-14.0508,28.6704,0.274
6000000,45,268.075,29.62,54.288,0.2375
7000000,96,579.799,-40.3982,89.5987,0.303
8000000,30,173.351,32.2003,28.268,0.264
9000000,73,430.936,35.1771,87.5066,0.241
10000000,47,281.239,15.515,47.8821,0.254
11000000,40,244.026,29.0333,35.2993,0.226
12000000,83,503.66,34.4171,70.1407,0.239
13000000,27,152.953,25.7617,34.2648,0.246
14000000,37,230.087,22.2298,44.9831,0.25
15000000,59,357.812,39.0732,61.6158,0.241
16000000,52,313.801,13.9407,52.485,0.2375
17000000,46,271.764,37.9971,38.2569,0.206
18000000,48,279.464,31.1982,41.3109,0.243
19000000,51,308.684,32.3077,60.9385,0.2505
20000000,55,332.828,59.836,51.9856,0.239
21000000,65,384.38,41.5511,73.239,0.2255
22000000,53,323.149,5.32871,57.1902,0.261
23000000,19,115.375,-12.2262,19.1423,0.2455
24000000,36,219.519,7.88243,35.6117,0.239
25000000,33,201.737,1.82632,37.7437,0.256333
26000000,37,229.789,59.777,35.8087,0.241
27000000,57,344.506,28.2022,69.6314,0.244
28000000,23,140.774,25.0369,22.1775,0.2345
29000000,37,222.61,3.18926,30.3403,0.268
30000000,28,162.358,14.7342,36.2092,0.242
31000000,41,243.418,14.9903,31.6899,0.253
32000000,35,217.273,-17.7573,36.9461,0.2665
33000000,43,257.146,10.0577,37.1761,0.26
34000000,23,140.779,-21.8698,24.1744,0.257765
35000000,46,261.999,22.3743,48.3715,0.2355
36000000,43,255.42,-30.5365,41.4503,0.26
37000000,79,479.824,-7.21019,86.8859,0.261
38000000,39,234.774,40.0719,36.4351,0.238
39000000,55,329.738,36.9043,61.269,0.24
40000000,36,218.13,-30.6251,34.7105,0.270714
41000000,24,136.507,-14.112,29.8863,0.2615
42000000,39,222.053,-7.69655,36.6514,0.2655
43000000,31,184.651,10.2346,35.1586,0.25225
44000000,22,126.971,7.17175,26.4669,0.2435
45000000,50,290.117,-6.51513,61.7501,0.239
46000000,49,302.337,-18.9074,49.5314,0.2815
47000000,59,359.534,45.4236,67.497,0.2565
48000000,54,322.331,-38.2036,47.5675,0.2655
49000000,16,99.9799,-0.159926,13.0658,0.2405
50000000,35,215.23,11.4129,38.3376,0.267333
