generation,leftchild,rightchild,abstime,betainit,betashift
0,Andrias_scheuchzeri,Celtedens_ibericus,0,0.5,0
1000000,Andrias_scheuchzeri,Celtedens_ibericus,0,0.00138543,-0.0045224
1000000,Andrias_scheuchzeri,NA,179.847,0.00387069,0.00408179
1000000,Onychodactylus_japonicus,NA,213.771,0.0181606,0.001048
1000000,Bolitoglossa_rufescens,NA,243.333,0.0633723,-0.00399747
1000000,Batrachuperus_pinchonii,Batrachuperus_tibetanus,249.574,0.0592269,0.00331792
1000000,Pseudobranchus_striatus,Paleoamphiuma_tetradactylum,129.31,0.00544003,0.00440355
1000000,Pseudoeurycea_gadovii,NA,255.688,0.0168301,0.00480747
1000000,Opithisthotriton_kayi,NA,186.798,0.0454135,-6.22959e-05
1000000,Ambystoma_mexicanum,NA,262.62,0.0161572,-0.00207872
1000000,Salamandrina_terdigitata,Archaeotriton_basalticus,222.993,0.161077,0.00135112
1000000,Tylototriton_shanjing,NA,249.411,0.00219269,0.00427649
1000000,Chelotriton_paradoxus,NA,235.137,0.0380766,0.000423764
1000000,Cynops_ensicauda,NA,259.707,0.0451336,-0.00951966
1000000,Ichthyosaura_randeckensis,Cynops_pyrrhogaster,226.007,0.00985285,-0.00178242
1000000,Salamandrina_terdigitata,Mertensiella_caucasica,121.437,0.0353427,-0.000715632
1000000,Karsenia_koreana,NA,221.061,0.0903035,-0.00318159
1000000,Desmognathus_wrighti,NA,252.753,0.0596118,-0.00375316
1000000,Desmognathus_quadramaculatus,Desmognathus_imitator,232.955,0.0358411,-0.00107663
1000000,Plethodon_vandykei,NA,252.877,0.022071,0.00526603
1000000,Plethodon_dunni,Plethodon_vehiculum,242.394,0.0838849,0.00162036
1000000,Plethodon_welleri,NA,259.274,0.070578,0.000963838
1000000,Plethodon_petraeus,NA,250.915,0.321471,-0.000153185
1000000,Gyrinophilus_porphyriticus,Gyrinophilus_palleucus,239.392,0.0120513,-0.00610753
1000000,Eurycea_lucifuga,NA,245.336,0.0386288,-0.00748213
1000000,Eurycea_rathbuni,Eurycea_nana,247.51,0.0683904,0.00353851
1000000,Batrachoseps_wrighti,NA,228,0.00235245,-0.00112902
1000000,Batrachoseps_wrighti,NA,244.894,0.0195691,-0.0099199
1000000,Batrachoseps_attenuatus,Batrachoseps_major,205.541,0.00345425,0.00479987
