generation,leftchild,rightchild,abstime,betainit,betashift
0,Andrias_scheuchzeri,Celtedens_ibericus,0,0.5,0
1000000,Andrias_scheuchzeri,Celtedens_ibericus,0,0.00709017,-0.000283096
1000000,Andrias_scheuchzeri,NA,102.295,0.0539262,-0.00413973
1000000,Andrias_scheuchzeri,NA,202.928,0.0340506,-0.00382447
1000000,Pangerpeton_sinensis,NA,104.77,0.0123004,0.000284753
1000000,Chunerpeton_tianyiensis,NA,105.421,0.0605113,-0.000848719
1000000,Onychodactylus_japonicus,NA,239.881,0.0323712,-0.00175448
1000000,Batrachuperus_tibetanus,NA,259.328,0.0317875,-0.00196784
1000000,Salamandrella_keyserlingii,Ranodon_sibiricus,209.451,0.0527436,0.00401826
1000000,Salamandrella_keyserlingii,Ranodon_sibiricus,222.888,0.0533934,-0.0032421
1000000,Thorius_troglodytes,NA,244.853,0.046261,0.00285713
1000000,Opithisthotriton_kayi,NA,124.376,0.0620937,0.00652801
1000000,Opithisthotriton_kayi,NA,138.702,0.0260485,0.00240202
1000000,Andrias_scheuchzeri,Opithisthotriton_kayi,55.0564,0.00690957,-0.00167186
1000000,Pseudobranchus_striatus,Siren_lacertina,210.835,0.0476381,-0.00860531
1000000,Pseudobranchus_striatus,Paleoamphiuma_tetradactylum,135.308,0.0399929,0.00633616
1000000,Dicamptodon_ensatus,Dicamptodon_copei,192.159,0.00879576,-0.00288104
1000000,Ambystoma_talpoideum,NA,235.376,0.041684,0.00767642
1000000,Ambystoma_californiense,NA,261.041,0.0166643,-0.00282825
1000000,Ambystoma_californiense,Ambystoma_tigrinum,250.285,0.0115822,0.00114679
1000000,Mertensiella_caucasica,NA,242.054,0.0279093,-0.000769282
1000000,Chioglossa_lusitanica,NA,252.646,0.115616,0.00142959
1000000,Notophthalmus_meridionalis,Notophthalmus_viridescens,233.191,0.0472651,-0.0049477
1000000,Bolitoglossa_minutula,NA,252.63,0.0347868,-0.00152504
1000000,Pleurodeles_waltl,Echinotriton_andersoni,232.985,0.0213333,0.0065067
1000000,Hydromantes_shastae,Hydromantes_italicus,209.5,0.000487549,0.000304597
1000000,Desmognathus_imitator,NA,249.499,0.00304784,0.00780965
1000000,Desmognathus_quadramaculatus,Desmognathus_imitator,240.187,0.00912831,-0.00549
1000000,Plethodon_teyahalee,Plethodon_glutinosus,255.192,0.00110705,-0.00574598
1000000,Paramesotriton_chinensis,NA,260.476,0.082696,0.00120634
1000000,Neurergus_kaiseri,Neurergus_crocatus,247.415,0.0935414,0.00571861
1000000,Triturus_marmoratus,Triturus_cristatus,242.013,0.0171635,-0.00296957
1000000,Rhyacotriton_olympicus,NA,139.754,0.0076085,0.00184497
1000000,Karsenia_koreana,NA,221.612,0.0332679,0.00283507
1000000,Desmognathus_wrighti,NA,239.893,0.106293,-0.00275087
1000000,Desmognathus_fuscus,NA,255.798,0.0194224,0.00277974
1000000,Desmognathus_quadramaculatus,Desmognathus_imitator,235.774,0.100189,-0.000993248
1000000,Plethodon_neomexicanus,NA,262.96,0.0441012,0.000170236
1000000,Plethodon_vehiculum,NA,254.579,0.0440223,0.00497049
1000000,Plethodon_yonahlossee,NA,251.892,0.0704496,0.00169045
1000000,Plethodon_yonahlossee,Plethodon_petraeus,246.534,0.103528,0.000370088
1000000,Stereochilus_marginatus,NA,243.279,0.0109235,-0.00225016
1000000,Eurycea_lucifuga,NA,249.475,0.0897536,-0.00191261
1000000,Eurycea_rathbuni,NA,255.661,0.015207,0.000654208
1000000,Stereochilus_marginatus,Eurycea_spelaea,181.264,0.00888533,-0.00718857
1000000,Eurycea_lucifuga,Eurycea_quadridigitata,235.099,0.0436213,-0.000995001
1000000,Chiropterotriton_arboreus,NA,243.824,0.0749655,-0.00375558
1000000,Oedipina_gracilis,Oedipina_uniformis,250.682,0.0105392,0.00334667
1000000,Gyrinophilus_porphyriticus,Gyrinophilus_palleucus,253.766,0.0044849,0.00400662
1000000,Dendrotriton_bromeliacius,NA,210.734,0.00727683,-0.003354
1000000,Nototriton_richardi,NA,258.324,0.0364415,-0.00242025
1000000,Chiropterotriton_terrestris,NA,261.852,0.102034,-0.00208055
1000000,Parvimolge_townsendi,NA,225.899,0.0407491,-0.00412952
1000000,Pseudoeurycea_bellii,NA,240.811,0.0141272,-0.00786345
1000000,Pseudoeurycea_werleri,NA,242.235,0.14505,0.010754
1000000,Thorius_troglodytes,NA,245.362,0.0178185,3.92695e-05
1000000,Batrachoseps_major,NA,249.395,0.00181233,-0.00223701
1000000,Pseudoeurycea_rex,NA,258.934,0.0588074,0.00148251
1000000,Bolitoglossa_occidentalis,NA,260.79,0.083359,0.00121265
1000000,Bolitoglossa_morio,NA,256.733,0.00784269,-0.00618197
1000000,Ensatina_eschscholtzii,Hemidactylium_scutatum,164.777,0.00164901,-0.000394112
1000000,Rhyacotriton_olympicus,Amphiuma_tridactylum,117.803,0.0369735,0.00444489
1000000,Desmognathus_welteri,NA,254.797,0.0290684,-0.00472726
1000000,Palaeoplethodon_hispaniolae,NA,198.309,0.0192405,-0.004153
1000000,Andrias_scheuchzeri,Pseudobranchus_striatus,30.7334,0.00729677,-0.00125886
2000000,Andrias_scheuchzeri,Celtedens_ibericus,0,0.0117959,-0.00183356
2000000,Andrias_scheuchzeri,NA,183.484,0.0697601,-0.00226499
2000000,Hynobius_boulengeri,NA,252.765,0.106841,0.00258172
2000000,Onychodactylus_japonicus,Salamandrella_keyserlingii,121.433,0.0276355,0.00718161
2000000,Laccotriton_subsolanus,NA,97.284,0.019718,-0.00667311
2000000,Andrias_scheuchzeri,Opithisthotriton_kayi,64.745,0.00395104,0.00137135
2000000,Siren_lacertina,NA,263.182,0.0783795,0.00790363
2000000,Pseudobranchus_striatus,Paleoamphiuma_tetradactylum,104.62,0.0539192,-0.00345066
2000000,Pseudobranchus_striatus,Paleoamphiuma_tetradactylum,143.039,0.0122881,0.000686661
2000000,Pseudobranchus_striatus,Paleoamphiuma_tetradactylum,154.189,0.00964142,0.00232995
2000000,Mertensiella_caucasica,Chioglossa_lusitanica,211.914,0.0252866,0.000166381
2000000,Pleurodeles_waltl,NA,235.838,0.00268642,0.00144924
2000000,Pleurodeles_waltl,NA,254.536,0.0461792,-0.00265361
2000000,Taricha_oligocenica,Taricha_lindoei,228.509,0.0423813,0.00220387
2000000,Ichthyosaura_randeckensis,NA,239.786,0.0939843,-0.00672213
2000000,Cynops_pyrrhogaster,NA,263.232,0.05992,-0.00445575
2000000,Triturus_marmoratus,Triturus_cristatus,239.369,0.0141483,0.000623136
2000000,Pleurodeles_waltl,Notophthalmus_meridionalis,205.586,0.0167915,0.0028496
2000000,Amphiuma_means,NA,252.007,0.0165231,-0.00177459
2000000,Amphiuma_tridactylum,Amphiuma_means,172.245,0.0508288,0.00662683
2000000,Amphiuma_tridactylum,Amphiuma_means,202.976,0.0796576,0.00347629
2000000,Karsenia_koreana,NA,241.829,0.0953455,-0.00513595
2000000,Karsenia_koreana,NA,260.765,0.0100871,-0.00382606
2000000,Aneides_aeneus,NA,254.967,0.0304866,-3.31685e-05
2000000,Desmognathus_imitator,Desmognathus_aeneus,246.956,0.033957,-0.00650748
2000000,Stereochilus_marginatus,Eurycea_spelaea,193.111,0.0031263,0.0038156
2000000,Nototriton_richardi,Nototriton_picadoi,249.655,0.0887643,0.000922171
2000000,Desmognathus_welteri,NA,261.437,0.0316205,0.0126582
2000000,Desmognathus_apalachicolae,NA,253.081,0.0382748,0.000347793
2000000,Plethodon_larselli,Plethodon_vandykei,237.972,0.000150248,-0.0107196
2000000,Plethodon_petraeus,NA,251.298,0.189386,0.00282768
2000000,Hemidactylium_scutatum,NA,176.714,0.00568877,0.0060378
2000000,Eurycea_rathbuni,Eurycea_nana,243.308,0.0535094,-0.00811529
2000000,Nototriton_picadoi,NA,262.034,0.097058,0.000760421
2000000,Chiropterotriton_magnipes,NA,256.763,0.0203073,-0.00353387
2000000,Parvimolge_townsendi,NA,246.768,0.0785515,0.00719123
2000000,Pseudoeurycea_bellii,NA,241.197,0.117052,-0.00147016
2000000,Pseudoeurycea_exspectata,NA,255.577,0.0178254,0.00148849
2000000,Pseudoeurycea_exspectata,Pseudoeurycea_goebeli,253.53,0.0278244,-0.00293031
2000000,Bolitoglossa_altamazonica,NA,256.384,0.00914146,-0.00223802
2000000,Bolitoglossa_peruviana,Bolitoglossa_altamazonica,254.811,0.0592487,0.00203957
2000000,Bolitoglossa_mexicana,NA,263.216,0.0156339,0.00435742
2000000,Palaeoplethodon_hispaniolae,NA,219.526,0.0157438,-0.003729
2000000,Ensatina_eschscholtzii,Hemidactylium_scutatum,142.715,0.00299922,0.00163919
2000000,Amphiuma_tridactylum,Ensatina_eschscholtzii,133.28,0.0177827,0.00395752
2000000,Valdotriton_gracilis,NA,105.945,0.00942585,-0.00157028
2000000,Qinglongtriton_gangouensis,NA,88.7005,0.0475057,-0.000371294
2000000,Bolitoglossa_odonnelli,NA,260.703,0.0414879,0.00147079
3000000,Andrias_scheuchzeri,Celtedens_ibericus,0,0.00380388,-0.000192909
3000000,Andrias_scheuchzeri,NA,209.622,0.190859,0.00251522
3000000,Andrias_scheuchzeri,NA,235.635,0.00587595,0.0010534
3000000,Salamandrella_keyserlingii,NA,250.893,0.0123007,0.000231497
3000000,Onychodactylus_japonicus,Salamandrella_keyserlingii,141.462,0.0534151,0.00100061
3000000,Onychodactylus_japonicus,Salamandrella_keyserlingii,158.767,0.0618832,-0.00310234
