generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-7.31538,-773.965,200,1
1000000,36,214.335,8.35395,47.909,0.2635
2000000,51,305.866,58.9905,38.5768,0.248
3000000,29,162.482,-43.8544,37.2798,0.2665
4000000,44,257.889,25.1966,42.1412,0.272
5000000,46,269.628,0.563646,48.4311,0.2615
6000000,40,239.975,58.4627,53.6608,0.215
7000000,33,196.653,56.6026,25.4492,0.224
8000000,26,155.228,20.4711,26.5703,0.2355
9000000,42,251.63,-0.863707,40.2826,0.249
10000000,39,226.039,36.3258,40.8807,0.256
11000000,38,213.971,10.5776,37.0059,0.255
12000000,31,171.642,7.10989,28.9328,0.235
13000000,45,259.631,30.5358,51.7311,0.2425
14000000,37,218.288,32.1189,36.1019,0.231
15000000,38,223.922,43.2607,43.6065,0.2385
16000000,55,321.501,71.2281,61.2071,0.235
17000000,36,219.184,7.67365,43.5432,0.257
18000000,26,156.099,-15.7094,31.4889,0.2495
19000000,61,384.787,2.01776,45.355,0.234
20000000,20,110.252,49.0942,19.9405,0.248
21000000,44,263.837,64.9196,44.2014,0.236
22000000,38,219.866,52.7621,44.0319,0.254
23000000,28,175.59,23.5385,25.5233,0.234
24000000,48,286.589,19.7703,50.493,0.2485
25000000,45,272.222,46.9073,44.0705,0.224
26000000,39,228.871,-6.45231,52.3339,0.2605
27000000,76,459.236,38.5342,86.035,0.245
28000000,27,171.354,30.3143,20.6627,0.2365
29000000,46,273.443,35.5639,38.0716,0.233
30000000,35,215.845,26.697,22.0466,0.247
31000000,40,229.167,21.4413,40.5392,0.255333
32000000,48,279.465,53.7852,53.7202,0.224
33000000,41,243.956,36.8547,58.5066,0.2295
34000000,43,271.146,24.3533,41.5115,0.232
35000000,54,328.934,4.63642,56.5108,0.252
36000000,59,361.665,49.6764,65.8642,0.221
37000000,54,315.437,3.57453,50.0426,0.259
38000000,56,337.256,73.5375,72.5059,0.224
39000000,52,300.086,-2.82137,57.8701,0.267
40000000,40,231.351,13.8383,41.1658,0.2445
41000000,69,413.906,16.6464,74.0384,0.256
42000000,28,155.805,1.89357,29.6541,0.2375
43000000,79,473.713,11.9988,67.6022,0.223
44000000,43,252.895,40.2255,45.5443,0.231
45000000,34,213.046,4.95773,37.525,0.247
46000000,51,296.088,41.3501,45.4842,0.2535
47000000,48,289.151,26.2368,45.5196,0.278
48000000,51,297.815,36.2061,44.6024,0.2315
49000000,36,194.823,15.8101,38.5972,0.248
50000000,55,319.459,72.5248,66.4849,0.248
51000000,38,215.248,8.65401,41.7165,0.2605
52000000,52,309.878,33.6669,49.3451,0.239
53000000,35,210.457,6.52277,37.4904,0.2565
54000000,51,305.771,27.2834,48.3789,0.2665
55000000,29,174.129,14.1518,38.933,0.22975
56000000,47,283.069,47.2032,44.571,0.224
57000000,24,146.694,-3.04502,16.9124,0.271
58000000,48,285.283,67.5498,42.2065,0.222
59000000,38,216.006,31.0772,51.1638,0.2405
60000000,53,306.861,42.3284,63.2001,0.245
61000000,37,219.248,26.6527,45.1955,0.2485
62000000,46,272.254,11.9195,38.2495,0.24
63000000,35,198.444,30.6739,25.6864,0.259
64000000,49,274.3,39.3177,50.9374,0.259
65000000,26,158.556,-6.92056,25.6827,0.247
66000000,59,347.181,49.2461,64.5833,0.249
67000000,58,341.71,27.4023,75.3065,0.229
68000000,33,204.327,3.27356,33.4455,0.258
69000000,53,302.351,18.6689,55.5471,0.239
70000000,25,149.021,-12.5676,26.878,0.2735
71000000,60,364.668,28.1731,53.7164,0.24
72000000,58,345.914,29.2694,64.1909,0.2665
73000000,25,150.015,-1.70188,35.0255,0.263
74000000,31,190.06,-6.62951,29.5185,0.2465
75000000,77,458.706,21.0982,79.8599,0.272
76000000,51,296.317,-1.88109,48.741,0.252
77000000,45,254.332,3.36109,44.4982,0.243
78000000,62,374.399,20.379,52.8575,0.235
79000000,39,236.253,53.7656,54.9258,0.2255
80000000,28,169.929,31.4944,34.7678,0.2555
81000000,31,186.106,22.9126,31.5271,0.24
