generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.0793727,0.001,0.0360529,0
500000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.0272477,-0.000860731,0.0147118,0
500000,Salamandrella_keyserlingii,Parahynobius_kordosi,228.867,0.0931259,0.00160822,0.00552484,0
500000,Opithisthotriton_kayi,Batrachosauroides_gotoi,198.81,0.130859,-0.00855274,0.141994,0
500000,Ambystoma_gracile,Ambystoma_opacum,232.901,0.116201,-0.0039939,0.0248332,0
500000,Salamandra_infraimmaculata,Lyciasalamandra_atifi,217.284,0.0687065,-0.00278451,0.0156925,0
500000,Pleurodeles_waltl,Notophthalmus_meridionalis,209.641,0.114661,-0.00574419,0.0217244,0
500000,Necturus_lewisi,Necturus_krausei,169.697,0.0290257,-0.00794296,0.0358956,0
500000,Plethodon_caddoensis,Plethodon_jordani,254.623,0.192011,-0.00344115,0.00165399,0
500000,Eurycea_naufragia,Eurycea_rathbuni,247.715,0.369321,0.000188568,0.119538,0
500000,Parvimolge_townsendi,Bolitoglossa_cerroensis,212.047,0.0838178,-0.00516909,0.000207945,0
500000,Ensatina_eschscholtzii,Hemidactylium_scutatum,171.328,0.0582147,-0.00227835,0.00141665,0
1000000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.0207573,-0.000772639,0.0129324,0
1000000,Ranodon_sibiricus,Hynobius_retardatus,235.477,0.106113,0.00458749,0.00573276,0
1000000,Opithisthotriton_kayi,Prodesmodon_copei,192.576,0.088041,-0.00358241,0.053008,0
1000000,Ambystoma_gracile,Ambystoma_opacum,230.293,0.13572,-0.0089924,0.00520749,0
1000000,Salamandrina_perspicillata,Mertensiella_caucasica,184.764,0.109652,-0.00483215,0.0386025,0
1000000,Plethodon_petraeus,Plethodon_kentucki,253.038,0.164853,-0.00849331,0.0138021,0
1000000,Eurycea_rathbuni,Eurycea_troglodytes,254.704,0.314131,-0.000488146,0.0154422,0
1000000,Ensatina_eschscholtzii,Hemidactylium_scutatum,168.501,0.0526157,0.000977737,0.000881268,0
1500000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.0216396,-4.50612e-05,0.0191012,0
1500000,Salamandrella_keyserlingii,Parahynobius_kordosi,228.658,0.10025,8.66246e-05,0.00679321,0
1500000,Opithisthotriton_kayi,Hylaeobatrachus_croyi,133.329,0.097297,-0.0054422,0.07227,0
1500000,Cryptobranchus_alleganiensis,Opithisthotriton_kayi,75.772,0.0298446,-0.00761699,0.0141276,0
1500000,Ambystoma_tigrinum,Ambystoma_ordinarium,258.858,0.163171,-0.00557624,0.0860454,0
1500000,Ambystoma_gracile,Ambystoma_opacum,225.117,0.0688676,0.00269931,0.008847,0
1500000,Mertensiella_caucasica,Pleurodeles_waltl,198.224,0.123271,-0.00322135,0.0317367,0
1500000,Plethodon_sherando,Plethodon_websteri,231.988,0.134938,-0.00285062,5.27631e-05,0
1500000,Eurycea_sosorum,Eurycea_nana,263.954,0.805768,0.00130387,0.0151441,0
1500000,Bolitoglossa_gracilis,Bolitoglossa_gomezi,257.15,0.196451,0.00503164,0.0168354,0
1500000,Ensatina_eschscholtzii,Hemidactylium_scutatum,168.94,0.0688103,-0.0020751,0.000333018,0
2000000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.00187552,0.00177146,0.00420141,0
2000000,Ranodon_sibiricus,Hynobius_retardatus,235.086,0.0973813,-0.00574348,0.0109092,0
2000000,Ambystoma_gracile,Ambystoma_opacum,239.026,0.0879071,-0.00195246,0.0134842,0
2000000,Salamandrina_perspicillata,Mertensiella_caucasica,188.938,0.0798496,0.000219046,0.0211793,0
2000000,Dicamptodon_tenebrosus,Dicamptodon_antiquus,167.883,0.0312957,0.00649483,0.0269505,0
2000000,Necturus_lewisi,Necturus_punctatus,223.759,0.0452234,0.00223409,0.00786305,0
2000000,Eurycea_sosorum,Eurycea_nana,263.316,0.19591,-0.00490376,0.000384439,0
2000000,Ensatina_eschscholtzii,Hemidactylium_scutatum,158.284,0.0511946,0.00269524,0.000419277,0
2000000,Cryptobranchus_alleganiensis,Urupia_monstrosa,8.85856,0.0353767,-0.00357719,0.0148362,0
2500000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.032491,-0.00338927,0.0126269,0
2500000,Salamandrella_keyserlingii,Parahynobius_kordosi,213.547,0.119014,-0.00516883,0.00124295,0
