generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-7.41957,-46062.1,200,1
1000000,31,190.176,21.2369,28.6463,0.244
2000000,51,301.806,38.4992,38.9571,0.255333
3000000,38,240.39,5.14875,40.1575,0.255
4000000,28,167.395,18.3123,19.2021,0.2365
5000000,28,170.092,52.5762,33.0162,0.254
6000000,52,314.946,9.37473,47.3841,0.267
7000000,22,133.402,-21.2454,25.5389,0.2698
8000000,28,167.441,16.4949,32.3744,0.2565
9000000,42,238.446,28.5089,39.9269,0.253
10000000,28,167.618,24.95,29.7786,0.254
11000000,53,312.735,-6.56831,64.1272,0.264
12000000,33,194.697,-1.89642,27.3112,0.246
13000000,16,97.6108,15.6878,13.0018,0.259667
14000000,53,326.891,48.6523,44.438,0.237
15000000,87,525.345,69.8205,83.6638,0.245
16000000,46,271.79,55.7066,43.8483,0.249
17000000,76,461.378,36.3255,82.8075,0.278
18000000,16,101.646,11.9693,14.9569,0.241
19000000,38,222.772,8.49683,36.1669,0.26
20000000,26,159.428,-5.71149,30.2056,0.2675
21000000,61,354.861,39.0831,72.148,0.23
22000000,57,342.215,57.1225,57.9721,0.237
23000000,35,218.4,58.6709,27.6641,0.21
24000000,36,209.099,-2.23044,25.9842,0.245
25000000,57,352.003,35.3267,41.3601,0.2165
26000000,36,217.33,-15.9044,35.5869,0.265
27000000,34,207.065,47.564,45.9992,0.251
28000000,39,221.781,5.58748,39.1557,0.255
29000000,32,191.303,36.6761,39.9458,0.244
30000000,40,243.376,24.8122,50.8238,0.238
31000000,28,181.742,-16.4913,32.3277,0.2675
32000000,43,259.071,6.23816,53.2969,0.269
33000000,49,303.851,14.9245,44.9201,0.225
34000000,42,254.081,0.190417,43.5666,0.277
35000000,69,441.696,13.2007,82.4654,0.265
36000000,21,136.723,-25.3354,20.003,0.269
37000000,15,88.6709,-24.953,19.2792,0.268
38000000,45,273.957,38.7692,42.1828,0.234
39000000,37,238.92,34.9765,44.9593,0.243
40000000,21,115.922,27.2988,17.2707,0.245
41000000,48,293.869,54.9787,58.2129,0.236
42000000,40,245.668,32.8578,39.3141,0.2435
43000000,33,191.03,31.6131,32.3578,0.236
44000000,30,182.8,29.8886,30.8858,0.2442
45000000,31,189.595,-52.7489,30.3657,0.285
46000000,40,246.108,33.853,45.0162,0.24375
47000000,34,207.476,11.9068,30.4645,0.235
48000000,31,194.034,14.6219,22.5401,0.2475
49000000,46,287.035,12.5512,55.2781,0.249
50000000,29,164.823,24.5353,38.3365,0.231
51000000,39,219.938,37.0981,42.9442,0.2475
52000000,41,246.283,35.9277,40.2648,0.245
53000000,34,208.25,-17.8545,39.347,0.26875
54000000,57,344.881,59.2152,54.2316,0.234
55000000,40,243.182,42.634,41.8703,0.2465
56000000,51,297.228,73.6322,50.5278,0.24
57000000,42,247.382,38.3941,39.388,0.239
58000000,37,208.134,9.33032,32.4813,0.259
59000000,41,249.389,30.9427,43.3102,0.2325
60000000,45,276.009,2.95245,34.8232,0.26
61000000,35,199.524,7.55918,37.057,0.26325
62000000,21,122.719,-7.57492,25.2012,0.249
63000000,25,146.431,32.5196,26.1837,0.247
64000000,42,258.199,23.958,48.7905,0.227
65000000,39,227.937,-21.4482,38.0682,0.249
66000000,47,293.672,29.8238,42.6313,0.2405
67000000,42,259.286,10.8482,43.2679,0.26
68000000,56,333.916,68.3268,48.1661,0.203
69000000,54,312.971,51.2627,53.3502,0.232
70000000,33,201.132,16.6874,38.998,0.2484
71000000,51,291.253,37.2791,42.2733,0.2425
72000000,29,180.393,36.3003,31.8283,0.2365
73000000,10,63.4902,-30.6016,9.32553,0.2595
74000000,27,154.354,6.04917,29.3617,0.262
75000000,17,101.917,-7.23044,17.4409,0.251
76000000,28,171.343,-21.587,23.7387,0.2755
77000000,15,87.6256,-16.4768,15.4437,0.2526
78000000,54,322.947,37.6959,59.2574,0.2515
79000000,27,158.83,26.4973,28.3551,0.2545
80000000,43,254.36,22.6853,48.7062,0.2505
81000000,28,165.005,13.9303,25.2795,0.2535
82000000,46,286.279,43.6862,37.4363,0.195
83000000,51,309.31,5.39757,55.924,0.275
84000000,44,270.111,29.1535,43.1721,0.25
85000000,29,173.829,3.26751,24.6769,0.2365
86000000,71,412.314,5.96439,67.4416,0.251
87000000,43,264.869,33.8668,49.2645,0.239
88000000,32,185.863,44.6659,36.7607,0.241
89000000,38,221.334,24.3799,37.7638,0.2415
90000000,49,298.709,47.547,34.2085,0.239
91000000,26,148.204,28.6748,28.1916,0.2405
92000000,79,470.816,48.7687,78.7546,0.225
93000000,22,129.234,36.8602,20.9944,0.256
94000000,56,333.602,50.6547,61.0573,0.222
95000000,77,458.505,42.1912,71.0145,0.2565
96000000,52,311.38,52.6581,42.5084,0.251
97000000,47,263.916,19.7806,50.4578,0.251
98000000,30,186.579,19.9005,28.3513,0.247
99000000,28,166.872,3.25177,27.1924,0.232
100000000,43,262.922,4.72186,40.1419,0.254
101000000,54,315.182,23.0066,43.2479,0.243
102000000,46,272.997,34.7609,39.5535,0.251
103000000,49,304.204,-21.9605,55.6198,0.277
104000000,42,252.554,24.8077,56.9124,0.259
105000000,19,118.331,19.9829,16.2181,0.2475
106000000,48,286.358,14.7223,55.1415,0.255
107000000,65,397.943,23.0931,70.4734,0.223
108000000,43,259.607,71.2126,45.1169,0.229
109000000,50,292.984,50.0311,56.024,0.255
110000000,47,279.26,39.7292,34.8729,0.243
111000000,59,355.993,23.5371,63.6596,0.27
112000000,38,233.627,9.44456,32.9067,0.2495
113000000,34,190.479,14.4459,27.2561,0.261667
114000000,25,147.48,26.6835,20.6934,0.2455
115000000,30,179.962,11.4252,29.3237,0.2405
116000000,28,169.153,-7.56339,24.4505,0.237333
117000000,29,161.487,-4.38267,39.629,0.214
118000000,42,248.533,19.8076,38.3912,0.2445
119000000,32,196.585,12.2646,35.8581,0.2545
120000000,78,463.536,36.0885,90.5009,0.233
121000000,63,387.417,4.60978,62.6266,0.275
122000000,40,242.428,43.559,39.9451,0.242
123000000,21,119.952,-5.86097,20.6668,0.260333
124000000,49,282.787,-9.67203,52.9689,0.255
125000000,97,592.034,4.29917,108.235,0.268
126000000,34,207.838,21.4741,41.329,0.263
127000000,49,277.275,23.6865,44.7383,0.2515
128000000,44,260.229,56.1616,46.7212,0.2235
129000000,44,272.859,30.9812,35.7523,0.253
130000000,65,400.164,-13.76,61.4001,0.264
131000000,35,209.548,45.9386,26.3524,0.248
132000000,34,202.827,3.52134,38.043,0.248
133000000,46,268.723,0.129994,51.7286,0.268
134000000,51,300.503,12.2031,48.1453,0.261
135000000,42,253.688,36.3061,43.5125,0.275
136000000,45,265.825,4.56334,48.3857,0.254
137000000,58,341.669,55.3939,51.9314,0.256
