generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-7.32518,-771.975,200,1
1000000,31,181.078,9.39127,29.405,0.24
2000000,92,546.785,41.2316,96.7969,0.225
3000000,34,211.334,43.8008,34.0752,0.233727
4000000,35,209.379,3.82451,46.383,0.253333
5000000,72,426.276,56.3106,69.2229,0.236
6000000,39,235.374,-2.10351,40.0641,0.2655
7000000,44,259.36,8.70943,39.4132,0.237
8000000,28,165.861,21.0815,28.7616,0.231
9000000,61,377.093,39.2085,65.0631,0.232
10000000,38,227.502,-32.6317,43.1613,0.258
11000000,59,364.258,0.0194938,62.4446,0.241
12000000,24,149.536,5.79971,20.9762,0.2455
13000000,40,224.349,24.1474,44.8889,0.247
14000000,40,240.411,51.4474,44.9533,0.219
15000000,35,209.786,37.5926,31.2329,0.241
16000000,37,223.961,44.4603,46.3341,0.2525
17000000,53,312.61,50.616,48.5513,0.245
18000000,30,180.136,-4.44779,27.094,0.273
19000000,39,235.87,48.5521,37.3794,0.249
20000000,22,136.069,12.5439,30.9533,0.2685
21000000,28,168.515,6.49275,28.0378,0.245667
22000000,57,347.098,4.80131,47.072,0.259
23000000,49,285.822,15.6958,40.9165,0.252
24000000,48,273.276,41.9518,43.7086,0.26
25000000,29,173.816,-19.7977,23.2152,0.2305
26000000,76,445.304,37.3869,82.249,0.2435
27000000,46,268.858,54.6006,47.2086,0.229
28000000,55,326.58,53.0553,63.3736,0.252
29000000,22,118.503,4.26178,22.0397,0.258333
30000000,45,274.164,51.447,44.9284,0.2135
31000000,37,230.558,9.57595,41.2028,0.239
32000000,56,333.333,-12.6686,66.3817,0.25
33000000,24,154.247,20.6906,22.8301,0.2465
34000000,46,274.11,11.039,44.5056,0.263
35000000,34,208.401,39.1054,33.8624,0.2415
36000000,36,197.301,27.8834,42.2915,0.265
37000000,25,144.092,-5.07333,31.3643,0.25225
38000000,36,223.189,8.25231,22.4152,0.261692
39000000,37,227.49,51.9055,46.882,0.2025
40000000,43,259.154,1.01715,52.3926,0.2545
41000000,42,253.939,1.33208,38.798,0.2625
42000000,34,196.343,31.7011,40.7226,0.244
43000000,50,296.196,11.8006,42.2759,0.258
44000000,24,141.771,5.48256,26.1665,0.254
45000000,57,350.508,8.19944,57.1676,0.2415
46000000,64,365.526,46.6176,57.2968,0.219
47000000,48,288.224,49.9855,51.2431,0.239
48000000,29,167.29,16.849,40.7891,0.257
49000000,18,111.683,4.70782,16.826,0.272
50000000,49,284.439,39.6978,56.0657,0.216
51000000,60,355.691,75.1911,52.6328,0.26
52000000,29,175.877,17.1171,25.4724,0.255167
53000000,36,213.49,25.2934,37.4377,0.246
54000000,37,219.459,-18.4315,35.4758,0.2615
55000000,48,300.311,23.8249,43.3564,0.226
56000000,24,128.363,26.9107,29.1438,0.224
57000000,49,282.232,-13.7198,50.4791,0.253
58000000,63,380.963,48.5933,51.5605,0.272
59000000,69,422.256,39.709,70.8291,0.246
60000000,23,128.055,25.9884,29.0953,0.225333
61000000,51,308.444,28.4984,40.8212,0.254667
62000000,31,182.848,21.4807,29.5995,0.244667
63000000,47,284.019,52.1722,45.3156,0.220667
64000000,41,244.283,0.857902,35.5428,0.2375
65000000,48,292.483,77.7226,60.007,0.231125
66000000,47,265.129,30.7671,52.5143,0.244333
67000000,45,264.619,39.9832,47.5925,0.234
68000000,48,293.698,17.261,58.5716,0.261
69000000,23,134.311,-16.6245,24.4258,0.269667
70000000,55,322.939,35.2863,53.6211,0.25
71000000,34,208.36,25.1636,44.1593,0.2295
72000000,25,145.17,-0.831134,32.6237,0.2375
73000000,20,119.181,29.726,23.4328,0.2485
74000000,20,125.803,20.411,18.544,0.247
75000000,24,140.199,8.56467,17.8492,0.2445
76000000,39,236.482,37.7671,47.1903,0.219
77000000,40,239.082,6.10519,45.1003,0.243
78000000,40,249.208,3.84597,30.0392,0.2585
79000000,34,202.363,11.8354,31.2898,0.253
80000000,54,311.101,11.1773,49.5847,0.229
81000000,43,256.024,62.2352,35.7128,0.225
82000000,49,276.196,26.0873,46.8727,0.248
83000000,35,203.733,33.6387,40.8356,0.227
84000000,41,244.677,29.3428,40.2933,0.246
85000000,49,309.266,18.0626,46.6046,0.249
