generation,leftchild,rightchild,abstime,betainit,betashift
0,Andrias_scheuchzeri,Celtedens_ibericus,0,0.5,0
1000000,Andrias_scheuchzeri,Celtedens_ibericus,0,0.0138477,-0.000299708
1000000,Andrias_scheuchzeri,NA,246.747,0.0241016,0.00230768
1000000,Onychodactylus_japonicus,NA,200.366,0.00950655,0.000781305
1000000,Onychodactylus_japonicus,Salamandrella_keyserlingii,154.232,0.0513054,0.00557045
1000000,Paleoamphiuma_tetradactylum,NA,182.838,0.0203213,-0.00191377
1000000,Amphiuma_tridactylum,NA,254.903,0.0290961,-0.0054017
1000000,Pseudobranchus_striatus,Paleoamphiuma_tetradactylum,130.747,0.020979,-0.00234692
1000000,Ambystoma_talpoideum,NA,238.464,0.0561845,0.00424445
1000000,Mertensiella_caucasica,NA,225.491,0.0260651,-0.00783801
1000000,Echinotriton_andersoni,NA,253.94,0.0240163,0.000943689
1000000,Cynops_cyanurus,NA,254.086,0.25303,0.00064473
1000000,Neurergus_kaiseri,Neurergus_crocatus,249.913,0.0870524,-0.000664201
1000000,Neurergus_kaiseri,Triturus_marmoratus,234.865,0.00248993,-0.00640684
1000000,Amphiuma_tridactylum,Amphiuma_means,153.27,0.16945,-0.00047027
1000000,Aneides_aeneus,NA,263.942,0.178297,-0.00874343
1000000,Plethodon_cinereus,NA,262.864,0.0212486,0.00650983
1000000,Plethodon_petraeus,NA,257.707,0.116655,0.00388127
1000000,Eurycea_tynerensis,NA,263.615,0.0303427,0.00406666
1000000,Eurycea_quadridigitata,Eurycea_rathbuni,240.027,0.0229654,-0.000949787
1000000,Rhyacotriton_olympicus,Amphiuma_tridactylum,129.178,0.0038429,2.23728e-05
2000000,Andrias_scheuchzeri,Celtedens_ibericus,0,0.0100106,-0.000299708
2000000,Salamandrella_keyserlingii,NA,253.22,0.20042,0.00196634
2000000,Salamandrella_keyserlingii,NA,263.761,0.147924,0.00332266
2000000,Salamandrella_keyserlingii,NA,265.428,0.0373761,-0.00267895
2000000,Onychodactylus_japonicus,Salamandrella_keyserlingii,161.264,0.0549077,-0.00206655
2000000,Dicamptodon_ensatus,Dicamptodon_copei,243.6,0.0644418,0.00267757
2000000,Ambystoma_talpoideum,NA,247.169,0.0277958,0.00252571
2000000,Ambystoma_opacum,NA,263.348,0.0369131,-0.0058265
2000000,Ambystoma_macrodactylum,NA,259.567,0.00440995,-0.00545426
