generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-7.32367,-774.966,200,1
1000000,41,245.426,41.2456,50.5873,0.2445
2000000,29,170.156,-14.8722,29.73,0.259333
3000000,37,216.055,27.8861,43.1601,0.231
4000000,38,222.904,7.83357,33.1593,0.232
5000000,48,292.917,34.5697,34.7695,0.247
6000000,29,173.615,5.28697,37.8701,0.2505
7000000,44,261.83,3.63724,48.9607,0.2415
8000000,57,343.654,35.3799,59.4214,0.2605
9000000,31,186.235,5.08477,39.478,0.2415
10000000,23,137.494,6.23011,19.4679,0.2545
11000000,25,141.062,32.506,29.494,0.246333
12000000,50,286.535,16.4648,34.9305,0.256
13000000,38,214.255,15.3463,42.1916,0.2365
14000000,46,269.678,-21.4572,53.6848,0.270333
15000000,44,266.906,41.1217,63.5819,0.2485
16000000,36,221.335,-3.53028,42.5903,0.2645
17000000,38,222.572,1.69876,36.4853,0.2345
18000000,27,165.46,35.5266,17.8263,0.251
19000000,28,172.952,31.2428,27.6607,0.242
20000000,52,316.198,35.3928,59.8937,0.263
21000000,52,326.556,33.3378,63.3565,0.252
22000000,31,187.323,43.5996,24.8304,0.248
23000000,44,253.429,18.6925,32.7994,0.2405
24000000,42,232.243,2.78431,54.0303,0.231
25000000,23,145.856,20.5397,21.3275,0.2605
26000000,39,229.467,10.0587,42.858,0.2365
27000000,54,304.802,27.2067,58.2586,0.274
28000000,28,162.923,5.89958,31.1216,0.244
29000000,27,160.967,-30.1386,23.8391,0.259667
30000000,59,341.867,13.2911,46.5362,0.254
31000000,40,252.352,-9.33175,35.4034,0.271333
32000000,35,219.878,-4.82924,31.8343,0.252
33000000,32,182.801,-1.58858,26.6329,0.254333
34000000,24,138.779,15.0206,25.6646,0.259
35000000,40,234.539,-10.5734,51.1603,0.272
36000000,41,250.84,-9.88384,33.1781,0.26
37000000,49,293.001,9.56697,54.4654,0.251
38000000,38,231.685,13.2626,50.9812,0.2505
39000000,35,198.031,37.5291,36.2751,0.234
40000000,32,188.716,-6.89259,31.0373,0.273
41000000,20,119.755,17.2171,24.1654,0.2285
42000000,19,117.97,-11.6553,15.6578,0.2505
43000000,23,146.734,7.00135,16.2732,0.2374
44000000,32,201.612,7.99346,38.8515,0.255
45000000,42,247.712,-2.9268,35.0007,0.2545
46000000,21,128.247,-29.8804,21.865,0.264333
47000000,48,274.895,-6.37504,57.5778,0.269
48000000,37,213.894,37.7693,25.9993,0.2585
49000000,26,159.578,24.6906,31.0724,0.226
50000000,35,217.664,39.5503,43.7066,0.2565
51000000,74,445.571,25.8037,83.9094,0.246
52000000,38,226.059,45.0889,39.0081,0.216
53000000,53,321.123,22.7235,63.4266,0.269
54000000,42,267.083,20.3018,56.9343,0.27
55000000,43,269.528,47.0774,46.5395,0.248
56000000,27,158.054,-14.1466,25.3683,0.2626
57000000,51,307.955,28.4179,47.0486,0.278
58000000,47,277.292,21.9647,52.2443,0.2455
59000000,48,282.726,52.7509,48.6446,0.237
60000000,28,167.869,-0.771008,28.9591,0.2405
61000000,35,201.99,37.0628,44.7791,0.237
62000000,34,202.866,36.6974,29.6684,0.234
63000000,51,297.644,19.1747,53.4634,0.232
64000000,43,246.249,-10.5497,42.2201,0.254
65000000,61,359.117,24.8471,54.0893,0.2525
66000000,42,247.654,20.6229,41.7966,0.2335
67000000,62,355.73,25.3559,70.679,0.261
68000000,17,97.9233,7.07094,14.2102,0.2435
69000000,29,170.615,10.1604,40.966,0.245
70000000,28,168.07,-5.57726,32.3385,0.258333
71000000,37,228.971,-3.20554,31.3502,0.2615
72000000,23,134.379,-3.37363,21.9787,0.2505
73000000,45,260.073,4.24591,53.7246,0.252
74000000,39,244.137,-15.6416,32.8345,0.2695
75000000,16,99.9751,7.01541,18.1349,0.24225
76000000,18,97.6613,34.7728,28.1034,0.2195
77000000,55,320.134,11.3201,52.2205,0.26
78000000,44,264.456,2.54715,42.0834,0.251
79000000,56,330.795,8.55234,56.7342,0.245
80000000,56,325.365,19.6296,52.5633,0.256
81000000,24,147.671,-16.6572,26.5025,0.258
82000000,21,126.681,-32.3002,30.8592,0.257
83000000,38,224.362,30.35,42.1456,0.253
84000000,70,421.23,-30.7299,74.5861,0.289
85000000,48,281.226,28.8753,52.586,0.2635
86000000,48,284.804,40.7951,46.1105,0.2485
87000000,31,171.475,-15.5028,26.191,0.248667
88000000,17,101.517,28.887,21.295,0.2355
89000000,33,207.39,-28.404,44.0959,0.262
90000000,59,362.613,75.775,45.8531,0.228
91000000,61,367.827,-11.0952,51.8042,0.2595
92000000,54,323.322,24.1814,51.339,0.236
93000000,25,154.315,-29.3018,11.9235,0.272857
94000000,33,200.872,7.44561,29.3126,0.2565
95000000,38,208.081,20.3674,38.5936,0.238
96000000,38,229.898,26.491,43.6607,0.2625
97000000,44,267.087,43.6455,62.6905,0.265
98000000,42,255.06,21.0194,36.945,0.253
99000000,26,161.694,-39.4667,23.1365,0.28
100000000,29,174.605,-2.74663,30.3005,0.241
101000000,39,229.878,38.6562,41.8554,0.231
102000000,32,184.276,4.7049,44.3464,0.2605
103000000,55,337.13,1.88023,84.5022,0.2655
104000000,47,278.723,19.544,44.5448,0.2515
105000000,56,342.032,36.6959,58.8821,0.254
106000000,31,177.143,-5.47761,31.7964,0.264
107000000,22,128.643,35.706,18.3575,0.2515
108000000,48,299.895,24.2944,50.3004,0.255
109000000,47,283.149,25.6162,68.4767,0.253
110000000,45,264.709,-5.47021,46.9313,0.261333
111000000,18,108.815,12.098,20.0548,0.229
112000000,28,170.142,22.2161,25.8281,0.2565
113000000,56,343.1,17.6408,50.4738,0.2505
114000000,60,356.329,54.453,57.0828,0.2665
115000000,41,238.587,22.3695,36.7224,0.2445
116000000,58,328.423,26.2183,63.2889,0.2455
117000000,49,294.469,2.8539,45.2127,0.2605
118000000,40,239.638,27.1893,43.2462,0.237
119000000,51,302.9,37.6768,52.0149,0.223
120000000,39,235.397,39.2195,38.426,0.243
121000000,51,311.067,32.8441,62.3458,0.2535
122000000,43,259.602,22.7002,50.6329,0.268333
123000000,53,328.733,16.693,39.7738,0.275
124000000,36,200.038,47.031,40.2309,0.2255
125000000,77,457.087,-0.195897,82.4526,0.2665
126000000,28,165.439,-4.42116,25.6065,0.263
127000000,46,280.546,18.0054,42.975,0.2265
128000000,49,295.374,-4.4368,34.8057,0.252
129000000,33,202.665,-44.4711,33.8431,0.288
