generation,N_shifts,logPrior,logLik,eventRate,preservationRate,acceptRate
49500000,11,67.679,-2996.85,8.97786,0.00585373,0.361
50000000,11,72.3351,-2992.96,16.2133,0.00497561,0.355
50500000,9,56.0949,-3009.78,7.98231,0.00383203,0.358
51000000,9,53.6707,-3010.33,12.0107,0.00436572,0.36
51500000,10,62.1411,-2996.01,19.4203,0.00524713,0.346
52000000,7,45.6403,-3007.02,4.51217,0.00537095,0.3525
52500000,8,49.0299,-3004.67,9.15579,0.00488179,0.377
53000000,8,39.4133,-2999.76,6.85784,0.00517297,0.345
53500000,4,25.5338,-3026.16,5.16802,0.00496115,0.326667
54000000,6,38.2795,-3002.87,7.41288,0.00451531,0.366
54500000,10,62.0392,-3007.85,10.8847,0.00502408,0.362
55000000,7,44.063,-3000.72,4.79055,0.00443772,0.367
55500000,9,56.7845,-3009.26,7.1647,0.00470543,0.350333
56000000,11,65.1728,-2994.67,20.005,0.0047181,0.325
56500000,14,81.6288,-3010.42,17.1224,0.00489149,0.3695
57000000,9,54.1484,-2999.34,12.2686,0.00556785,0.33
57500000,11,67.6979,-2999.9,14.4864,0.00533107,0.343
58000000,8,49.4731,-3018.93,6.77424,0.00695694,0.3635
58500000,8,45.0436,-3003.21,9.12948,0.00548743,0.373
59000000,9,55.0265,-3002.42,9.66484,0.00551356,0.35
59500000,9,55.3286,-2996.75,8.92239,0.00433008,0.368
60000000,11,60.3545,-3002.43,9.22632,0.00411651,0.356
60500000,18,116.789,-2992.74,20.9323,0.00402245,0.388
61000000,7,45.1586,-3000.09,7.73128,0.0044241,0.33
61500000,10,63.7216,-2994.3,7.9095,0.00473035,0.324
62000000,10,59.8827,-2998.16,15.4514,0.00549816,0.385
62500000,9,47.605,-2999.41,6.63315,0.00521114,0.349
63000000,10,58.6157,-3003.3,7.82645,0.00434581,0.377
63500000,12,74.8422,-2994.2,15.4024,0.00614392,0.373
64000000,15,92.9274,-2995.28,11.8085,0.00433972,0.341
64500000,11,67.8447,-2999.35,15.8269,0.00464144,0.337
65000000,8,48.4087,-2990.28,11.1718,0.00527805,0.325
65500000,12,76.693,-3010.84,15.4842,0.00407834,0.368
66000000,8,47.1519,-3002.79,6.65271,0.00481368,0.334
66500000,7,43.0771,-3010.45,4.24802,0.00418953,0.38
