generation,leftchild,rightchild,abstime,betainit,betashift
0,Andrias_scheuchzeri,Celtedens_ibericus,0,0.5,0
1000000,Andrias_scheuchzeri,Celtedens_ibericus,0,0.015021,-0.00132081
1000000,Onychodactylus_japonicus,Salamandrella_keyserlingii,183.44,0.0273039,0.00219141
1000000,Necturus_punctatus,Necturus_beyeri,203.763,0.026839,-0.000701589
1000000,Pseudobranchus_striatus,Qinglongtriton_gangouensis,57.3949,0.0157866,-5.5785e-05
1000000,Neurergus_kaiseri,Neurergus_crocatus,235.807,0.0958136,0.00532464
1000000,Rhyacotriton_olympicus,NA,144.882,0.0551744,-0.00577699
1000000,Desmognathus_aeneus,NA,250.012,0.115583,0.00295232
1000000,Ambystoma_ordinarium,Ambystoma_mexicanum,257.056,0.0513279,-0.00768986
1000000,Amphiuma_tridactylum,Amphiuma_means,224.022,0.115563,-0.00202174
1000000,Karsenia_koreana,NA,244.362,0.0136053,-0.000373527
1000000,Plethodon_elongatus,NA,255.316,0.0143926,-0.00253371
1000000,Plethodon_petraeus,NA,251.14,0.0474267,-0.000637708
1000000,Plethodon_petraeus,NA,252.519,0.0966871,0.0018089
1000000,Taricha_rivularis,Taricha_granulosa,244.219,0.0157234,0.0147929
1000000,Hemidactylium_scutatum,NA,213.017,0.00288202,0.000693204
1000000,Eurycea_spelaea,NA,257.446,0.00245524,0.0033233
1000000,Eurycea_quadridigitata,Eurycea_rathbuni,235.868,0.24839,0.00179666
1000000,Batrachoseps_attenuatus,NA,255.565,0.0473689,-0.00297194
1000000,Chiropterotriton_dimidiatus,Chiropterotriton_lavae,231.03,0.00456669,0.00153511
1000000,Chiropterotriton_lavae,NA,244.046,0.0681546,-0.00438748
1000000,Chiropterotriton_priscus,NA,260.288,0.130143,-0.00783277
1000000,Pseudoeurycea_bellii,NA,237.595,0.0297522,-0.00358188
1000000,Pseudoeurycea_goebeli,Pseudoeurycea_rex,255.472,0.141697,-0.00655074
1000000,Bolitoglossa_minutula,NA,254.022,0.116613,-0.00200247
1000000,Rhyacotriton_olympicus,Amphiuma_tridactylum,128.791,0.00317202,-0.00101196
1000000,Karaurus_sharovi,NA,106.767,0.0266793,-0.00404176
2000000,Andrias_scheuchzeri,Celtedens_ibericus,0,0.0101961,0.00279
2000000,Salamandrella_keyserlingii,NA,234.965,0.12648,0.00409799
2000000,Salamandrella_keyserlingii,NA,247.472,0.0226689,-0.00430037
2000000,Batrachuperus_pinchonii,Batrachuperus_tibetanus,252.669,0.157939,0.00687359
2000000,Hynobius_naevius,NA,257.051,0.00414936,-0.00422087
2000000,Sinerpeton_fengshanensis,NA,109.47,0.0137634,0.00135693
2000000,Cynops_cyanurus,NA,260.903,0.0280856,0.00349596
2000000,Salamandrina_terdigitata,Archaeotriton_basalticus,212.291,0.0356083,-0.00923554
2000000,Cynops_cyanurus,NA,257.673,0.0979575,0.00107734
2000000,Rhyacotriton_olympicus,NA,137.274,0.00841155,0.00210253
2000000,Triturus_marmoratus,Triturus_cristatus,244.847,0.00320643,-0.00408864
2000000,Tylototriton_shanjing,NA,260.328,0.0332298,0.00207365
2000000,Neurergus_kaiseri,Neurergus_crocatus,248.256,0.0793924,-0.00142064
2000000,Necturus_punctatus,NA,260.66,0.0625411,-0.00516216
2000000,Amphiuma_tridactylum,Amphiuma_means,179.08,0.0327179,0.000602978
2000000,Amphiuma_tridactylum,Amphiuma_means,224.983,0.0115018,-0.00362213
2000000,Karsenia_koreana,NA,242.306,0.089657,-0.00756962
2000000,Desmognathus_aeneus,NA,256.985,0.0695153,-0.0062335
2000000,Desmognathus_brimleyorum,NA,255.417,0.148439,0.00374266
2000000,Plethodon_yonahlossee,NA,253.89,0.208101,-0.00633297
2000000,Plethodon_petraeus,NA,250.951,0.0981817,-0.00367671
2000000,Eurycea_rathbuni,Eurycea_nana,247.036,0.14182,0.000630036
2000000,Salamandra_salamandra,Salamandra_atra,240.58,0.00503272,0.00119046
2000000,Parvimolge_townsendi,NA,262.403,0.176852,0.000217235
2000000,Pseudoeurycea_leprosa,NA,239.749,0.064803,-0.00205384
2000000,Pseudoeurycea_leprosa,NA,260.439,0.00720295,0.000813017
2000000,Rhyacotriton_olympicus,Amphiuma_tridactylum,106.096,0.00403884,-0.00111737
3000000,Andrias_scheuchzeri,Celtedens_ibericus,0,0.0100657,0.00494822
3000000,Salamandrella_keyserlingii,Ranodon_sibiricus,208.01,0.144056,-0.00479689
3000000,Pseudobranchus_striatus,Paleoamphiuma_tetradactylum,127.396,0.0431397,0.00503109
3000000,Ambystoma_jeffersonianum,NA,253.887,0.0217078,0.00197625
3000000,Salamandrina_terdigitata,Archaeotriton_basalticus,216.237,0.00577145,-0.00413918
3000000,Neurergus_kaiseri,Neurergus_crocatus,240.52,0.130888,0.00043882
3000000,Triturus_cristatus,Triturus_carnifex,251.52,0.0416433,0.0058338
3000000,Necturus_punctatus,Necturus_beyeri,206.306,0.160652,0.00272805
3000000,Rhyacotriton_olympicus,NA,189.618,0.0219424,0.00504932
3000000,Amphiuma_tridactylum,NA,256.511,0.0237892,0.00499265
3000000,Amphiuma_tridactylum,NA,262.223,0.0462185,0.00103717
3000000,Amphiuma_tridactylum,Amphiuma_means,185.37,0.159841,-0.00102853
3000000,Amphiuma_tridactylum,Amphiuma_means,231.676,0.00125996,0.00235701
3000000,Karsenia_koreana,NA,228.145,0.102732,0.00205671
3000000,Desmognathus_aeneus,NA,249.033,0.0113982,0.00888518
3000000,Desmognathus_imitator,Desmognathus_aeneus,247.203,0.00339667,0.00592653
3000000,Desmognathus_brimleyorum,NA,257.71,0.0755002,-0.00100627
3000000,Plethodon_yonahlossee,Plethodon_petraeus,239.926,0.163429,-0.00169854
3000000,Eurycea_rathbuni,Eurycea_nana,244.389,0.237224,-0.00113704
3000000,Batrachoseps_wrighti,NA,250.625,0.0587415,-0.000372765
3000000,Chiropterotriton_priscus,Chiropterotriton_terrestris,237.754,0.00407805,0.00391701
3000000,Parvimolge_townsendi,NA,255.961,0.0367753,-0.000255424
