generation,N_shifts,logPrior,logLik,eventRate,acceptRate
353000000,32,186.166,1.4103,37.6632,0.2565
354000000,45,272.096,52.992,48.7507,0.227
355000000,64,378.6,17.2936,75.6041,0.265
356000000,41,248.997,49.7458,43.2585,0.219
357000000,65,402.932,65.6981,51.9809,0.21
358000000,39,227.772,22.4081,43.9555,0.248
359000000,31,175.271,25.2709,44.016,0.237
360000000,52,319.766,22.6396,48.4534,0.261
361000000,42,257.926,32.6877,33.7103,0.245
362000000,44,262.606,12.8602,48.9187,0.246
363000000,47,288.426,43.7124,41.893,0.2585
364000000,45,258.38,44.5383,32.6869,0.26
365000000,51,313.533,22.7096,49.0049,0.257
366000000,35,195.418,-1.38753,30.6449,0.242
367000000,51,309.628,5.50669,45.258,0.248
368000000,30,169.299,33.9051,31.3275,0.2365
369000000,44,252.351,54.8108,57.5701,0.2355
370000000,44,245.52,62.0034,46.8384,0.2385
371000000,38,227.45,26.2256,32.5193,0.2395
372000000,49,296.852,32.9354,53.1022,0.212
373000000,35,217.283,52.6826,25.3073,0.237
374000000,38,227.181,46.9721,35.1372,0.216
375000000,25,144.942,5.89325,20.1255,0.2645
376000000,47,267.37,41.3692,50.5536,0.208
377000000,27,158.765,9.5571,24.8947,0.259
378000000,33,195.388,35.0641,26.8405,0.241
379000000,44,270.034,27.9788,41.4883,0.2335
380000000,55,323.115,20.3183,60.1151,0.2635
381000000,34,191.685,14.661,36.9278,0.25
382000000,36,201.783,-0.895642,38.9408,0.263
383000000,44,260.227,-25.3022,44.3128,0.265
384000000,34,196.98,16.3164,39.956,0.241
385000000,75,453.778,23.1777,74.5792,0.228
386000000,44,257.26,47.9517,48.9761,0.231
387000000,26,161.728,-0.669779,25.1752,0.25625
388000000,46,277.409,15.4367,60.5028,0.261
389000000,56,332.636,12.217,59.9852,0.249
390000000,43,271.67,33.9612,41.0317,0.258
391000000,40,244.322,27.6335,48.1579,0.2586
392000000,54,326.482,13.4473,50.6977,0.233
393000000,74,429.589,84.9603,63.0275,0.2415
394000000,37,208.976,5.18969,31.5312,0.2625
395000000,17,101.315,9.62676,16.4028,0.2502
396000000,33,195.092,15.078,38.994,0.248667
397000000,61,372.599,54.284,41.6139,0.253
398000000,43,250.402,42.0141,44.8531,0.2375
399000000,34,185.466,23.8429,43.1585,0.2445
400000000,52,308.743,8.49083,53.4053,0.249
401000000,38,217.872,-19.452,27.5482,0.246
402000000,50,315.928,13.7226,62.0261,0.256
403000000,28,159.205,9.36037,30.0222,0.2385
404000000,41,245.426,55.567,32.2204,0.263
405000000,19,120.051,56.1002,19.3597,0.231
406000000,65,389.826,67.9763,67.187,0.217
407000000,39,225.712,54.7366,38.143,0.259
408000000,50,296.473,49.8096,66.3052,0.234
409000000,43,255.942,-1.38359,40.168,0.289
410000000,43,257.01,22.9474,42.4415,0.242
411000000,23,138.313,6.25381,12.9409,0.26
412000000,30,187.025,-0.25408,25.2419,0.2495
413000000,30,179.784,3.01173,33.4737,0.2336
414000000,45,283.152,4.37756,41.4076,0.244
415000000,40,243.077,59.2374,53.8126,0.2445
416000000,43,276.243,6.34379,30.0899,0.253
417000000,55,337.042,40.6947,58.3945,0.2315
418000000,49,289.007,30.4567,56.1579,0.226
419000000,52,305.765,29.8592,47.7608,0.255
420000000,38,216.118,8.84381,35.8523,0.2495
421000000,88,515.294,50.8263,88.0315,0.223
422000000,49,292.911,30.8065,51.99,0.239
423000000,24,139.482,27.9784,32.0238,0.241
424000000,70,423.538,53.2891,55.4746,0.238
425000000,59,339.645,-7.34849,69.9004,0.271
426000000,65,391.636,37.1415,54.2221,0.2435
