,ENA,WNA,NEO,EUR,CASIA,EASIA
Plethodon cylindraceus,1,0,0,0,0,0
Plethodon chattahoochee,1,0,0,0,0,0
Plethodon cheoah,1,0,0,0,0,0
Plethodon aureolus,1,0,0,0,0,0
Gyrinophilus gulolineatus,1,0,0,0,0,0
Urspelerpes brucei,1,0,0,0,0,0
Eurycea chamberlaini,1,0,0,0,0,0
Eurycea longicauda,1,0,0,0,0,0
Eurycea guttolineata,1,0,0,0,0,0
Eurycea cirrigera,1,0,0,0,0,0
Haideotriton wallacei,1,0,0,0,0,0
Eurycea aquatica,1,0,0,0,0,0
Eurycea naufragia,1,0,0,0,0,0
Eurycea chisholmensis,1,0,0,0,0,0
Eurycea tonkawae,1,0,0,0,0,0
Eurycea waterlooensis,1,0,0,0,0,0
Eurycea troglodytes,1,0,0,0,0,0
Eurycea sosorum,1,0,0,0,0,0
Eurycea pterophila,1,0,0,0,0,0
Eurycea latitans,1,0,0,0,0,0
Eurycea tridentifera,1,0,0,0,0,0
Batrachoseps campi,0,1,0,0,0,0
Batrachoseps kawia,0,1,0,0,0,0
Batrachoseps relictus,0,1,0,0,0,0
Batrachoseps regius,0,1,0,0,0,0
Batrachoseps diabolicus,0,1,0,0,0,0
Batrachoseps gregarius,0,1,0,0,0,0
Batrachoseps simatus,0,1,0,0,0,0
Batrachoseps nigriventris,0,1,0,0,0,0
Batrachoseps gabrieli,0,1,0,0,0,0
Batrachoseps gavilanensis,0,1,0,0,0,0
Batrachoseps luciae,0,1,0,0,0,0
Batrachoseps minor,0,1,0,0,0,0
Batrachoseps incognitus,0,1,0,0,0,0
Batrachoseps pacificus,0,1,0,0,0,0
Nyctanolis pernix,0,0,1,0,0,0
Dendrotriton rabbi,0,0,1,0,0,0
Dendrotriton cuchumatanus,0,0,1,0,0,0
Dendrotriton sanctibarbarus,0,0,1,0,0,0
Dendrotriton xolocalcae,0,0,1,0,0,0
Dendrotriton megarhinus,0,0,1,0,0,0
Nototriton barbouri,0,0,1,0,0,0
Nototriton brodiei,0,0,1,0,0,0
Nototriton stuarti,0,0,1,0,0,0
Nototriton lignicola,0,0,1,0,0,0
Nototriton limnospectator,0,0,1,0,0,0
Nototriton saslaya,0,0,1,0,0,0
Nototriton guanacaste,0,0,1,0,0,0
Nototriton abscondens,0,0,1,0,0,0
Nototriton gamezi,0,0,1,0,0,0
Thorius minutissimus,0,0,1,0,0,0
Thorius dubitus,0,0,1,0,0,0
Thorius magnipes,0,0,1,0,0,0
Cryptotriton alvarezdeltoroi,0,0,1,0,0,0
Cryptotriton nasalis,0,0,1,0,0,0
Cryptotriton veraepacis,0,0,1,0,0,0
Bradytriton silus,0,0,1,0,0,0
Oedipina quadra,0,0,1,0,0,0
Oedipina kasios,0,0,1,0,0,0
Oedipina gephyra,0,0,1,0,0,0
Oedipina tomasi,0,0,1,0,0,0
Oedipina maritima,0,0,1,0,0,0
Oedipina elongata,0,0,1,0,0,0
Oedipina alleni,0,0,1,0,0,0
Oedipina savagei,0,0,1,0,0,0
Oedipina carablanca,0,0,1,0,0,0
Oedipina stenopodia,0,0,1,0,0,0
Oedipina grandis,0,0,1,0,0,0
Oedipina leptopoda,0,0,1,0,0,0
Oedipina collaris,0,0,1,0,0,0
Oedipina cyclocauda,0,0,1,0,0,0
Oedipina pacificensis,0,0,1,0,0,0
Ixalotriton parvus,0,0,1,0,0,0
Ixalotriton niger,1,0,0,0,0,0
Pseudoeurycea maxima,0,0,1,0,0,0
Pseudoeurycea boneti,0,0,1,0,0,0
Pseudoeurycea naucampatepetl,0,0,1,0,0,0
Pseudoeurycea gigantea,0,0,1,0,0,0
Lineatriton orchileucos,1,0,0,0,0,0
Pseudoeurycea conanti,0,0,1,0,0,0
Pseudoeurycea mystax,0,0,1,0,0,0
Pseudoeurycea obesa,0,0,1,0,0,0
Pseudoeurycea ruficauda,0,0,1,0,0,0
Pseudoeurycea saltator,0,0,1,0,0,0
Lineatriton lineolus,1,0,0,0,0,0
