tree$tip.label	ENA	WNA	NEO	EUR	CASIA	EASIA
Ambystoma_cingulatum	1	0.001	0.001	0.001	0.001	0.001
Ambystoma_maculatum	1	0.001	0.001	0.001	0.001	0.001
Ambystoma_jeffersonianum	1	0.001	0.001	0.001	0.001	0.001
Ambystoma_laterale	1	0.001	0.001	0.001	0.001	0.001
Ambystoma_mabeei	1	0.001	0.001	0.001	0.001	0.001
Ambystoma_texanum	1	0.001	0.001	0.001	0.001	0.001
Ambystoma_barbouri	1	0.001	0.001	0.001	0.001	0.001
Ambystoma_macrodactylum	0.001	1	0.001	0.001	0.001	0.001
Ambystoma_californiense	0.001	1	0.001	0.001	0.001	0.001
Ambystoma_tigrinum	1	1	0.001	0.001	0.001	0.001
Ambystoma_ordinarium	0.001	0.001	1	0.001	0.001	0.001
Ambystoma_mexicanum	0.001	0.001	1	0.001	0.001	0.001
Ambystoma_dumerilii	0.001	0.001	1	0.001	0.001	0.001
Ambystoma_andersoni	0.001	0.001	1	0.001	0.001	0.001
Ambystoma_gfs	1	?	?	?	?	?
Ambystoma_minshalli	?	1	?	?	?	?
Semniobatrachus_boltishki	?	?	?	1	?	?
Salamandrina_perspicillata	0.001	0.001	0.001	1	0.001	0.001
Salamandrina_terdigitata	0.001	0.001	0.001	1	0.001	0.001
Archaeotriton_basalticus	?	?	?	1	?	?
Mertensiella_caucasica	0.001	0.001	0.001	0.001	1	0.001
Chioglossa_lusitanica	0.001	0.001	0.001	1	0.001	0.001
Chioglossa_meini	?	?	?	1	?	?
Salamandra_infraimmaculata	0.001	0.001	0.001	0.001	1	0.001
Salamandra_algira	0.001	0.001	0.001	1	0.001	0.001
Salamandra_salamandra	0.001	0.001	0.001	1	0.001	0.001
Salamandra_atra	0.001	0.001	0.001	1	0.001	0.001
Salamandra_corsica	0.001	0.001	0.001	1	0.001	0.001
Salamandra_lanzai	0.001	0.001	0.001	1	0.001	0.001
Salamandra_sansaniensis	?	?	?	1	?	?
Lyciasalamandra_atifi	0.001	0.001	0.001	0.001	1	0.001
Lyciasalamandra_luschani	0.001	0.001	0.001	0.001	1	0.001
Lyciasalamandra_helverseni	0.001	0.001	0.001	1	0.001	0.001
Lyciasalamandra_fazilae	0.001	0.001	0.001	0.001	1	0.001
Lyciasalamandra_flavimembris	0.001	0.001	0.001	0.001	1	0.001
Lyciasalamandra_antalyana	0.001	0.001	0.001	0.001	1	0.001
Lyciasalamandra_billae	0.001	0.001	0.001	0.001	1	0.001
Pleurodeles_waltl	0.001	0.001	0.001	1	0.001	0.001
Pleurodeles_cf.waltl	?	?	?	1	?	?
Pleurodeles_nebulosus	0.001	0.001	0.001	1	0.001	0.001
Pleurodeles_poireti	0.001	0.001	0.001	1	0.001	0.001
Palaeopleurodeles_hauffi	?	?	?	1	?	?
Echinotriton_chinhaiensis	0.001	0.001	0.001	0.001	0.001	1
Echinotriton_andersoni	0.001	0.001	0.001	0.001	0.001	1
Tylototriton_wenxianensis	0.001	0.001	0.001	0.001	0.001	1
Tylototriton_asperrimus	0.001	0.001	0.001	0.001	0.001	1
Tylototriton_taliangensis	0.001	0.001	0.001	0.001	0.001	1
Tylototriton_shanjing	0.001	0.001	0.001	0.001	0.001	1
Tylototriton_kweichowensis	0.001	0.001	0.001	0.001	0.001	1
Tylototriton_verrucosus	0.001	0.001	0.001	0.001	0.001	1
Brachycormus_noachicus	?	?	?	1	?	?
Chelotriton_paradoxus	?	?	?	1	?	?
Notophthalmus_meridionalis	0.001	0.001	1	0.001	0.001	0.001
Notophthalmus_viridescens	1	0.001	0.001	0.001	0.001	0.001
Notophthalmus_perstriatus	1	0.001	0.001	0.001	0.001	0.001
Notophthalmus_crassus	?	1	?	?	?	?
Notophthalmus_robustus	1	?	?	?	?	?
Taricha_rivularis	0.001	1	0.001	0.001	0.001	0.001
Taricha_granulosa	0.001	1	0.001	0.001	0.001	0.001
Taricha_torosa	0.001	1	0.001	0.001	0.001	0.001
Taricha_oligocenica	?	1	?	?	?	?
Taricha_lindoei	?	1	?	?	?	?
Ichthyosaura_alpestris	0.001	0.001	0.001	1	0.001	0.001
Ichthyosaura_randeckensis	?	?	?	1	?	?
Ichthyosaura_wintershofi	?	?	?	1	?	?
Cynops_pyrrhogaster	0.001	0.001	0.001	0.001	0.001	1
Cynops_ensicauda	0.001	0.001	0.001	0.001	0.001	1
Cynops_cyanurus	0.001	0.001	0.001	0.001	0.001	1
Cynops_orphicus	0.001	0.001	0.001	0.001	0.001	1
Cynops_orientalis	0.001	0.001	0.001	0.001	0.001	1
Procynops_miocenicus	?	?	?	?	?	1
Laotriton_laoensis	0.001	0.001	0.001	0.001	0.001	1
Pachytriton_labiatus	0.001	0.001	0.001	0.001	0.001	1
Pachytriton_brevipes	0.001	0.001	0.001	0.001	0.001	1
Paramesotriton_caudopunctatus	0.001	0.001	0.001	0.001	0.001	1
Paramesotriton_zhijinensis	0.001	0.001	0.001	0.001	0.001	1
Paramesotriton_longliensis	0.001	0.001	0.001	0.001	0.001	1
Paramesotriton_ermizhaoi	0.001	0.001	0.001	0.001	0.001	1
Paramesotriton_chinensis	0.001	0.001	0.001	0.001	0.001	1
Paramesotriton_hongkongensis	0.001	0.001	0.001	0.001	0.001	1
Paramesotriton_deloustali	0.001	0.001	0.001	0.001	0.001	1
Paramesotriton_guangxiensis	0.001	0.001	0.001	0.001	0.001	1
Paramesotriton_fuzhongensis	0.001	0.001	0.001	0.001	0.001	1
Carpathotriton_matraensis	?	?	?	1	?	?
Euproctus_platycephalus	0.001	0.001	0.001	1	0.001	0.001
Euproctus_montanus	0.001	0.001	0.001	1	0.001	0.001
Lissotriton_helveticus	0.001	0.001	0.001	1	0.001	0.001
Lissotriton_aff.helveticus	?	?	?	1	?	?
Lissotriton_italicus	0.001	0.001	0.001	1	0.001	0.001
Lissotriton_boscai	0.001	0.001	0.001	1	0.001	0.001
Lissotriton_vulgaris	0.001	0.001	0.001	1	1	0.001
Lissotriton_montandoni	0.001	0.001	0.001	1	0.001	0.001
Ommatotriton_ophryticus	0.001	0.001	0.001	0.001	1	0.001
Ommatotriton_vittatus	0.001	0.001	0.001	0.001	1	0.001
Ommatriton_roehrsi	?	?	?	1	?	?
Neurergus_strauchii	0.001	0.001	0.001	0.001	1	0.001
Neurergus_kaiseri	0.001	0.001	0.001	0.001	1	0.001
Neurergus_crocatus	0.001	0.001	0.001	0.001	1	0.001
Neurergus_microspilotus	0.001	0.001	0.001	0.001	1	0.001
Calotriton_asper	0.001	0.001	0.001	1	0.001	0.001
Calotriton_arnoldi	0.001	0.001	0.001	1	0.001	0.001
Triturus_pygmaeus	0.001	0.001	0.001	1	0.001	0.001
Triturus_marmoratus	0.001	0.001	0.001	1	0.001	0.001
Triturus_aff.marmoratus	?	?	?	1	?	?
Triturus_dobrogicus	0.001	0.001	0.001	1	0.001	0.001
Triturus_macedonicus	0.001	0.001	0.001	1	0.001	0.001
Triturus_cristatus	0.001	0.001	0.001	1	0.001	0.001
Triturus_carnifex	0.001	0.001	0.001	1	0.001	0.001
Triturus_karelinii	0.001	0.001	0.001	1	1	0.001
Koaliella_genzeli	?	?	?	1	?	?
Phosphotriton_sigei	?	?	?	1	?	?
Proteus_anguinus	0.001	0.001	0.001	1	0.001	0.001
Mioproteus_caucasicus	?	?	?	1	?	?
Orthophyia_longa	?	?	?	1	?	?
Necturus_lewisi	1	0.001	0.001	0.001	0.001	0.001
Necturus_punctatus	1	0.001	0.001	0.001	0.001	0.001
Necturus_beyeri	1	0.001	0.001	0.001	0.001	0.001
Necturus_alabamensis	1	0.001	0.001	0.001	0.001	0.001
Necturus_maculosus	1	0.001	0.001	0.001	0.001	0.001
Necturus_krausei	?	1	?	?	?	?
Rhyacotriton_cascadae	0.001	1	0.001	0.001	0.001	0.001
Rhyacotriton_kezeri	0.001	1	0.001	0.001	0.001	0.001
Rhyacotriton_variegatus	0.001	1	0.001	0.001	0.001	0.001
Rhyacotriton_olympicus	0.001	1	0.001	0.001	0.001	0.001
Amphiuma_tridactylum	1	0.001	0.001	0.001	0.001	0.001
Amphiuma_pholeter	1	0.001	0.001	0.001	0.001	0.001
Amphiuma_means	1	0.001	0.001	0.001	0.001	0.001
Amphiuma_jepseni	?	1	?	?	?	?
Proamphiuma_cretacea	?	1	?	?	?	?
Ensatina_eschscholtzii	0.001	1	0.001	0.001	0.001	0.001
Hydromantes_shastae	0.001	1	0.001	0.001	0.001	0.001
Hydromantes_brunus	0.001	1	0.001	0.001	0.001	0.001
Hydromantes_platycephalus	0.001	1	0.001	0.001	0.001	0.001
Hydromantes_strinatii	0.001	0.001	0.001	1	0.001	0.001
Hydromantes_ambrosii	0.001	0.001	0.001	1	0.001	0.001
Hydromantes_italicus	0.001	0.001	0.001	1	0.001	0.001
Hydromantes_genei	0.001	0.001	0.001	1	0.001	0.001
Hydromantes_imperialis	0.001	0.001	0.001	1	0.001	0.001
Hydromantes_flavus	0.001	0.001	0.001	1	0.001	0.001
Hydromantes_supramontis	0.001	0.001	0.001	1	0.001	0.001
Hydromantes_sarrabusensis	0.001	0.001	0.001	1	0.001	0.001
Karsenia_koreana	0.001	0.001	0.001	0.001	0.001	1
Aneides_aeneus	1	0.001	0.001	0.001	0.001	0.001
Aneides_hardii	1	0.001	0.001	0.001	0.001	0.001
Aneides_lugubris	0.001	1	0.001	0.001	0.001	0.001
Aneides_flavipunctatus	0.001	1	0.001	0.001	0.001	0.001
Aneides_ferreus	0.001	1	0.001	0.001	0.001	0.001
Aneides_vagrans	0.001	1	0.001	0.001	0.001	0.001
Phaeognathus_hubrichti	1	0.001	0.001	0.001	0.001	0.001
Desmognathus_wrighti	1	0.001	0.001	0.001	0.001	0.001
Desmognathus_quadramaculatus	1	0.001	0.001	0.001	0.001	0.001
Desmognathus_marmoratus	1	0.001	0.001	0.001	0.001	0.001
Desmognathus_imitator	1	0.001	0.001	0.001	0.001	0.001
Desmognathus_aeneus	1	0.001	0.001	0.001	0.001	0.001
Desmognathus_ocoee	1	0.001	0.001	0.001	0.001	0.001
Desmognathus_ochrophaeus	1	0.001	0.001	0.001	0.001	0.001
Desmognathus_orestes	1	0.001	0.001	0.001	0.001	0.001
Desmognathus_carolinensis	1	0.001	0.001	0.001	0.001	0.001
Desmognathus_monticola	1	0.001	0.001	0.001	0.001	0.001
Desmognathus_welteri	1	0.001	0.001	0.001	0.001	0.001
Desmognathus_planiceps	1	0.001	0.001	0.001	0.001	0.001
Desmognathus_fuscus	1	0.001	0.001	0.001	0.001	0.001
Desmognathus_auriculatus	1	0.001	0.001	0.001	0.001	0.001
Desmognathus_apalachicolae	1	0.001	0.001	0.001	0.001	0.001
Desmognathus_brimleyorum	1	0.001	0.001	0.001	0.001	0.001
Desmognathus_folkertsi	1	0.001	0.001	0.001	0.001	0.001
Desmognathus_santeetlah	1	0.001	0.001	0.001	0.001	0.001
Desmognathus_conanti	1	0.001	0.001	0.001	0.001	0.001
Plethodon_neomexicanus	1	0.001	0.001	0.001	0.001	0.001
Plethodon_larselli	0.001	1	0.001	0.001	0.001	0.001
Plethodon_idahoensis	0.001	1	0.001	0.001	0.001	0.001
Plethodon_vandykei	0.001	1	0.001	0.001	0.001	0.001
Plethodon_dunni	0.001	1	0.001	0.001	0.001	0.001
Plethodon_vehiculum	0.001	1	0.001	0.001	0.001	0.001
Plethodon_asupak	0.001	1	0.001	0.001	0.001	0.001
Plethodon_stormi	0.001	1	0.001	0.001	0.001	0.001
Plethodon_elongatus	0.001	1	0.001	0.001	0.001	0.001
Plethodon_sherando	1	0.001	0.001	0.001	0.001	0.001
Plethodon_serratus	1	0.001	0.001	0.001	0.001	0.001
Plethodon_shenandoah	1	0.001	0.001	0.001	0.001	0.001
Plethodon_cinereus	1	0.001	0.001	0.001	0.001	0.001
Plethodon_nettingi	1	0.001	0.001	0.001	0.001	0.001
Plethodon_hoffmani	1	0.001	0.001	0.001	0.001	0.001
Plethodon_virginia	1	0.001	0.001	0.001	0.001	0.001
Plethodon_hubrichti	1	0.001	0.001	0.001	0.001	0.001
Plethodon_richmondi	1	0.001	0.001	0.001	0.001	0.001
Plethodon_electromorphus	1	0.001	0.001	0.001	0.001	0.001
Plethodon_websteri	1	0.001	0.001	0.001	0.001	0.001
Plethodon_wehrlei	1	0.001	0.001	0.001	0.001	0.001
Plethodon_punctatus	1	0.001	0.001	0.001	0.001	0.001
Plethodon_welleri	1	0.001	0.001	0.001	0.001	0.001
Plethodon_angusticlavius	1	0.001	0.001	0.001	0.001	0.001
Plethodon_ventralis	1	0.001	0.001	0.001	0.001	0.001
Plethodon_dorsalis	1	0.001	0.001	0.001	0.001	0.001
Plethodon_yonahlossee	1	0.001	0.001	0.001	0.001	0.001
Plethodon_petraeus	1	0.001	0.001	0.001	0.001	0.001
Plethodon_kentucki	1	0.001	0.001	0.001	0.001	0.001
Plethodon_caddoensis	1	0.001	0.001	0.001	0.001	0.001
Plethodon_ouachitae	1	0.001	0.001	0.001	0.001	0.001
Plethodon_fourchensis	1	0.001	0.001	0.001	0.001	0.001
Plethodon_jordani	1	0.001	0.001	0.001	0.001	0.001
Plethodon_shermani	1	0.001	0.001	0.001	0.001	0.001
Plethodon_mississippi	1	0.001	0.001	0.001	0.001	0.001
Plethodon_kiamichi	1	0.001	0.001	0.001	0.001	0.001
Plethodon_albagula	1	0.001	0.001	0.001	0.001	0.001
Plethodon_sequoyah	1	0.001	0.001	0.001	0.001	0.001
Plethodon_kisatchie	1	0.001	0.001	0.001	0.001	0.001
Plethodon_grobmani	1	0.001	0.001	0.001	0.001	0.001
Plethodon_savannah	1	0.001	0.001	0.001	0.001	0.001
Plethodon_ocmulgee	1	0.001	0.001	0.001	0.001	0.001
Plethodon_metcalfi	1	0.001	0.001	0.001	0.001	0.001
Plethodon_montanus	1	0.001	0.001	0.001	0.001	0.001
Plethodon_amplus	1	0.001	0.001	0.001	0.001	0.001
Plethodon_meridianus	1	0.001	0.001	0.001	0.001	0.001
Plethodon_chlorobryonis	1	0.001	0.001	0.001	0.001	0.001
Plethodon_variolatus	1	0.001	0.001	0.001	0.001	0.001
