tree$tip.label	ENA	WNA	NEO	EUR	CASIA	EASIA
Chiropterotriton_orculus	0.001	0.001	1	0.001	0.001	0.001
Chiropterotriton_arboreus	0.001	0.001	1	0.001	0.001	0.001
Chiropterotriton_multidentatus	0.001	0.001	1	0.001	0.001	0.001
Chiropterotriton_cracens	0.001	0.001	1	0.001	0.001	0.001
Chiropterotriton_chondrostega	0.001	0.001	1	0.001	0.001	0.001
Chiropterotriton_magnipes	0.001	0.001	1	0.001	0.001	0.001
Chiropterotriton_priscus	0.001	0.001	1	0.001	0.001	0.001
Chiropterotriton_terrestris	0.001	0.001	1	0.001	0.001	0.001
Parvimolge_townsendi	0.001	0.001	1	0.001	0.001	0.001
Ixalotriton_parvus	0.001	0.001	1	0.001	0.001	0.001
Ixalotriton_niger	1	0.001	0.001	0.001	0.001	0.001
Pseudoeurycea_cephalica	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_galeanae	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_scandens	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_maxima	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_boneti	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_bellii	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_naucampatepetl	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_gigantea	0.001	0.001	1	0.001	0.001	0.001
Lineatriton_orchileucos	1	0.001	0.001	0.001	0.001	0.001
Pseudoeurycea_conanti	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_werleri	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_mystax	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_obesa	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_unguidentis	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_ruficauda	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_juarezi	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_saltator	0.001	0.001	1	0.001	0.001	0.001
Lineatriton_lineolus	1	0.001	0.001	0.001	0.001	0.001
Pseudoeurycea_lynchi	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_nigromaculata	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_firscheini	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_leprosa	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_papenfussi	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_smithi	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_brunnata	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_exspectata	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_goebeli	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_rex	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_gadovii	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_melanomolga	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_anitae	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_cochranae	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_robertsi	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_altamontana	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_longicauda	0.001	0.001	1	0.001	0.001	0.001
Pseudoeurycea_tenchalli	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_cerroensis	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_minutula	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_marmorea	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_epimela	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_sooyorum	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_gracilis	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_subpalmata	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_tica	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_gomezi	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_pesrubra	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_robinsoni	1	0.001	0.001	0.001	0.001	0.001
Bolitoglossa_bramei	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_colonnea	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_nigrescens	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_robusta	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_schizodactyla	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_compacta	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_spongai	1	0.001	0.001	0.001	0.001	0.001
Bolitoglossa_biseriata	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_sima	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_medemi	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_adspersa	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_equatoriana	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_paraensis	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_palmata	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_peruviana	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_altamazonica	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_rufescens	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_occidentalis	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_hartwegi	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_stuarti	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_flaviventris	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_platydactyla	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_odonnelli	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_mexicana	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_lignicolor	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_yucatana	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_mulleri	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_mombachoensis	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_striatula	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_macrinii	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_oaxacensis	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_zapoteca	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_hermosa	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_riletti	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_engelhardti	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_rostrata	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_cuchumatana	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_helmrichi	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_alvaradoi	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_dofleini	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_lincolni	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_franklini	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_decora	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_porrasorum	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_longissima	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_dunni	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_diaphora	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_conanti	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_carri	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_meliana	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_flavimembris	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_morio	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_heiroreias	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_synoria	0.001	0.001	1	0.001	0.001	0.001
Bolitoglossa_celaque	0.001	0.001	1	0.001	0.001	0.001
Palaeoplethodon_hispaniolae	?	?	1	?	?	?
Valdotriton_gracilis	?	?	?	1	?	?
Apricosiren_ensomi	?	?	?	1	?	?
Beiyanerpeton_jianpingensis	?	?	?	?	?	1
Qinglongtriton_gangouensis	?	?	?	?	?	1
Scapherpeton_tectum	?	1	?	?	?	?
Lisserpeton_bairdi	?	1	?	?	?	?
Piceoerpeton_naylori	?	1	?	?	?	?
Piceoerpeton_wilwoodense	?	1	?	?	?	?
Kokartus_honorarius	?	?	?	?	1	?
Karaurus_sharovi	?	?	?	?	1	?
Marmorerpeton_kermacki	?	?	?	1	?	?
Marmorerpeton_freemani	?	?	?	1	?	?
Urupia_monstrosa	?	?	?	?	1	?
Celtedens_ibericus	?	?	?	1	?	?
