treeN,data,pleth,clade,stem,crown,gcr_stem,gcr_crown,epsilon_stem,epsilon_crown,exN,rstem.stem,rcrown.crown,rstem_hi.stem,rcrown_hi.crown,rstem_lo.stem,rcrown_lo.crown
1,extant,1,Ambystomatidae,98.1119360000001,41.6437850000001,0.0569469224608019,0.0646091152185693,0.330019950823733,0.316975030278638,34,0.032006675875161,0.0657274174522386,0.0148668457902973,0.0337761427621235,0.0359422173120318,0.0680344820735245
1,extant,1,Amphiumidae,123.864917,13.5171640000001,0.0133015445948238,0.0119856351840928,0.504332196220284,0.549453195528476,3,0.00556094162794409,0.0248857131177088,0.00147193863452033,0.00871359078401229,0.00886943870206694,0.029996314915478
1,extant,1,Cryptobranchidae,164.500002,42.8569750000001,0.0100827164682116,0.00977818988982126,0.521531755197501,0.54113126776106,3,0.00408133876467499,0.00791380984238215,0.00110833771779501,0.00274828159608519,0.00667849407483964,0.00946088957767466
1,extant,1,Dicamptodontidae,98.1119360000001,6.1352170000001,0.0163335507137368,0.0214965180545838,0.574431559953095,0.636258137909936,4,0.00838561949149935,0.0828590856939935,0.00267413196766896,0.0330163045756859,0.0141297218018396,0.112978429379097
1,extant,1,Hemidactyliinae,92.1924880000001,88.2852440000001,0.0624800487789318,0.0624769900081072,0.0793973207234358,0.0794338717105773,355,0.0627994112298147,0.0585908445883417,0.0389898228437299,0.0401336044028453,0.0636941025984179,0.0586617918722121
1,extant,1,Hynobiidae,164.500002,69.5740310000001,0.0661861182378976,0.0736794017448987,0.172210652170926,0.155321618618691,65.0000033854168,0.0242467243821292,0.0497042148486314,0.0121670518031908,0.0280247852496308,0.025376214414751,0.0500364876288255
1,extant,1,Plethodontinae,92.1924880000001,62.7775240000001,0.0688999680355289,0.0689925010040114,0.0972555665605352,0.0981717872469456,96,0.0484112544857513,0.0615169665745861,0.0255050634620412,0.0366344421086374,0.049508894818717,0.0616653981273279
1,extant,1,Pleurodelinae,66.1009620000001,49.1347870000001,0.066456283436725,0.0664485858018564,0.141552373597168,0.141708678775093,98.0001100352113,0.0670795103588323,0.0788089936172143,0.0358579466639803,0.0471904862697338,0.0693631145864143,0.0792070477667537
1,extant,1,Proteidae,157.482435,108.31688,0.0126175967179838,0.0126442982702235,0.520444781083383,0.527328039240779,8,0.00934553560974478,0.0108570609957967,0.00336944403394683,0.00439232539469748,0.013204276030402,0.0127985071312974
1,extant,1,Rhyacotritonidae,133.030003,14.7538410000001,0.0129353085585945,0.0127889072802059,0.51297338978831,0.543814259439562,4,0.00676990294568498,0.0385991518979297,0.00197221873675738,0.0137294547982405,0.0104209150556803,0.0469807950729536
1,extant,1,Salamandrinae,66.1009620000001,54.2604070000001,0.0619557591037706,0.0618333570998597,0.174967356066419,0.176057838515309,19.0000164666809,0.0418028322902697,0.0410120788374113,0.015576475351096,0.018004689482879,0.0445445838720695,0.0414905230119917
1,extant,1,Salamandrininae,75.2617770000001,10.5831870000001,0.0301030775687467,0.0280608528793826,0.382180154606105,0.470196478016245,2,0.00639208224419652,0,0.00126638226738022,0,0.00920981683119101,0
1,extant,1,Sirenidae,199.590002,43.2990480000001,0.0101297306474857,0.00952443293303141,0.523505710936586,0.549880841206139,4,0.00444750946417112,0.0130716971801135,0.00131451606712991,0.00467821355125241,0.00694571044254957,0.0160083699891033
1,fossil,1,Ambystomatidae,116.421105,41.6437850000001,0.0203733335580309,0.0209436362047185,0.77668171568062,0.772621816334606,34,0.0182492216485249,0.0484609096590953,0.012528785246451,0.0337761427621235,0.0302897015503861,0.0680344820735245
1,fossil,1,Amphiumidae,90.668124,13.5171640000001,0.0149988011010108,0.0157858642580256,0.825646735815619,0.828950451227881,3,0.00329935144592696,0.0135020351310656,0.00201086720172962,0.00871359078401231,0.0121168525409008,0.029996314915478
1,fossil,1,Cryptobranchidae,50.033039,42.8569750000001,0.00970819284137578,0.0101837316638333,0.88915021449345,0.888279340067797,3,0.0040022150221277,0.00301978385270017,0.00364402323820375,0.0027482815960852,0.0219577365402112,0.00946088957767467
1,fossil,1,Dicamptodontidae,116.421105,6.13521700000007,0.0169884812323817,0.0181809079423229,0.809822378873169,0.80193472493442,4,0.00387743240543,0.0563172498655457,0.00225357991978766,0.033016304575686,0.0119075863531779,0.112978429379097
1,fossil,1,Hemidactyliinae,122.340553,88.2852440000001,0.061187396887943,0.0611889599742137,0.0401328123140649,0.0401457920961662,355,0.0476642868304045,0.0586437192988534,0.0293816619795947,0.0401336044028453,0.0479981301823559,0.0586617918722121
1,fossil,1,Hynobiidae,50.033039,69.5740310000001,0.0535325159111799,0.0539263793736082,0.44821782527729,0.444839007259916,65.0000033854168,0.0717966586643715,0.047016829662105,0.040003167626076,0.0280247852496308,0.0834326158356876,0.0500364876288255
1,fossil,1,Plethodontinae,122.340553,62.7775240000001,0.0760366044180589,0.07636224124394,0.0782704426023102,0.079045722446008,96,0.0366495722123353,0.0615693912370715,0.0192199168591585,0.0366344421086374,0.0373085463449543,0.0616653981273279
1,fossil,1,Pleurodelinae,148.432079,49.1347870000001,0.0306745588384922,0.0305853274761846,0.717458206357021,0.717927904700174,98.0001100352113,0.0225464805829093,0.0649698661441527,0.0159685479432906,0.0471904862697338,0.0308893376173638,0.0792070477667536
1,fossil,1,Proteidae,57.050606,108.31688,0.0144739992607736,0.0152361373210071,0.828305390232381,0.822692792512457,8,0.0138351464298488,0.00653528100797333,0.00930100989746139,0.00439232539469748,0.036449070176044,0.0127985071312974
