generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.0793727,0.001,0.0360529,0
500000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.00226365,-0.00491333,0.0303485,0
500000,Ranodon_sibiricus,Hynobius_retardatus,239.362,0.111046,-0.00331299,0.00132498,0
500000,Ambystoma_gracile,Ambystoma_opacum,229.19,0.142362,-0.00275258,0.057062,0
500000,Mertensiella_caucasica,Pleurodeles_waltl,202.122,0.11645,-0.00055131,0.0679246,0
500000,Plethodon_sherando,Plethodon_websteri,231.949,0.107013,0.00507104,0.0220624,0
500000,Eurycea_rathbuni,Eurycea_troglodytes,259.479,0.241914,-0.000363978,0.198986,0
500000,Bolitoglossa_gracilis,Bolitoglossa_gomezi,255.33,0.270717,-0.0037926,0.0609387,0
500000,Nyctanolis_pernix,Thorius_minutissimus,194.165,0.071846,-0.000129942,0.000258075,0
500000,Ensatina_eschscholtzii,Hemidactylium_scutatum,151.186,0.0489642,0.000421359,0.00644553,0
500000,Cryptobranchus_alleganiensis,Urupia_monstrosa,51.4682,0.0824562,-0.00256355,0.0579833,0
1000000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.0145673,0.00430995,0.0384108,0
1000000,Salamandrella_keyserlingii,Ranodon_sibiricus,230.671,0.0911368,-0.0024052,0.00923935,0
1000000,Ambystoma_maculatum,Ambystoma_macrodactylum,250.956,0.188836,-0.00280636,0.00926814,0
1000000,Pleurodeles_waltl,Notophthalmus_meridionalis,208.167,0.317826,-0.0128203,0.168768,0
1000000,Salamandrina_perspicillata,Mertensiella_caucasica,161.467,0.140626,-0.00500696,0.0723081,0
1000000,Necturus_lewisi,Necturus_punctatus,213.184,0.0537669,0.0085183,0.0235811,0
1000000,Plethodon_sherando,Plethodon_websteri,228.762,0.172429,-0.0106348,0.0269752,0
1000000,Eurycea_naufragia,Eurycea_rathbuni,250.247,0.187005,-0.00178546,0.0649914,0
1000000,Parvimolge_townsendi,Bolitoglossa_cerroensis,208.821,0.104019,-0.00253289,0.0069492,0
1000000,Ensatina_eschscholtzii,Hemidactylium_scutatum,172.171,0.0742954,-0.00255181,0.00412697,0
1000000,Cryptobranchus_alleganiensis,Urupia_monstrosa,40.1951,0.106593,-0.00401344,0.067927,0
1500000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.0111171,0.00430019,0.0116088,0
1500000,Salamandrella_keyserlingii,Ranodon_sibiricus,213.499,0.0929815,0.00466447,0.0415211,0
1500000,Onychodactylus_japonicus,Salamandrella_keyserlingii,121.69,0.0288707,0.00157632,0.0368995,0
1500000,Ambystoma_gracile,Ambystoma_opacum,238.702,0.119894,-0.00103971,0.00266724,0
1500000,Salamandra_infraimmaculata,Lyciasalamandra_atifi,230.97,0.0833484,0.00221673,0.0752622,0
1500000,Pleurodeles_waltl,Notophthalmus_meridionalis,215.483,0.170037,-0.00427821,0.0810275,0
1500000,Plethodon_sherando,Plethodon_websteri,239.484,0.12721,-0.00667851,0.0173123,0
1500000,Eurycea_naufragia,Eurycea_rathbuni,247.673,0.225359,0.00323096,0.04934,0
1500000,Nototriton_barbouri,Nototriton_lignicola,231.58,0.181071,-0.00423278,0.0364468,0
1500000,Parvimolge_townsendi,Bolitoglossa_cerroensis,214.038,0.10544,-0.00711362,0.00251925,0
1500000,Ensatina_eschscholtzii,Hemidactylium_scutatum,152.072,0.0649973,-0.000689022,0.0139907,0
1500000,Cryptobranchus_alleganiensis,Urupia_monstrosa,39.7691,0.120853,-0.00373076,0.0712503,0
2000000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.009403,-6.87734e-05,0.0293271,0
2000000,Salamandrella_keyserlingii,Ranodon_sibiricus,211.79,0.103343,-0.00219378,0.00125231,0
2000000,Cryptobranchus_alleganiensis,Opithisthotriton_kayi,61.1637,0.0890707,-0.00126702,0.0863314,0
2000000,Ambystoma_talpoideum,Ambystoma_gracile,210.288,0.116596,0.00263456,0.0547558,0
2000000,Salamandrina_perspicillata,Mertensiella_caucasica,105.092,0.00192364,0.0101474,0.0942852,0
2000000,Salamandrina_perspicillata,Mertensiella_caucasica,136.604,0.0984093,0.00369187,0.0913858,0
2000000,Proteus_anguinus,Necturus_lewisi,122.17,0.0995159,0.00275002,0.09806,0
2000000,Plethodon_yonahlossee,Plethodon_petraeus,250.007,0.176698,0.000341733,0.0257672,0
2000000,Eurycea_naufragia,Eurycea_rathbuni,249.763,0.282665,-0.000419244,0.0581315,0
2000000,Ensatina_eschscholtzii,Hemidactylium_scutatum,146.974,0.054924,0.000606053,0.000376973,0
2000000,Cryptobranchus_alleganiensis,Urupia_monstrosa,49.935,0.111518,-0.0034981,0.0743939,0
2500000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.00602347,0.00237341,0.0181267,0
2500000,Salamandrella_keyserlingii,Ranodon_sibiricus,212.398,0.141567,-0.00451237,0.00169173,0
2500000,Ambystoma_gracile,Ambystoma_opacum,241.748,0.106973,0.00319824,0.0124216,0
2500000,Mertensiella_caucasica,Phosphotriton_sigei,196.463,0.149325,-0.00171343,0.100291,0
2500000,Necturus_lewisi,Necturus_punctatus,186.649,0.0596774,0.00217637,0.0144965,0
2500000,Plethodon_caddoensis,Plethodon_jordani,256.974,0.24926,-0.00254667,0.0527086,0
2500000,Thorius_minutissimus,Chiropterotriton_dimidiatus,196.558,0.0793292,-0.0018436,0.00435529,0
2500000,Ensatina_eschscholtzii,Hemidactylium_scutatum,148.69,0.0591859,0.00135437,0.00927973,0
2500000,Cryptobranchus_alleganiensis,Urupia_monstrosa,50.1818,0.115572,-0.00462025,0.074109,0
3000000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.129052,-0.00410862,0.0644258,0
3000000,Salamandrella_keyserlingii,Ranodon_sibiricus,218.098,0.119557,-0.00524796,0.00733537,0
