generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-7.32559,-777.604,200,0
1000000,64,391.407,69.6914,58.7391,0.24
2000000,30,169.589,42.6861,20.2228,0.231
3000000,40,229.268,40.1049,43.549,0.2425
4000000,38,219.309,20.9202,36.547,0.25
5000000,68,412.282,16.7689,70.7727,0.242
6000000,40,249.836,0.554732,33.3132,0.263
7000000,32,190.938,-24.3155,25.3259,0.260667
8000000,40,237.8,24.5168,43.822,0.249
9000000,18,105.663,-9.99044,16.8811,0.2702
10000000,57,343.349,49.5312,59.9237,0.235
11000000,49,303.218,36.9015,67.3192,0.266
12000000,31,173.499,30.9121,29.6024,0.2375
13000000,71,440.011,68.5326,76.0571,0.226
14000000,52,316.625,11.1143,46.8544,0.2575
15000000,32,178.626,44.2755,29.5243,0.218
16000000,60,346.953,48.5088,60.275,0.2495
17000000,40,231.592,42.4774,44.3736,0.244
18000000,36,211.119,44.0764,26.0647,0.223
19000000,20,116.845,-5.35843,22.2368,0.240333
20000000,36,222.8,58.6535,24.4319,0.2325
21000000,22,138.78,-25.4886,21.8102,0.244
22000000,49,280.862,50.2504,45.3236,0.2445
23000000,64,384.003,39.8206,65.6225,0.247
24000000,50,296.259,30.0382,48.5433,0.258
25000000,25,144.086,-1.91336,28.8631,0.2425
26000000,69,407.067,-4.90691,69.4882,0.258
27000000,56,328.458,14.2574,50.4945,0.243
28000000,35,216.302,25.3829,37.6058,0.245
29000000,37,203.265,16.8773,29.0119,0.2355
30000000,48,276.518,15.8908,38.9771,0.2445
31000000,40,236.964,38.5351,43.3545,0.2325
32000000,18,108.446,-24.4495,30.0358,0.246667
33000000,51,310.543,23.7615,51.1226,0.257
34000000,30,178.523,14.0225,29.0236,0.241
35000000,50,307.533,7.81052,62.0461,0.257
36000000,27,156.86,16.4327,22.1237,0.234
37000000,52,313.059,12.126,44.9723,0.259
38000000,58,346.248,33.7794,63.522,0.249
39000000,64,383.082,55.4092,61.7624,0.251
40000000,42,241.11,42.2576,36.2811,0.2325
41000000,44,277.922,28.03,37.7395,0.238
42000000,48,295.233,-15.102,66.3983,0.261
43000000,36,213.89,62.1448,29.4926,0.224
44000000,37,224.41,33.6879,33.9952,0.237
45000000,41,246.644,25.7142,47.5913,0.229
46000000,27,154.195,12.5557,17.7073,0.2485
47000000,69,414.33,46.0778,63.1227,0.255
48000000,43,265.282,31.4277,59.6791,0.2565
49000000,46,282.587,9.5376,49.2744,0.2245
50000000,23,134.292,4.05882,31.1528,0.2635
51000000,33,197.49,50.9576,39.9473,0.2365
52000000,56,331.045,51.4953,54.089,0.241
53000000,22,138.203,-4.58719,31.1455,0.233
54000000,64,396.816,41.3291,49.4591,0.221
55000000,34,204.585,3.25302,33.8844,0.247
56000000,43,257.184,21.6276,35.184,0.2585
57000000,44,259.844,16.9919,51.3295,0.239
58000000,28,169.029,58.362,19.5713,0.191
59000000,32,196.948,61.5013,31.9546,0.236
60000000,57,349.794,23.9555,52.9062,0.233
61000000,54,328.177,41.939,46.6707,0.253
62000000,45,269.592,37.4851,42.902,0.229
63000000,38,230.766,48.4585,41.3666,0.2375
64000000,39,241.104,4.52482,41.5941,0.2555
65000000,45,264.968,-2.21528,47.1799,0.256
66000000,45,262.196,4.7857,43.7712,0.252
67000000,51,304.33,50.0963,58.0259,0.2425
68000000,44,266.665,47.4763,49.0505,0.21
69000000,47,277.322,11.9886,47.0313,0.241
70000000,58,343.085,27.8231,60.7028,0.262
71000000,63,398.07,33.1422,52.7923,0.271
72000000,43,262.622,8.92171,34.3886,0.252
73000000,40,240.825,64.4697,34.4035,0.234
74000000,40,236.572,-1.9827,48.1755,0.234
75000000,45,272.828,55.6625,51.4511,0.254333
76000000,46,281.764,51.1551,47.6903,0.236
77000000,27,170.419,15.9632,22.1441,0.262
78000000,33,196.444,39.3491,41.6512,0.237
79000000,29,170.874,9.52402,23.7652,0.234
80000000,33,204.846,51.9173,30.6738,0.2245
81000000,44,274.952,16.7882,46.3227,0.251
82000000,32,190.617,-25.8385,32.4363,0.258
83000000,50,296.422,22.6314,61.4172,0.233
84000000,30,183.682,6.53783,32.2395,0.2585
85000000,38,225.751,50.7484,34.039,0.237
86000000,71,429.643,44.1251,76.1336,0.214
87000000,35,208.246,36.8135,35.6096,0.2435
88000000,38,227.341,-7.78221,43.4801,0.2375
89000000,38,230.992,44.5839,44.9571,0.243
90000000,51,302.921,12.0407,57.0061,0.263
91000000,45,263.788,14.0173,43.8264,0.257
92000000,53,307.996,28.3081,61.0183,0.2355
93000000,49,283.25,10.3431,42.6734,0.2625
94000000,30,184.276,-0.814611,27.0359,0.267
95000000,50,312.146,51.8189,50.7581,0.2565
96000000,27,157.473,-1.66944,22.8947,0.243333
97000000,25,147.454,-20.0372,26.3022,0.2615
98000000,84,501.075,71.1196,67.9126,0.239
99000000,27,169.276,50.5056,29.6516,0.2415
100000000,42,261.013,27.5624,33.3556,0.235
101000000,29,166.215,22.3308,28.8307,0.246333
102000000,24,142.647,44.8824,22.1682,0.25
103000000,39,230.504,1.5023,34.2735,0.2485
104000000,37,227.097,-5.20486,48.1386,0.256
105000000,47,270.778,36.3582,43.6993,0.249
106000000,35,208.201,49.2579,29.2827,0.255
107000000,57,339.745,30.9864,55.1523,0.25
108000000,36,217.781,40.182,35.8888,0.2335
109000000,28,164.779,18.1373,31.3932,0.2425
110000000,29,182.119,2.63661,34.3155,0.2458
111000000,57,344.879,-28.0674,66.0904,0.257
