generation,leftchild,rightchild,abstime,betainit,betashift
0,Andrias_scheuchzeri,Celtedens_ibericus,0,0.5,0
1000000,Andrias_scheuchzeri,Celtedens_ibericus,0,0.0144604,-0.00282595
1000000,Andrias_scheuchzeri,NA,242.024,0.225822,-0.00133671
1000000,Regalerpeton_weichangensis,NA,148.419,0.0565748,-0.00239775
1000000,Hynobius_nigrescens,NA,266.337,0.0129284,-0.00049501
1000000,Onychodactylus_japonicus,Salamandrella_keyserlingii,186.424,0.0854065,-0.00112253
1000000,Opithisthotriton_kayi,NA,199.144,0.00927694,0.00214505
1000000,Andrias_scheuchzeri,Opithisthotriton_kayi,61.612,0.00767736,0.00360803
1000000,Pseudobranchus_striatus,NA,248.771,0.0345264,-0.000565142
1000000,Siren_lacertina,NA,246.617,0.00735809,0.00144435
1000000,Pseudobranchus_striatus,Paleoamphiuma_tetradactylum,86.88,0.0122002,-0.00406003
1000000,Pseudobranchus_striatus,Paleoamphiuma_tetradactylum,113.055,0.0518181,-0.00152174
1000000,Pseudobranchus_striatus,Paleoamphiuma_tetradactylum,158.28,0.00229882,0.000203252
1000000,Ambystoma_cingulatum,NA,260.352,0.0568539,-0.000397934
1000000,Ambystoma_texanum,Ambystoma_barbouri,261.571,0.0468844,0.0106969
1000000,Ambystoma_dumerilii,NA,267.013,0.129039,0.00513827
1000000,Salamandrina_terdigitata,NA,231.311,0.00845899,0.000668075
1000000,Archaeotriton_basalticus,NA,239.097,0.0124671,0.00430034
1000000,Mertensiella_caucasica,NA,258.084,0.13755,0.000730396
1000000,Salamandra_salamandra,Salamandra_atra,215.377,0.0168693,-0.000793895
1000000,Salamandra_salamandra,Salamandra_atra,242.713,0.0162229,-6.72425e-05
1000000,Echinotriton_andersoni,Brachycormus_noachicus,238.843,0.0585626,0.0120627
1000000,Notophthalmus_perstriatus,NA,265.793,0.0634514,-0.00188233
1000000,Taricha_rivularis,Taricha_granulosa,255.807,0.00544921,0.0027361
1000000,Notophthalmus_meridionalis,Taricha_rivularis,224.847,0.0458276,0.00288573
1000000,Pachytriton_labiatus,Pachytriton_brevipes,255.959,0.0200455,0.00209425
1000000,Neurergus_kaiseri,Neurergus_crocatus,253.852,0.098909,-0.00682259
1000000,Triturus_cristatus,NA,262.484,0.117221,0.0044208
1000000,Salamandrina_terdigitata,Mertensiella_caucasica,126.313,0.00576534,-0.00527258
1000000,Dicamptodon_ensatus,Salamandrina_terdigitata,92.2115,0.0214939,-0.00105822
1000000,Amphiuma_tridactylum,Amphiuma_means,211.784,0.00692039,-0.00472457
1000000,Karsenia_koreana,NA,223.429,0.294749,0.00319516
1000000,Aneides_aeneus,NA,248.412,0.0268083,0.00697731
1000000,Aneides_aeneus,Aneides_hardii,222.227,0.00130607,-0.000878302
1000000,Amphiuma_tridactylum,Amphiuma_means,187.137,0.109682,-0.00411725
1000000,Desmognathus_apalachicolae,NA,264.031,0.0141328,0.00019339
1000000,Desmognathus_brimleyorum,NA,266.37,0.133548,0.0015755
1000000,Plethodon_petraeus,NA,256.763,0.120549,-0.0091716
1000000,Gyrinophilus_porphyriticus,Gyrinophilus_palleucus,244.813,0.0635631,-0.000822957
1000000,Desmognathus_aeneus,NA,255.778,0.0583249,-0.00359799
1000000,Plethodon_dunni,NA,261.176,0.118279,-0.00437049
1000000,Hemidactylium_scutatum,NA,251.049,0.00414665,-0.000399169
1000000,Hemidactylium_scutatum,NA,255.821,0.0368281,0.00391407
1000000,Hemidactylium_scutatum,NA,257.008,0.00925508,-0.00690635
1000000,Stereochilus_marginatus,Pseudotriton_montanus,217.634,0.0274597,-0.00160357
1000000,Eurycea_rathbuni,Eurycea_nana,258.849,0.0708487,-0.00864273
1000000,Batrachoseps_major,NA,254.502,0.0564308,-0.000824118
1000000,Oedipina_complex,Oedipina_pseudouniformis,233.124,0.00117515,0.00113465
1000000,Oedipina_gracilis,Oedipina_uniformis,260.1,0.164229,0.00124657
1000000,Chiropterotriton_lavae,NA,268.183,0.0105074,-0.00737179
1000000,Chiropterotriton_lavae,Chiropterotriton_orculus,244.663,0.000410315,0.000872698
1000000,Chiropterotriton_multidentatus,Chiropterotriton_cracens,259.594,0.0182006,-0.00306152
1000000,Chiropterotriton_chondrostega,NA,240.403,0.0172902,0.00688896
1000000,Pseudobranchus_striatus,Siren_lacertina,220.721,0.00643379,-0.00474385
1000000,Chiropterotriton_priscus,NA,256.978,0.0221411,-0.000835274
1000000,Pseudoeurycea_bellii,NA,243.346,0.0452118,0.00141978
1000000,Pseudoeurycea_unguidentis,NA,262.257,0.000328527,0.00163324
1000000,Pseudoeurycea_leprosa,NA,267.413,0.0037997,-0.00219085
1000000,Bolitoglossa_adspersa,NA,252.154,0.00135687,0.00684099
1000000,Pseudoeurycea_rex,NA,263.853,0.0699541,0.000588148
1000000,Bolitoglossa_subpalmata,NA,267.994,0.0537783,0.00160189
1000000,Bolitoglossa_decora,NA,257.8,0.0352355,0.00091268
1000000,Palaeoplethodon_hispaniolae,NA,247.371,0.0344528,0.0022644
1000000,Ensatina_eschscholtzii,Hemidactylium_scutatum,169.428,0.00204729,0.00209348
1000000,Valdotriton_gracilis,NA,141.913,0.0597356,-0.00449839
1000000,Andrias_scheuchzeri,Karaurus_sharovi,43.8158,0.0100116,-0.000983526
2000000,Andrias_scheuchzeri,Celtedens_ibericus,0,0.0891075,0.00269887
2000000,Chunerpeton_tianyiensis,NA,106.567,0.0414573,0.00495252
2000000,Siren_lacertina,NA,230.272,0.0603689,0.00333484
2000000,Salamandra_salamandra,Salamandra_atra,237.406,0.0096428,-0.000498375
2000000,Neurergus_kaiseri,Neurergus_crocatus,251.18,0.0918878,-0.000254168
2000000,Pleurodeles_waltl,Notophthalmus_meridionalis,204.14,0.0356192,-0.00478917
2000000,Andrias_scheuchzeri,NA,224.247,0.110375,-0.00327162
2000000,Onychodactylus_japonicus,Salamandrella_keyserlingii,121.115,0.0354716,0.004669
2000000,Pseudobranchus_striatus,Paleoamphiuma_tetradactylum,156.568,0.0103754,-0.00497352
2000000,Ambystoma_californiense,Ambystoma_tigrinum,257.025,0.0266123,-0.00182665
2000000,Chelotriton_paradoxus,NA,243.893,0.118333,-0.00155783
2000000,Ichthyosaura_randeckensis,Cynops_pyrrhogaster,233.598,0.00487391,0.00541977
2000000,Amphiuma_tridactylum,Amphiuma_means,192.455,0.137576,0.00795887
2000000,Hydromantes_italicus,NA,256.171,0.0372241,0.000556803
2000000,Karsenia_koreana,NA,242.245,0.0820496,-0.00184922
2000000,Desmognathus_wrighti,NA,264.075,0.226024,-0.00421666
2000000,Desmognathus_aeneus,NA,262.735,0.0717706,-0.00121924
2000000,Desmognathus_brimleyorum,NA,262.913,0.100152,0.00598569
2000000,Plethodon_petraeus,NA,259.916,0.204095,0.0073991
2000000,Eurycea_spelaea,Eurycea_lucifuga,219.61,0.029844,0.00278374
2000000,Rhyacotriton_olympicus,NA,258.751,0.00330475,0.0125391
2000000,Oedipina_poelzi,Oedipina_gracilis,251.178,0.00357959,-0.00468309
2000000,Chiropterotriton_arboreus,NA,244.953,0.0139182,-0.000779955
2000000,Chiropterotriton_priscus,NA,249.808,0.0671854,0.00664254
2000000,Pseudoeurycea_galeanae,NA,258.975,0.00339386,-0.000868519
2000000,Pseudoeurycea_bellii,NA,262.647,0.112984,-0.00537948
2000000,Pseudoeurycea_rex,NA,264.878,0.064791,0.00557584
2000000,Pseudoeurycea_cochranae,NA,265.513,0.0246183,-0.0102314
2000000,Rhyacotriton_olympicus,Amphiuma_tridactylum,134.92,0.00146376,0.00470955
2000000,Andrias_scheuchzeri,Karaurus_sharovi,21.8119,0.00641622,0.000223929
2000000,Celtedens_ibericus,NA,72.9887,0.029635,-0.00697546
3000000,Andrias_scheuchzeri,Celtedens_ibericus,0,0.00790276,-0.00060156
3000000,Andrias_scheuchzeri,NA,113.062,0.0519593,0.000899589
3000000,Andrias_scheuchzeri,NA,128.409,0.28687,-0.00141935
3000000,Andrias_scheuchzeri,NA,163.312,0.0564022,0.000192428
3000000,Andrias_scheuchzeri,NA,190.356,0.168263,-0.00345381
3000000,Onychodactylus_japonicus,NA,262.964,0.0611038,-0.001783
3000000,Ranodon_sibiricus,Batrachuperus_pinchonii,242.163,0.133335,0.00153242
3000000,Hynobius_boulengeri,Hynobius_lichenatus,245.343,0.0282985,0.00684789
3000000,Pseudobranchus_striatus,Siren_lacertina,219.918,0.0108991,0.000716481
3000000,Dicamptodon_ensatus,Dicamptodon_copei,187.259,0.0467219,-0.00267131
3000000,Ambystoma_laterale,NA,261.523,0.0629546,-0.00225864
3000000,Ambystoma_tigrinum,Ambystoma_ordinarium,259.723,0.035259,-0.00373565
3000000,Thorius_troglodytes,NA,216.19,0.0175864,-0.00273511
3000000,Ambystoma_californiense,Ambystoma_tigrinum,257.972,0.0497297,-0.00130462
3000000,Chioglossa_lusitanica,NA,251.563,0.0668009,0.000856586
3000000,Echinotriton_andersoni,Tylototriton_shanjing,248.282,0.0304678,0.0038238
3000000,Pleurodeles_waltl,Echinotriton_andersoni,236.634,0.0163134,-0.00778953
3000000,Mertensiella_caucasica,Pleurodeles_waltl,199.926,0.0138395,0.00227912
3000000,Pleurodeles_waltl,Echinotriton_andersoni,237.599,0.0144169,-0.00688181
3000000,Cynops_pyrrhogaster,Pachytriton_labiatus,239.53,0.0148524,0.00264315
3000000,Neurergus_kaiseri,Neurergus_crocatus,249.649,0.184067,0.000107488
3000000,Salamandrina_terdigitata,Mertensiella_caucasica,166.132,0.00975858,-0.00291867
3000000,Salamandrina_terdigitata,Mertensiella_caucasica,187.631,0.0223035,-0.00267434
3000000,Amphiuma_tridactylum,Amphiuma_means,145.649,0.0414338,0.00209363
3000000,Amphiuma_tridactylum,Amphiuma_means,190.337,0.0195665,-0.00729204
3000000,Karsenia_koreana,NA,262.636,0.411831,-0.00535275
3000000,Desmognathus_aeneus,NA,259.131,0.265298,0.00192974
3000000,Desmognathus_auriculatus,NA,263.843,0.0561881,0.00289523
3000000,Desmognathus_brimleyorum,NA,260.083,0.0242435,0.000742024
3000000,Plethodon_neomexicanus,NA,259.898,0.00171683,-0.00789512
3000000,Plethodon_elongatus,NA,262.307,0.20646,-0.00497934
3000000,Eurycea_rathbuni,Eurycea_nana,249.652,0.0846536,0.000879339
3000000,Chiropterotriton_magnipes,Chiropterotriton_priscus,241.216,0.00998117,0.00252854
3000000,Desmognathus_brimleyorum,NA,266.921,0.000917262,0.00207678
3000000,Plethodon_neomexicanus,NA,255.66,0.0832467,-0.00432215
3000000,Plethodon_petraeus,NA,261.04,0.182151,0.00512544
3000000,Chiropterotriton_dimidiatus,NA,259.882,0.0786003,-0.000607666
3000000,Pseudoeurycea_rex,NA,267.291,0.0839039,0.00673716
3000000,Ensatina_eschscholtzii,Hemidactylium_scutatum,172.865,0.00210478,0.00725678
3000000,Amphiuma_tridactylum,Ensatina_eschscholtzii,135.975,0.0157297,-0.000963323
3000000,Valdotriton_gracilis,NA,145.953,0.0502307,-0.000504244
