generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-7.3249,-nan,200,0
1000000,0,-6.33638,-nan,2.29689,0.021
2000000,0,-6.33135,-nan,1.2905,0.021
3000000,0,-6.3275,-nan,0.521603,0.015
4000000,0,-6.32696,-nan,0.413464,0.021
5000000,0,-6.32925,-nan,0.869984,0.023
6000000,0,-6.32519,-nan,0.0588975,0.0205
7000000,0,-6.32763,-nan,0.546336,0.023
8000000,0,-6.32957,-nan,0.933803,0.02
9000000,0,-6.32782,-nan,0.585288,0.0205
10000000,0,-6.32927,-nan,0.873828,0.021
11000000,0,-6.32778,-nan,0.576273,0.026
12000000,0,-6.3313,-nan,1.28143,0.0255
13000000,0,-6.33124,-nan,1.269,0.0155
14000000,0,-6.3347,-nan,1.96046,0.032
15000000,0,-6.32518,-nan,0.05653,0.026
16000000,0,-6.3259,-nan,0.201693,0.0215
17000000,0,-6.32816,-nan,0.652187,0.0225
18000000,0,-6.33872,-nan,2.76557,0.021
19000000,0,-6.33303,-nan,1.62746,0.019
20000000,0,-6.33171,-nan,1.36264,0.0095
21000000,0,-6.32521,-nan,0.0629668,0.0225
22000000,0,-6.33246,-nan,1.51229,0.0155
23000000,0,-6.32802,-nan,0.624282,0.0225
24000000,0,-6.34089,-nan,3.19818,0.029
25000000,0,-6.3313,-nan,1.27993,0.0305
26000000,0,-6.33353,-nan,1.7268,0.0245
27000000,0,-6.33181,-nan,1.3833,0.025
28000000,0,-6.33061,-nan,1.14286,0.0245
29000000,0,-6.32524,-nan,0.069319,0.0215
30000000,0,-6.32667,-nan,0.355362,0.021
31000000,0,-6.34096,-nan,3.2119,0.0195
32000000,0,-6.32822,-nan,0.663999,0.027
33000000,0,-6.32849,-nan,0.718373,0.0235
34000000,0,-6.33352,-nan,1.72522,0.025
35000000,0,-6.32792,-nan,0.604111,0.019
36000000,0,-6.32561,-nan,0.142614,0.0235
37000000,0,-6.33302,-nan,1.62388,0.0225
38000000,0,-6.32929,-nan,0.879113,0.0215
39000000,0,-6.32716,-nan,0.45178,0.019
40000000,0,-6.33612,-nan,2.24497,0.024
41000000,0,-6.32516,-nan,0.0533099,0.02
42000000,0,-6.32713,-nan,0.445775,0.017
43000000,0,-6.32742,-nan,0.504035,0.0185
44000000,0,-6.33476,-nan,1.97271,0.019
45000000,0,-6.33029,-nan,1.07919,0.02
46000000,0,-6.32523,-nan,0.0658232,0.024
47000000,0,-6.32696,-nan,0.41243,0.0205
48000000,0,-6.32649,-nan,0.319495,0.0265
49000000,0,-6.32606,-nan,0.232495,0.026
50000000,0,-6.32894,-nan,0.808243,0.026
51000000,0,-6.32858,-nan,0.736228,0.018
52000000,0,-6.32662,-nan,0.343928,0.02
53000000,0,-6.33073,-nan,1.1667,0.02
54000000,0,-6.33072,-nan,1.16438,0.0195
55000000,0,-6.33763,-nan,2.54725,0.019
56000000,0,-6.32879,-nan,0.778691,0.0245
57000000,0,-6.32521,-nan,0.0620916,0.0245
58000000,0,-6.33112,-nan,1.24425,0.0235
