generation,leftchild,rightchild,abstime,betainit,betashift
0,Andrias_scheuchzeri,Celtedens_ibericus,0,0.5,0
1000000,Andrias_scheuchzeri,Celtedens_ibericus,0,0.00999212,0.00279743
1000000,Onychodactylus_japonicus,NA,233.695,0.13648,0.00507425
1000000,Salamandrella_keyserlingii,Ranodon_sibiricus,231.181,0.0609156,-0.000649548
1000000,Iridotriton_hechti,NA,117.836,0.10409,0.00117843
1000000,Pseudobranchus_striatus,NA,251.746,0.0525444,-8.70746e-05
1000000,Ambystoma_laterale,NA,257.708,0.0647422,-0.00340231
1000000,Salamandrina_terdigitata,NA,228.021,0.0147324,0.00143451
1000000,Salamandrina_terdigitata,NA,239.25,0.0283783,0.00568651
1000000,Mertensiella_caucasica,NA,227.978,0.00783584,0.000439463
1000000,Chioglossa_lusitanica,NA,261.964,0.0567869,-0.00392999
1000000,Notophthalmus_meridionalis,Taricha_rivularis,226.224,0.097098,-0.00370101
1000000,Neurergus_kaiseri,Neurergus_crocatus,245.524,0.05613,-0.000714392
1000000,Mertensiella_caucasica,Pleurodeles_waltl,194.663,0.00729417,-0.00423145
1000000,Karsenia_koreana,NA,253.954,0.103178,-0.00621324
1000000,Aneides_aeneus,NA,256.844,0.215889,0.00563661
1000000,Aneides_hardii,NA,243.511,0.037166,0.00393791
1000000,Desmognathus_wrighti,Desmognathus_quadramaculatus,231.094,0.0266188,-0.00279132
1000000,Plethodon_petraeus,NA,256.54,0.125747,-0.00749574
1000000,Eurycea_rathbuni,Eurycea_nana,252.157,0.31417,-0.00975818
1000000,Batrachoseps_wrighti,NA,263.801,0.0515854,-0.00140221
1000000,Desmognathus_auriculatus,NA,257.994,0.0241851,0.00227652
1000000,Nototriton_richardi,Nototriton_picadoi,233.879,0.0350561,-0.000189206
1000000,Siren_lacertina,NA,240.927,0.0139664,-0.00761621
1000000,Chiropterotriton_lavae,NA,256.215,0.0567058,-0.00107261
1000000,Chiropterotriton_lavae,NA,248.491,0.0328683,0.0112539
1000000,Chiropterotriton_orculus,NA,263.864,0.00902299,-0.00346449
1000000,Chiropterotriton_orculus,NA,264.143,0.0382223,-0.002925
