generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-7.47376,-46076.1,200,0
1000000,28,161.433,-11.3266,26.9807,0.275
2000000,54,308.656,13.3646,50.7592,0.25025
3000000,28,161.245,35.8749,24.9134,0.234
4000000,57,341.333,41.2863,56.0981,0.24
5000000,45,272.111,86.505,48.3587,0.224
6000000,58,342.257,39.2709,49.2185,0.246
7000000,60,352.839,54.9617,64.942,0.247
8000000,28,161.418,19.8519,29.3357,0.227333
9000000,42,253.748,44.178,55.2241,0.24
10000000,53,316.299,29.7617,61.2874,0.249
11000000,52,322.37,39.0954,67.3457,0.2445
12000000,28,158.708,20.3776,30.7777,0.2485
13000000,54,319.997,56.7783,67.5337,0.2565
14000000,19,112.762,54.1905,15.6045,0.236222
15000000,47,296.16,32.9156,42.2569,0.2245
16000000,53,317.133,39.8299,43.5397,0.265
17000000,43,259.915,54.8832,53.6186,0.2175
18000000,52,314.625,37.7367,66.1418,0.242
19000000,33,191.428,8.84144,34.0676,0.246
20000000,41,248.974,29.0706,43.6284,0.231
21000000,41,256.508,-18.0061,49.317,0.28
22000000,35,196.148,-6.62499,33.3705,0.242
23000000,26,154.134,54.0338,23.0332,0.2575
24000000,43,270.325,24.6294,60.1647,0.249
25000000,48,292.023,38.8888,48.9533,0.258
26000000,36,223.774,45.0308,35.6375,0.248
27000000,64,382.689,52.9763,81.9658,0.236
28000000,43,265.229,6.09507,43.0679,0.267667
29000000,63,380.303,64.0351,74.5216,0.2435
30000000,70,429.728,69.7518,64.9383,0.2395
31000000,56,333.808,36.6071,61.4036,0.236
32000000,39,231.707,32.5744,40.0742,0.243
33000000,51,309.451,76.4998,52.7737,0.241
34000000,64,379.044,28.9161,63.5111,0.261
35000000,31,171.052,25.9174,28.7543,0.267
36000000,64,362.906,63.3506,59.2926,0.232
37000000,26,157.252,71.1965,19.3351,0.23
38000000,25,141.52,76.7703,27.8376,0.225
39000000,40,237.663,37.5198,35.7319,0.2505
40000000,46,267.553,70.4729,47.0668,0.2195
41000000,74,434.42,41.87,74.4497,0.245
42000000,75,430.995,37.915,73.2832,0.227
43000000,56,343.514,55.5242,65.6048,0.247
44000000,45,280.24,31.3023,45.804,0.278
45000000,23,140.261,17.2292,25.7151,0.257667
46000000,64,385.092,41.7456,58.4012,0.247
47000000,51,302.123,24.0631,52.4246,0.269
48000000,18,111.555,19.2034,13.9023,0.254
49000000,22,136.537,16.3559,21.817,0.2435
50000000,32,195.626,32.7081,27.961,0.2515
51000000,19,113.169,-6.85195,17.2888,0.254
52000000,45,263.741,-23.804,50.6782,0.262667
53000000,45,263.717,53.6034,43.5294,0.243
54000000,41,246.518,29.5113,44.4746,0.258
55000000,45,270.448,5.75847,40.8324,0.247333
56000000,58,355.465,18.8464,51.6778,0.281
57000000,29,171.198,22.2761,36.0005,0.253
58000000,35,217.51,29.2084,37.0908,0.245
59000000,45,272.045,31.3117,47.3565,0.234
60000000,44,269.266,50.614,47.9965,0.257
61000000,46,278.102,54.0285,46.3741,0.241
62000000,27,166.49,26.6259,25.8801,0.255
63000000,52,306.764,38.8456,58.1144,0.2405
64000000,39,235.876,2.84606,39.6057,0.252182
65000000,44,230.538,16.5107,66.6775,0.297
66000000,48,289.066,13.1315,46.196,0.261
67000000,38,216.752,34.1509,56.1963,0.251
68000000,57,362.079,35.5898,63.3703,0.2145
69000000,31,185.033,36.4708,30.6256,0.2415
70000000,45,273.841,40.4467,57.455,0.238
71000000,60,357.438,19.5431,59.8792,0.241
72000000,39,243.557,23.9987,37.616,0.246
73000000,61,353.747,41.6092,62.5597,0.243
74000000,41,232.096,76.4192,35.2368,0.23
75000000,40,241.706,31.3731,41.556,0.2565
76000000,47,282.463,28.0807,59.0607,0.25
77000000,48,289.141,28.9118,50.2322,0.245
78000000,50,293.017,54.7017,53.4094,0.2345
79000000,39,240.853,64.9993,40.7534,0.241
80000000,54,324.191,20.805,56.1153,0.242
81000000,57,334.638,37.0356,62.7598,0.2455
82000000,41,248.729,38.3482,37.3546,0.256
