generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,-7.33309,-773.707,200,0
1000000,51,319.993,59.3531,53.4193,0.241
2000000,42,244.85,38.3108,32.0887,0.229
3000000,49,281.74,10.6452,52.4934,0.242333
4000000,54,319.063,53.6156,55.3246,0.247
5000000,43,265.83,13.0487,34.3241,0.229
6000000,36,213.267,28.7028,32.0627,0.256
7000000,47,281.679,21.8037,36.6613,0.245
8000000,45,258.327,10.6254,50.3558,0.248
9000000,16,92.1548,-0.632218,15.7002,0.257
10000000,41,250.317,53.7639,35.8346,0.241
11000000,45,256.935,54.0004,59.0905,0.263
12000000,33,192.037,9.61034,33.0762,0.2435
13000000,49,290.086,42.3055,54.9586,0.2305
14000000,17,102.144,11.8847,12.9466,0.2485
15000000,51,317.539,56.7373,53.0032,0.254
16000000,42,229.6,-3.06136,45.0583,0.268
17000000,70,416.753,60.5071,75.3852,0.234
18000000,52,310.924,19.6628,59.7088,0.235
19000000,41,255.661,3.63387,56.6641,0.244
20000000,16,100.397,15.2436,16.6848,0.233
21000000,20,126.904,12.0916,22.558,0.2285
22000000,36,211.66,36.1381,39.0806,0.2215
23000000,33,191.787,20.7017,31.3425,0.247667
24000000,57,343.663,36.9021,58.2537,0.273
25000000,29,170.925,18.8677,29.8857,0.2425
26000000,94,555.771,42.6061,96.6239,0.243
27000000,43,256.573,27.7994,41.6318,0.2375
28000000,37,224.477,49.0354,36.4926,0.227
29000000,41,235.232,20.8653,35.2125,0.253333
30000000,36,207.606,44.5053,32.4628,0.2435
31000000,42,252.529,-24.9295,43.8483,0.286
32000000,16,96.5557,-24.9889,25.2193,0.251
33000000,40,229.722,48.1464,42.4071,0.2365
34000000,37,221.633,-16.4093,39.0723,0.2635
35000000,29,175.505,23.0912,29.2186,0.2415
36000000,14,86.8942,-32.9739,15.0165,0.25825
37000000,41,255.691,31.7586,36.847,0.255
38000000,55,330.607,2.34576,54.282,0.2585
39000000,27,158.009,40.3565,30.2961,0.252
40000000,29,175.209,-23.8227,41.7149,0.259333
41000000,28,172.529,1.30213,26.9376,0.259
42000000,54,322.168,2.47099,59.2889,0.246
43000000,18,103.314,3.70411,16.3094,0.242
44000000,42,256.355,18.7127,35.487,0.228
45000000,61,366.412,13.0967,56.0365,0.241
46000000,22,131.246,14.444,12.0904,0.251
47000000,56,332.811,20.7838,51.125,0.224
48000000,50,312.391,35.4614,58.7017,0.244
49000000,38,226.275,0.597574,36.6688,0.2475
50000000,24,136.978,32.9259,31.711,0.233
51000000,50,295.557,48.2934,48.674,0.2275
52000000,36,209.832,33.6369,38.7576,0.249
53000000,51,302.596,-5.69025,55.6351,0.227
54000000,45,264.994,-9.94553,39.0753,0.260714
55000000,63,375.993,41.5699,62.6028,0.259
56000000,51,318.684,60.2826,42.378,0.2355
57000000,47,288.79,21.1204,58.5735,0.224
58000000,40,247.358,65.5293,49.0645,0.204
59000000,48,290.276,56.9952,55.6689,0.235
60000000,48,292.721,15.3873,72.2213,0.268
61000000,42,251.319,3.03688,40.6125,0.262
62000000,53,308.832,8.09534,50.7054,0.258
63000000,20,116.485,22.3508,23.4932,0.2485
64000000,46,269.607,3.69082,40.7838,0.2515
65000000,39,237.644,1.41234,43.3701,0.253
66000000,37,203.739,10.9218,41.5477,0.2725
67000000,40,241.614,48.0907,49.3264,0.257
68000000,37,229.266,43.215,37.1103,0.227
69000000,49,295.571,19.2343,54.8385,0.291
70000000,43,263.941,4.12387,36.7874,0.279
71000000,54,314.438,28.2539,48.4903,0.258
72000000,33,192.9,16.1207,43.2243,0.254
73000000,53,321.543,45.2513,58.5703,0.249
74000000,57,346.536,-35.9494,63.2877,0.275
75000000,27,159.406,14.7316,37.8401,0.249
76000000,57,335.775,7.2679,49.558,0.242
77000000,34,205.84,28.1302,39.0133,0.262
78000000,47,268.014,-19.5731,50.402,0.266
79000000,31,188.11,-6.08679,29.2903,0.248
80000000,27,160.326,10.1147,29.8015,0.2395
81000000,28,178.371,-9.21353,29.8296,0.261
82000000,67,396.461,-4.12204,73.1015,0.273
83000000,49,292.501,1.0069,61.3574,0.266
84000000,35,211.718,8.33363,36.2289,0.2555
85000000,38,213.896,39.4434,31.6791,0.247
86000000,31,190.143,15.4839,34.8887,0.2445
87000000,48,286.569,19.6612,45.3626,0.244
88000000,37,225.589,-0.981205,41.2386,0.239
89000000,26,143.94,9.24852,31.1602,0.2525
90000000,34,197.038,29.8337,35.9075,0.252
91000000,46,273.677,61.717,51.1282,0.245
