generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.0793727,0.001,0.0360529,0
500000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.00144866,-0.00136958,0.0213162,0
500000,Salamandrella_keyserlingii,Ranodon_sibiricus,232.672,0.1051,-0.00250288,3.12927e-05,0
500000,Opithisthotriton_kayi,Prodesmodon_copei,181.811,0.0836573,-0.00580479,0.0251185,0
500000,Pseudobranchus_axanthus,Kababisha_humarensis,97.8624,0.0252321,0.00254577,0.0233029,0
500000,Ambystoma_gracile,Ambystoma_opacum,235.661,0.117308,-0.000629384,0.0211274,0
500000,Mertensiella_caucasica,Pleurodeles_waltl,193.332,0.0667179,0.00455752,0.0235293,0
500000,Plethodon_yonahlossee,Plethodon_petraeus,243.113,0.175382,-0.00153602,0.00694048,0
500000,Eurycea_sosorum,Eurycea_nana,263.209,0.783978,-0.00718529,0.00753801,0
500000,Ensatina_eschscholtzii,Hemidactylium_scutatum,168.215,0.0619997,-0.000871477,0.000149085,0
500000,Cryptobranchus_alleganiensis,Kokartus_honorarius,46.4813,0.0273117,-0.00178351,0.0134983,0
1000000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.00578474,-0.00330856,0.00990588,0
1000000,Salamandrella_keyserlingii,Ranodon_sibiricus,222.736,0.10009,-0.00160714,0.005447,0
1000000,Pseudobranchus_axanthus,Kababisha_humarensis,165.902,0.0434073,-0.00317477,0.0435411,0
1000000,Ambystoma_gracile,Ambystoma_opacum,234.112,0.114282,-0.00499904,0.00571977,0
1000000,Pleurodeles_waltl,Echinotriton_chinhaiensis,224.602,0.0410142,-0.00774358,0.00914732,0
1000000,Mertensiella_caucasica,Pleurodeles_waltl,195.19,0.102112,-0.000777257,0.0359186,0
1000000,Ambystoma_talpoideum,Ambystoma_minshalli,184.07,0.0172923,-0.00711073,0.012254,0
1000000,Plethodon_caddoensis,Plethodon_jordani,254.861,0.209478,-0.00128264,0.0955608,0
1000000,Eurycea_sosorum,Eurycea_nana,264.634,1.12859,0.00258011,0.0435552,0
1000000,Batrachoseps_kawia,Batrachoseps_attenuatus,219.389,0.230358,0.00205704,0.0443379,0
1000000,Batrachoseps_kawia,Batrachoseps_attenuatus,220.037,0.0791771,-0.00540209,0.00981312,0
1000000,Ensatina_eschscholtzii,Hemidactylium_scutatum,151.377,0.0464784,0.00584934,0.000251309,0
1000000,Cryptobranchus_alleganiensis,Urupia_monstrosa,25.9869,0.0367959,-0.00115967,0.0176453,0
1500000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.0253966,0.000531194,0.0194222,0
1500000,Salamandrella_keyserlingii,Ranodon_sibiricus,231.987,0.107835,-0.000190925,0.000657771,0
1500000,Pseudobranchus_axanthus,Siren_miotexana,200.237,0.0607784,0.000985138,0.0251675,0
1500000,Ambystoma_opacum,Ambystoma_cingulatum,241.723,0.0987097,0.0011352,0.0030896,0
1500000,Mertensiella_caucasica,Pleurodeles_waltl,197.209,0.0913865,-0.000610221,0.0380225,0
1500000,Bolitoglossa_cerroensis,Bolitoglossa_rufescens,220.984,0.089299,-0.00419154,0.00166176,0
1500000,Plethodon_sherando,Plethodon_websteri,221.58,0.15232,-0.00128021,0.0131758,0
1500000,Eurycea_rathbuni,Eurycea_troglodytes,250.477,0.195527,0.0018604,0.0131881,0
1500000,Ensatina_eschscholtzii,Hemidactylium_scutatum,170.674,0.0634563,-0.00225948,0.00119746,0
2000000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.0177516,0.00345264,0.017843,0
2000000,Salamandrella_keyserlingii,Ranodon_sibiricus,220.032,0.0972576,-0.0016295,0.00984515,0
2000000,Ambystoma_cingulatum,Ambystoma_maculatum,244.729,0.0771107,0.00355424,0.0109213,0
2000000,Mertensiella_caucasica,Pleurodeles_waltl,194.571,0.115472,-0.00445469,0.0268619,0
2000000,Plethodon_petraeus,Plethodon_kentucki,253.76,0.166093,-0.00580009,0.0117581,0
2000000,Eurycea_sosorum,Eurycea_nana,263.306,0.476677,0.00333867,0.00295134,0
2000000,Ensatina_eschscholtzii,Hemidactylium_scutatum,150.712,0.0375787,0.00953126,0.000485515,0
2500000,Cryptobranchus_alleganiensis,Celtedens_ibericus,0,0.0310718,-0.00195231,0.0203054,0
2500000,Hynobius_lichenatus,Hynobius_tokyoensis,251.508,0.109413,-0.00956582,0.0351376,0
2500000,Ranodon_sibiricus,Hynobius_retardatus,237.899,0.0866589,-0.00410449,0.00284373,0
2500000,Rhyacotriton_cascadae,Amphiuma_tridactylum,115.997,0.0137673,0.00608259,0.0138526,0
2500000,Ambystoma_gracile,Ambystoma_opacum,236.825,0.0963225,0.00569123,0.00385919,0
2500000,Salamandra_infraimmaculata,Lyciasalamandra_atifi,231.367,0.131899,-0.00100184,0.0252791,0
